rank	sentence	english
1	Que hem fet?	What have we done?
2	No, gràcies.	No, thank you.
3	oh! De debò?	Oh! Really?
4	Val la pena?	Is it worth it?
5	On és el sol?	Where is the sun?
8	Tom és vell.	Tom is old.
9	És un llibre.	It is a book.
10	Mercès per tot.	Thanks for everything.
11	Penso en tu.	I'm thinking about you.
12	Fes una foto.	Take a picture.
13	Què diu ell?	What does he say?
14	No ho volen.	They don't want it.
15	Hi ha un gos!	There is a dog!
16	Com els vols?	How do you want them?
17	Qui ve amb mi?	Who is coming with me?
18	Hola, com va?	Hello, how are you?
19	Això és tot.	That's all.
20	No sé si ho sap.	I don't know if he knows it.
21	Com ja saps.	As you already know.
22	Són les dues.	It's two o'clock.
23	No em fas por.	I'm not afraid of you.
24	Hi vull anar.	I want to go.
25	Sóc prim però estic gras	I am a thin person, but at the moment I am fat.
26	Sí, jo també.	Yeah, me too.
27	T'entenc bé.	I understand you well.
28	Estava al terra.	He was on the ground.
29	Fora del meu camí!	Stay out of my way.
30	He de fer açò.	I need to do this.
31	Atura't aquí.	Stop here.
32	Et vols anar?	Would you like to go?
33	Penso en tu.	I'm thinking about you.
34	Parla més alt!	Speak louder!
35	Ella es dutxa.	She showers.
36	Sí, jo també.	Yeah, me too.
37	Això és tot.	That's all.
38	Vaig calent.	I’m horny.
39	Està nevant!	It's snowing!
40	Va ser un malson.	It was a nightmare.
41	És molt fort.	It's really loud.
42	És un cosí meu.	This is my cousin.
43	Què vas fer?	What did you do?
44	Ho has fet mai?	Have you ever done it?
45	Com ja saps.	As you already know.
46	Ara tens fam?	Are you hungry now?
47	És aquest un os?	Is that a bear?
48	Què passa aquesta nit?	What's happening tonight?
49	Què li passa?	What is wrong with him?
50	Ens coneixem.	We know each other.
51	Quan te'n vas?	When will you leave?
52	No n'hi ha cap.	There aren't any.
53	No vals res.	You are worth nothing.
54	On és la meva filla?	Where's my daughter?
55	Només dic la veritat.	I speak only the truth.
56	No va dir res!	She didn't say anything!
57	On vas papà?	Where are you going, Dad?
58	No sé on anar.	I don't know where to go.
59	T'he de dir una cosa.	I have something to tell you.
60	Era mitjanit	It was midnight.
61	El seu lloc és aquí.	He belongs here.
62	Qui és vostè?	Who are you?
63	Sóc venedor.	I'm a salesperson.
64	Així és en Tom.	That's Tom.
66	Estic a casa.	I'm at home.
67	Ets ridícul.	You're ridiculous.
68	us heu adormit?	Are you asleep?
69	Ell no fuma.	He does not smoke.
70	On és el teu germà?	Where is your brother?
71	No puc fer més.	I can’t do more.
72	Qui ve amb mi?	Who is coming with me?
73	La vaig veure.	I saw her.
74	Ho fa perquè vol.	He does that because he wants to.
75	On és la seva casa?	Where's his home?
76	Són nòmades.	They're nomads.
77	Estudio el teatre dels EUA.	I'm studying the American drama.
78	Hi vull anar.	I want to go.
79	Que hem fet?	What have we done?
81	Avui fa fred!	It's cold today!
82	Que hem fet?	What have we done?
83	On vas papà?	Where are you going, Dad?
84	Quans infants han nascut?	How many babies have been born?
85	Ho has fet mai?	Have you ever done it?
86	Tinc pressa.	I'm in a hurry.
