rank	sentence	english
1	Jeg er enig.	I agree with you.
2	Hvad er det?	What is it?
3	Hvem er han?	Who is he?
4	Hvor bor du?	Where do you live?
5	Tom lo ikke.	Tom didn't laugh.
6	Ønsker du at gå?	Do you wish to go?
8	Nej, kun en.	No, just one.
9	Kom og smag!	Come taste!
10	De har vand.	They have water.
11	Vi er enige.	We agree.
12	Gå til læge.	See your doctor.
13	Stol på mig.	Trust me.
14	Hvad vil du?	What do you want?
15	Kom med mig!	Come with me.
16	Hvem så han?	Who did he see?
17	Bed for mig!	Pray for me.
18	Stol på mig.	Trust me.
19	Er der vand?	Is there water?
20	Hvem er han?	Who is he?
21	Kig bag dig.	Look behind you.
22	De har vand.	They have water.
23	Er den hvid?	Is it white?
24	Kan du ride?	Do you know how to ride a horse?
25	Han stak af.	He legged it.
26	Hvor var du?	Where were you?
27	Hvad vil du?	What do you want?
28	Jeg bor her.	I live here.
29	Find et job!	Find a job.
30	Skal vi vædde?	Wanna bet?
31	Men hvorfor?	But why?
32	Jeg ved alt.	I know everything.
33	Ikke tale om!	No way!
34	Sig nu 'ja'!	Please say ‘yes’!
35	De sagde ja.	They said yes.
36	Som du vil, Tom.	Whatever you say, Tom.
37	Hun smilede.	She smiled.
38	Nej, kun en.	No, just one.
39	Åh, min Gud!	Oh, my God!
40	Ser du noget?	Do you see anything?
41	Giv ham tid.	Give him time.
42	Lad den være.	Leave it.
43	Bare jeg vidste!	I wish I knew.
44	Tag din tid.	Take your time.
45	Hvor bor du?	Where do you live?
46	Du må tro mig.	Believe you me.
47	Hvis tur er det?	Whose turn is it?
48	Giv os fred!	Give us peace!
49	Kom og smag!	Come taste!
50	Smid ham ud.	Throw him out.
51	Giv mig dem!	Give them to me.
52	Sov du godt?	Did you sleep well?
53	Er du fra USA?	Are you from the United States?
54	Vil du have en?	Want one?
55	Tom ville græde.	Tom would cry.
56	Lad os se tv.	Let's watch TV.
57	Tom gør alt.	Tom does everything.
58	Men hvorfor?	But why?
59	Alle smiler.	Everybody's smiling.
60	Vent lige der.	Wait right there.
61	Hænderne op!	Put your hands up!
62	Spørg hende.	Ask her.
63	Sig nu 'ja'!	Please say ‘yes’!
64	Hvordan går det?	How are you doing?
65	Det tror jeg.	I think so.
66	Tre is, tak.	Three ice-creams, please.
67	Kan du gøre det?	Can you do that?
68	Gid jeg kunne!	I wish I could.
69	Lad os se tv.	Let's watch TV.
70	Bussen kommer.	The bus is coming.
71	I havde ret.	You guys were right.
72	Nu eller aldrig!	It's now or never.
73	Meget mærkeligt.	Very strange.
74	Det var nok.	That was enough.
75	Må jeg få den?	Can I have it?
76	Det var da modigt!	That was brave!
77	Ingen årsag!	Never mind.
78	Ser man det!	Really!
79	Gå væk, Tom!	Go away, Tom.
80	Det går nok.	Never mind.
81	Hvem er han?	Who is he?
82	Du bliver min.	You'll be mine.
83	Hør nu efter!	Now listen up.
84	De sagde ja.	They said yes.
85	Kom tilbage!	Come back.
86	Kom når I vil.	Come whenever you like.
87	Jeg ved alt.	I know everything.
88	Hun kommer måske.	She may come.
89	Satans også!	Bloody hell!
90	Sådan er det jo!	That's just the way it is.
91	Mit ben klør.	My leg itches.
92	Han gik ind.	He walked in.
93	Det er vores.	It's ours.
94	Hej, verden!	Hello, world!
95	Drik mere vand.	Drink more water.
96	Huset er hans.	The house is his.
97	Det skulle gøres.	It had to be done.
98	Blev du våd?	Did you get wet?
99	Nogen skreg.	Someone screamed.
100	Lidt højere.	A little louder.
101	Aldrig igen!	Never again!
102	Folk er får.	People are sheep.
103	Hvad siger du?	What're you saying?
104	Vær dig selv!	Be yourself!
105	Godnat, far.	Good night, Dad.
106	Tænk over det.	Think about it.
107	Kom nu, I to!	Come on, you two.
108	Nej, kun en.	No, just one.
109	Sådan er loven.	It's the law.
110	Ser man det!	Really!
111	Red dit hår.	Comb your hair.
112	Gift jer nu!	Get married already!
113	Vi ses igen.	We will meet again.
114	Hvor er mor?	Where is mom?
115	Bliv sammen!	Stay together.
116	I tager fejl.	You guys are wrong.
117	Jeg er en mand.	I am a man.
118	Tag det hele.	Take it all.
119	De bøger er deres.	Those books are theirs.
120	Sikke en dag!	What a day!
121	Lad os tage toget.	Let's take a train.
122	Mine brødre!	My brothers!
123	"Aha", vil de sige.	'Aha', they will say.
124	Vi gjorde det!	We did it!
125	Fordi de ser fjernsyn.	Because they're watching television.
126	Hvad der end sker.	Whatever may happen.
127	Undskyld mig.	Excuse me.
128	Før en dagbog.	Keep a diary.
129	Har du været væk?	Have you been away?
130	Du skal komme.	You must come.
131	Årh hold op!	Give me a break, please.
132	Gå væk, Tom!	Go away, Tom.
133	Anvend dette.	Use this.
134	Lad os blive.	Let us stay.
135	Hun er 31 år.	She is thirty-one.
136	Hids dig ned!	Calm down!
137	Helt sikkert!	Definitely!
138	Hvad fik du?	What did you get?
139	Giv ham tid.	Give him time.
140	Anvend denne.	Use this.
141	God weekend!	Have a good weekend!
142	Endnu en gang.	Once again.
143	Jeg laver te.	I'll make tea.
144	Køb nogle æbler.	Please buy a few apples.
145	Hvilket skod sted!	This place sucks.
146	Mange hilsner.	Many greetings.
147	Folk er får.	People are sheep.
148	Åbn dine øjne.	Open your eyes.
149	Ikke tale om!	No way!
150	Tag din tid.	Take your time.
151	Nyd de små ting!	Enjoy the little things!
152	Siden hvornår?	Since when?
153	Vi må finde den.	We must find it.
154	Du ser altid tv.	You are always watching TV.
155	Brug ikke X.	Don't use X.
156	Sover Tom stadig?	Is Tom still sleeping?
157	Jeg gik hjem.	I went home.
158	Nej virkelig?	Really?
159	Alt er fint.	Everything is OK.
160	Find en anden.	Find somebody else.
161	Bogen er lille.	The book is small.
162	I kender mig.	You guys know me.
163	Andre lyse ideer?	Any other bright ideas?
164	De elsker os.	They love us.
165	Vand er liv.	Water is life.
166	Jeg ved intet.	I don't know anything.
167	Du tog fejl.	You were mistaken.
168	Har jeg ret?	Am I right?
169	Jeg kommer gerne!	I'll be happy to come!
170	Ingen røg uden ild.	There is no smoke without fire.
171	Vent lige der.	Wait right there.
172	Hendes far døde.	Her father died.
173	Det er ikke dine, vel?	These aren't yours, are they?
174	Tom vil lide.	Tom will suffer.
175	Kan vi hjælpe?	Can we help?
176	Hvad har I set?	What did you see?
177	Op mod muren!	Up against the wall!
178	Tom troede Mary.	Tom believed Mary.
179	Tre is, tak.	Three ice-creams, please.
