rank	sentence	english
1	Jag är bäst.	I am the best.
2	Hur var det?	What was it like?
3	Vi är rädda.	We are afraid.
4	Vill du äta?	Do you want to eat?
5	Dags att gå.	Time to go.
6	Rör er inte!	Nobody moves!
7	Ta en drink.	Have a drink.
8	Lev och lär.	Live and learn.
9	Har du barn?	Do you have children?
10	Vi är rädda.	We are afraid.
11	Maka på dig!	Step out of the way!
13	Öga för öga.	An eye for an eye.
14	Han är poet.	He is a poet.
15	Kom med oss.	Come with us.
16	Gör som jag!	Act like I do!
17	Sköt om dig!	Take care!
18	Hur var det?	What was it like?
19	Vad vill du?	What do you want?
20	Ursäkta mig.	Excuse me.
21	Jag bor här.	I live here.
22	Jag har dig.	I've got you.
23	Så tragiskt!	How tragic!
24	Peka ut den.	Point it out.
25	Jag kan äta.	I can eat.
26	Till verket!	To work!
27	De konstrar.	They're stalling.
28	Men var är vi?	But where are we?
29	Jag såg ett.	I saw one.
30	Alla ska gå.	Everyone's going.
31	Har ni djur?	Do you have any animals?
32	Stäng av den.	Turn it off.
33	Vad har hon?	What does she have?
34	Vill du äta?	Do you want to eat?
35	Han sade ja.	He said yes.
36	Vad vet jag?	What do I know?
37	Jag drar nu!	I'm going now!
38	De sade nej.	They said no.
39	Blunda bara.	Just close your eyes.
40	Hur var det?	What was it like?
41	Sug min kuk.	Suck my dick.
42	När kommer du?	When will you come?
43	Är allt där?	Is everything there?
44	Vi måste gå.	We need to go.
45	Släpp honom!	Let him go!
46	Gör som jag!	Act like I do!
47	Lås din dörr.	Lock your door.
48	Vi skulle just gå.	We were just leaving.
49	När var det?	When was that?
50	Vi var unga då.	We were young then.
51	Kom med oss.	Come with us.
52	Ha en bra dag.	Have a nice day.
53	Jag mår bra.	I'm OK.
54	Får jag äta?	Can I eat?
55	Jag är man nu.	I'm a man now.
56	Låt mig vara!	Leave me alone!
57	Kom med oss.	Come with us.
58	Hon gick ut.	She went out.
59	Ta en drink.	Have a drink.
60	Rör er inte!	Nobody moves!
61	Vad ska vi göra?	What'll we do?
62	Det är okej.	It's OK.
63	Köp eller dö!	Buy or die!
64	Hade du kul?	Did you have fun?
65	Gå bort från mig.	Move away from me.
66	Varför inte?	Why not?
67	Få bort dem.	Get rid of them.
68	Var är alla?	Where's everyone?
69	Vad tror du?	What do you believe?
