rank	sentence	english
1	Je to tvoje?	Is it yours?
2	Báli se vás.	They were afraid of you.
3	Je to tvoje?	Is it yours?
5	Nudí se, že?	She's bored, isn't she?
6	Jsem hrdina.	I'm a hero.
7	Neřvi na mě.	Don't yell at me.
8	Co teď píši?	What am I writing now?
10	Dám si kafe.	I will drink the coffee.
11	Tak neváhej.	So don't hesitate.
12	To je ale šok!	What a shock!
13	Ne, nemusíš.	No, you don't have to.
15	Jsi otravný.	You are boring.
16	Já nekřičím.	I'm not yelling.
17	Líbíš se mi.	I like you.
18	Bojíš se mě?	Are you afraid of me?
20	Jdi do píči!	Go fuck yourself.
21	Jak vypadám?	How do I look?
22	Pošli to ty.	You send it.
24	Zavolej mi, jo?	Give me a call, will you?
25	Jste doktor.	You are a doctor.
26	Je už pozdě.	It's already late.
27	Co když selžu?	What if I fail?
28	Jen to zkus.	Just give it a try.
29	Čekali jsme.	We waited.
30	Jsi jako my.	You're just like us.
31	Je tu někdo?	Is anybody here?
32	Byl za námi.	He was behind us.
33	Nenávidí ho.	She hates him.
34	Patří ti to.	It serves you right.
35	Proč by i ne?	Why not?
36	Já jím tady.	I eat here.
37	Ano, já vím.	Yes, I know.
38	Je tu pro mě.	He is here for me.
39	Dobře plave.	She is a good swimmer.
40	Není ženatý.	He is not married.
41	Byl nemocný.	He was ill.
42	Nestíhám tě.	I can't follow you.
43	Zkusme něco!	Let's try something.
44	Proč brečíš?	Why are you crying?
45	Co teď píši?	What am I writing now?
46	No nazdar...	Oh boy...
48	Je tam ryba.	There is some fish there.
49	Podrž tohle.	Hold this.
50	Mám počítač.	I own a computer.
51	Jsou lékaři.	They are doctors.
52	Kakal ten pes?	Did the dog poop?
53	Nech mě být.	Leave me alone.
54	Nechej toho!	Cut it out!
55	Bude žárlit.	She will be jealous.
56	Souhlasil bych.	I'd agree.
57	Báli se vás.	They were afraid of you.
58	Nic nechybí.	Nothing is missing.
59	Takže nepřijdeš?	So, you're not coming?
60	Má rád jazz.	He likes jazz.
61	Je ve vlaku.	He's on the train.
62	Nevěřím Vám.	I don't believe you.
63	Ano nebo ne?	Yes or no?
64	Kdo tu není?	Who isn't here?
65	Chci, aby žili.	I want them to live.
66	Tom je upír.	Tom is a vampire.
67	Byla to lež.	It was a lie.
68	Nemiluji ji.	I don't love her.
69	Bylo to tam.	It was there.
70	Kde jsi byl?	Where have you been?
71	Ještě nevím.	I still don't know.
73	A je po všem.	It's all over.
74	Jste doktor, pane?	Are you a doctor, sir?
75	Jím, protože mám hlad.	I eat because I'm hungry.
76	Je nic než lhář.	He is nothing but a liar.
77	Můj dům hoří.	My house was on fire.
78	Jeho neznám.	I don't know him.
79	To je od ní.	This is from her.
80	Myslím na tebe.	I'm thinking of you.
81	Pohrdám tím.	I despise it.
82	Jestli chcete.	If you want.
83	Máš horečku.	You've got a fever.
84	Měl bys jít.	You should go.
85	Vím, co vím.	I know what I know.
86	Nenašli nás.	They didn't find us.
87	Vím všechno.	I know everything.
88	Možná přijde.	She may come.
89	Vím, že víš.	I know that you know.
90	Nikdy nelže.	She never lies.
91	Účet, prosím.	The check, please.
92	Moc nečekej.	Don't expect too much.
93	Nedej mu to.	Don't give it to him.
94	Vy jste Maďar?	Are you Hungarian?
95	Ani neví proč.	They don't even know why.
96	Chci jablko.	I want an apple.
97	Taky si myslím.	I do think so.
98	Ještě nevím.	I still don't know.
99	Počkej, až dojím.	Wait until I finish eating.
100	Pokud chceš.	If you want.
101	Sami je moje.	Sami is mine.
102	O tebe nejde.	It's not about you.
103	Co viděla pak?	What did she see afterwards?
104	Nevěříš nám?	Don't you trust us?
105	Ahoj všichni!	Hello everyone!
106	Proč ta linie?	Why this line?
107	Nedej jí to.	Don't give it to her.
108	Díky, brácho.	Thank you, brother.
109	Mohli říct ne.	They could've said no.
110	Sem nesmíte!	You are not allowed here!
111	Máme naději.	We have hope.
112	Řekl jsi 30?	Did you say 30?
114	Chceš svézt?	You need a ride?
115	Musím vyhrát.	I have to win.
116	Budu pít čaj.	I will drink the tea.
117	Co je před vámi?	What's in front of you?
118	Je v pořádku?	Is she all right?
119	Měl bys jít.	You should go.
120	Opravdu to děláš?	Do you really do that?
121	On je zubař.	He is a dentist.
122	Je tu někdo?	Is anybody here?
123	Rozumím tomu.	I understand this.
124	Máš asi žízeň.	You're probably thirsty.
125	Všichni sní.	Everyone dreams.
126	Trochu se opil.	He's a bit drunk.
127	Budu mít hlad.	I will be hungry.
128	Hej, čemu se směješ?	Hey, what are you laughing at?
129	Vážně Toma miluji.	I really love Tom.
130	Co tím myslíš?	What's your point?
131	Dobrý dotaz.	Good question.
132	Chceš, abych odešel?	Do you want me to leave?
133	Pořád lhala.	She lied all the time.
134	Který zub bolí?	Which tooth hurts?
135	Tom mě mohl zabít.	Tom could have killed me.
136	Měla bys spát.	You should sleep.
137	Co ze mě bude?	What'll become of me?
138	Měl bys jít.	You should go.
139	My tam byli.	We were there.
140	Máte padáka!	You're fired!
141	Má rád jazz.	He likes jazz.
142	Které auto řídíš?	What car do you drive?
143	Smím to dělat.	I'm allowed to do this.
144	Musíme jíst.	We have to eat.
145	Nemůžu jíst.	I can't eat.
146	Všechny nudí.	He bores everybody.
147	Prostě to zahoď.	Just throw it away.
148	Je toho víc.	There is more.
149	To je ale den!	What a day!
150	Chtěl uspět.	He wanted to succeed.
151	Musíš to udělat.	You must do it.
152	Můžu jít domů?	May I go home?
153	Má dva domy.	He has two houses.
154	Stalo se to.	It happened.
155	Jde se mnou.	She is coming with me.
156	Jenom žárlíš!	You're just jealous!
157	Kdy je brzo?	When is soon?
158	Jde se mnou.	She is coming with me.
159	Co budeš pít?	What are you going to drink?
160	Je to vaše vina.	It's your own fault.
161	Pes je tvůj.	The dog is yours.
162	Čti další knihu.	Read another book.
163	Tančil s ní.	He was dancing with her.
164	Pojď rychle!	Come quick!
165	Trpím kvůli tobě.	I suffer because of you.
166	Měli pravdu.	They were right.
167	Může počkat.	He can wait.
168	Je dost zima.	It's rather cold.
169	Jeden našel.	He found one.
170	Nikdo nelhal.	Nobody lied.
171	Proč, bože, proč?	Why, God, why?
172	Je bez sebe.	He's frantic.
173	Ať tě nevidí.	Don't let him see you.
174	Lidi jsou divný.	People are weird.
175	Můžeš dýchat?	Can you breathe?
176	Bili své děti.	They beat their children.
177	Pojďme dnes.	Let's go today.
178	Vím, že víte.	I know that you know.
179	Život je boj.	Life is struggle.
180	Mám pár nápadů.	I have a few ideas.
181	Půjdu s tebou.	I'm coming with you.
182	Právě odešel.	He just left.
183	Musí odejít.	They have to leave.
184	Dobrá práce.	It's well done.
185	Mně se líbíš.	I like you.
186	Jasně že ano!	Of course yes!
187	Co tu děláš?	What are you doing there?
188	Kdo sakra jsi?	Who the hell are you?
189	Předem děkuji.	Thank you in advance.
190	Je velmi pěkný.	He is very handsome.
191	Plavu hodně.	I swim a lot.
192	Já to udělal.	I did that.
193	Jseš její pasák?	Are you her pimp?
194	Budeme vařit.	We'll cook.
195	Takhle nemluv.	Don't talk like that.
196	Rozumíš jim?	Do you understand them?
197	K věci, prosím.	Please get to the point.
198	Namazal ses.	You got very drunk.
199	Začněte hned.	Start now.
200	Musíš odejít.	You have to go.
201	Něco se děje.	Something is happening.
202	Proto tu nejsi.	That isn't why you're here.
203	Co je v té tašce?	What's in the bag?
204	Je to tvoje?	Is it yours?
205	To říkal Tom.	That's what Tom said.
206	Spíš ty vůbec?	Do you ever sleep?
207	Znám pravdu.	I know the truth.
208	Nejsem Čech.	I am not Czech.
209	Ona nežárlí.	She is not jealous.
210	Nechci jíst.	I don't want to eat.
211	Zavolá zpátky.	She'll call back.
212	Kéž bychom věděli.	I wish we knew.
213	Dá mu vědět.	She'll notify him.
214	Kdo je první?	Who's first?
215	To je naše auto.	It's our car.
216	Nikde není místo.	There is no room anywhere.
217	Nemám žízeň.	I am not thirsty.
218	Nemám práci.	I don't have a job.
219	My tam byli.	We were there.
220	Můžeme mluvit?	Can we talk?
221	Dobrá práce.	It's well done.
222	Vypadá mladě.	He looks young.
223	Řekla Tonymu.	She told Tony.
224	Dokdy přesně?	Until when, exactly?
225	Kdo to chce?	Who wants it?
226	Tohle Tom myslel?	Is this what Tom meant?
227	Vy byste nelhal.	You wouldn't lie.
228	Ručím za něj.	I'll vouch for him.
229	Kam půjdeme?	Where shall we go?
230	Je mi 18 let.	I am eighteen years old.
231	Co kdyby ses u mě stavěl?	Why don't you come to my place?
232	Čas se mění.	Time is changing.
233	Má tři děti.	He has three children.
234	Je ten dům jejich?	Is the house theirs?
235	Nesnáší mé psy.	He hates my dog.
236	Potřebuji svou.	I need mine.
237	Vždycky odpoví.	He always replies.
238	Dlouho čekal.	He waited for a long time.
239	Podívej se tam.	Look there.
240	Kdo mě viděl?	Who saw me?
241	Byla to dobrá věc.	That was a good thing.
242	Pojďme domů.	Let us go home.
243	Navždy pryč.	Gone forever.
244	Můžeme mluvit?	Can we talk?
245	Jsem tu zase.	I am here again.
246	Co je s ním?	What is the matter with him?
247	Je to dobré?	Does it taste good?
248	Píšu o tobě.	I'm writing about you.
249	Nebudeš sám.	You won't be on your own.
250	Jdeme na to!	Let's do it.
251	Jsem u sebe.	I'm in my room.
252	Chcete kafe?	Do you want coffee?
253	Vrátí se někdy?	Will he ever come back?
254	Promiň, spěchám.	Sorry. I'm in a hurry.
255	Chci, abys šel.	I want you to go.
256	Stejně děkuji.	Thanks anyway.
257	Ještě jednou.	One more time.
258	Můžete mi věřit.	You can believe in me.
259	Zpívejte dál.	Keep singing.
260	Máš to ráda?	Do you like it?
