rank	sentence	english
1	మీరు బాగున్నారా ?	How's everyone doing?
2	నేను కాఫీ తాగాను	I drank coffee.
3	ఆది ఒక పార్టీ.	That's a party.
4	టామ్ మరియు నేను తరచుగా బస్సులో ముచ్చటిస్తుంటాము.	Tom and I often chat on the bus.
5	మేరీ ఎక్కడ ఉంది?	Where is Mary?
6	మేము ఎవరము ?	Who are we?
8	నాకు కాఫీ ఇష్టం లేదు	I dislike coffee.
9	అది నా తప్పు కాదు.	It wasn't my fault.
10	మీ అబ్బాయి ఎక్కడ వున్నాడు ?	Where was your son?
11	నాకు అది తట్టింది	I've thought of that.
13	ఆ! ఇది నిజమా?	Oh! Is it true?
14	అతను పెట్టేసాడు	He hung up.
16	అల్జీరియా యొక్క ప్రభుత్వం పెట్రోలియం మరియు సహజవాయువుపై ఆధారపడి ఉంది.	Algeria's government depends on oil and gas.
17	నువ్వు భోజనం ఇక్కడ ఈ గదిలో తినొచ్చు	You can eat lunch here in this room.
19	అది నా తప్పు కాదు.	It wasn't my fault.
20	నాకు అది తట్టింది	I've thought of that.
21	నీ పేరు ఏమి?	What is your name?
22	ఆమె ఎంత పొడుగు ?	How tall is she?
23	అది చాలా విలువైనది	It's very valuable.
24	వారు చంద్రకాంతిలో ముద్దాడారు	They kissed under the moonlight.
25	పెట్టె లో ఏముంది?	What's in the box?
26	ఇప్పుడు టైమ్ ఎంత ?	What's the time now?
27	మీరు దేని గురించి మాట్లాడారు.	What did you talk about?
28	సహాయం చాలా ఆలస్యముగా వచ్చింది	Help came too late.
31	అక్కడ మంచి నీళ్లు ఉన్నాయా ?	Is there water there?
33	వొంట్లో ఎలా వుంది	Are you feeling OK?
36	నన్ను ఎందుకు పిలిచావు?	Why did you call me?
38	డబ్బాలు అక్కడ పెట్టు	Put the boxes over there.
39	వాళ్ళని అని ఏం లాభం లేదు	It's hard to blame them.
40	కొన్ని కుక్కలు బ్రతికే ఉన్నాయి	Some of the dogs are alive.
41	అతను మా అబ్బాయి	He's my son.
42	నువ్వు సిగ్గు పడాల్సిన అవసరం లేదు	You have no need to be ashamed.
43	మధ్యాహ్నం మొత్తం లేదా ఇంకా ఎక్కువ సమయం పట్టొచ్చు	It's going to take all afternoon and maybe more.
49	తన దగ్గర రెండు పెన్సిళ్ళు వున్నాయి. ఒకటి పొడుగు ఇంకోటి పొట్టి	He has two pencils. One is long and the other one is short.
51	అతను తన మాట నిలబెట్టుకోలేదు	He didn't keep his word.
54	మాకు ఫ్రెంచి అర్ధం కాదు	We don't understand French.
55	అతను నన్ను తాకాడు	He touched me.
56	పని పూర్తయిందా?	Is the work done?
57	సమయం ఎంత అయ్యింది?	What time is it?
58	ఇదంతా నిజంగా జరిగిందా ?	Did all this really happen?
59	నేను అతన్ని ఎప్పుడూ చూడలేదు	I never actually saw him.
60	ఎవరు గెలిచారో నాకు తెలియదు	I don't know who won.
61	ప్రతి పది నిమిషాలకు బస్ బయలుదేరుతుంది.	The bus leaves every 10 minutes.
63	ఈ రోజు ఇంకా అయిపోలేదు	The day is not over yet.
65	రా, నీకు కూడా కొంచెం పెడతా	Come, I'll serve some for you.
67	దయచేసి ఇంకొంచం కాఫీ ఇవ్వరా.	More coffee, please.
68	నీ పేరు ఏమి?	What is your name?
70	సహాయం చాలా ఆలస్యముగా వచ్చింది	Help came too late.
71	మేరీ ఎక్కడ ఉంది?	Where is Mary?
72	ఈ రాత్రి బయటకి వెళ్లి తిందామా ?	How about going out to eat tonight?
78	నాకు కాఫీ ఇష్టం లేదు	I dislike coffee.
82	దానిని మళ్ళీ కొనను.	I won't buy that again.
83	మేము హోటల్‌కు తిరిగివెళ్ళాము.	We went back to the hotel.
85	నిన్ను ఇక్కడ ఇంకా ఎక్కువ సమయం వుంచలేను	I can't keep you here any longer.
89	అది నా తప్పు కాదు.	It wasn't my fault.
90	ఆ పిల్లవాడు ఒక చిన్న రాక్షషుడు	That kid is a little demon.
93	టామ్ నిన్న ఇక్కడకు మొదటి సారి వచ్చాడు.	Tom came here yesterday for the first time.
94	నీ రోజువారీ జీవితం గురించి చెప్పు	Tell me about your daily life.
99	అతడు నాకన్నా మూడు రెట్లు ఎక్కువ సంపాదిస్తాడు	He earns three times as much as I.
106	ఆటను ఒక గొప్ప కవే కాదు మంచి వైద్యుడు కూడా	He was a great poet as well as a doctor.
112	మధ్యాహ్నం మొత్తం లేదా ఇంకా ఎక్కువ సమయం పట్టొచ్చు	It's going to take all afternoon and maybe more.
116	ఆవిడకి పిల్లలు లేరు	She has no children.
118	ఆమె బల్ల మీద కూర్చుంది .	She sat on the bench.
119	తన దగ్గర రెండు పెన్సిళ్ళు వున్నాయి. ఒకటి పొడుగు ఇంకోటి పొట్టి	He has two pencils. One is long and the other one is short.
126	అయ్యో! పడిపోయాడా!	Aw, has he fallen!
127	ఆమె ఎంత పొడుగు ?	How tall is she?
133	ఈ రోజు ఇంకా అయిపోలేదు	The day is not over yet.
138	నువ్వు ఎందుకు తయారు కాలేదు.	Why aren't you ready?
139	ఒకటి, రెండు, ముడు, నాలుగు, ఐదు, ఆరు, ఏడు, ఎనిమిది, తొమ్మిదు, పది.	One, two, three, four, five, six, seven, eight, nine, ten.
141	రేపు నువ్వు టామ్ ఏం చేస్తున్నారు.	What are you and Tom doing tomorrow?
143	మేరీ పార్టీ కోసం కొత్త డ్రెస్ కొన్నది.	Mary bought a new dress for the party.
145	టామ్ చివరికి ఉద్యోగం సంపాదించాడు.	Tom has finally found a job.
149	నువ్వు చేయగలవు	Yes, you can.
158	మా నాన్న ప్రస్తుతం ఇంటి దగ్గర లేడు	My dad is not at home for the moment.
160	ఒకటి, రెండు, ముడు, నాలుగు, ఐదు, ఆరు, ఏడు, ఎనిమిది, తొమ్మిదు, పది.	One, two, three, four, five, six, seven, eight, nine, ten.
161	తన గుండె కొట్టుకుంటూనే ఆమె తలుపు తీసింది	With her heart pounding, she opened the door.
162	ఆది ఒక పార్టీ.	That's a party.
166	మా నాన్న దురదర్శిని చూస్తూనే నిద్ర పోతాడు	My father often falls asleep while watching television.
167	నా తల నొప్పిపుడుతుంది	My head hurts.
174	మనం తనని వదిలించుకోవాలి	We should get rid of her.
178	భయపడాల్సిన కారణం ఏమీ లేదు.	There's no reason to be afraid.
188	మనం ఆ అవకాశం తీసుకుందాం	Let's take that chance.
189	టీ వెంటనే తీసుకురా!	Bring tea immediately!
191	నీ కలం ఏది ?	Which is your pen?
193	చలనచిత్రం మొదలు అవ్వబోతుంది	The movie's about to start.
196	రేపు అక్కడికి వెళ్లు!	Go there tomorrow!
198	నేనూ తప్పులు చేస్తాను	I do make mistakes.
199	సీత అందంగా నావ్వింది.	Sita smiled pleasantly.
202	వాళ్ళు ఒక పాట పాడతారు	They will sing a song.
209	ఆమె ముప్పై ఏళ్ళ పాటు సంగీతం నేర్పిస్తుంది	She taught music for thirty years.
215	ఎక్కడ నొప్పి పుడుతుందో నాకు చూపించు	Show me where it hurts.
226	తను ఇప్పుడు ఇంటి దగ్గర లేదు	She's not at home now.
227	ఆమె చల్ల గాలి పీల్చింది .	She breathed in the cold air.
234	టామ్ తన చేతులు మొహం కడుక్కున్నాడు.	Tom washed his hands and face.
240	తన గుండె కొట్టుకుంటూనే ఆమె తలుపు తీసింది	With her heart pounding, she opened the door.
243	ఇది చాలా తెలివితక్కువ ప్రశ్న	This is a pretty stupid question.
