rank	sentence	english
1	Da li je ono ljubav?	Is it love?
2	To je lutka.	That's a doll.
3	Ne živim ovdje.	I don't live here.
4	Kako se zove?	What is his name?
7	To je lutka.	That's a doll.
8	Zvao sam ga.	I called him.
9	Idem na put.	I'm going on a trip.
10	Dobro. A ti?	Fine. And you?
11	Mi smo iz Rusije.	We are from Russia.
12	Ti si sve za mene.	You are everything to me.
13	Ti si tužan.	You're sad.
14	Je li tvoja?	Is it yours?
15	Tako sam sretna što te vidim.	I'm so happy to see you again.
16	Ja sam ovdje.	I'm here.
17	Oni su divni.	They're wonderful.
18	Šta bi Tom mislio?	What would Tom think?
19	On nije naučnik, ali on jeste naš prijatelj.	He's not a scientist, but he is our friend.
20	Hoćeš li zaplesati sa mnom?	May I have this dance?
21	Ovo nije sto.	This is not a table.
22	Ovo nije sto.	This is not a table.
23	Govorim samo malo njemački.	I only speak a little German.
24	Ona te voli.	She loves you.
25	Voliš li me?	Do you love me?
26	Sok od ananasa, molim.	Pineapple juice, please.
28	Zvao sam ga.	I called him.
29	Šta bi Tom mislio?	What would Tom think?
30	Kako se zove?	What is his name?
32	Dobro. A vi?	Fine. And you?
33	Ostat ću sa bebom ako želiš ići.	I'll stay with the baby if you want to go.
34	Mi smo iz Rusije.	We are from Russia.
35	Ti si sve za mene.	You are everything to me.
36	Hodam kao pingvin.	I walk like a penguin.
37	Masaru će se vjenčati danas.	Masaru gets married today.
38	Ti si tako bijelo!	You are so white!
39	Znam da ćeš reći ne.	I know you're going to say no.
41	Mogu živjeti bez vode.	I can live without water.
42	Nisam tužan.	I'm not sad.
43	Tom nije bio dovoljno jak da podigne kutiju, pa je pitao Meri da mu pomogne.	Tom wasn't strong enough to lift the box, so he asked Mary to help him.
44	Vi ste tužan.	You're sad.
45	Bio sam sretan.	I was happy.
46	Nema razloga za biti uplašen.	There's no reason to be afraid.
48	On je naučnik.	He is a scientist.
49	Ne znam zašto se uopšte više brinem.	I don't know why I even bother anymore.
51	Molim Vas, još kafe.	More coffee, please.
52	Ovo nije bilo šala.	This was not a joke.
54	Vjenčat ću se.	I'm getting married.
55	Molim Vas požurite.	Please hurry.
56	Pijem vodu kad sam žedan.	I drink water when I'm thirsty.
57	Kako se kaže "Hvala" na japanskom?	How do you say "thank you" in Japanese?
58	Mi smo iz Rusije.	We are from Russia.
59	Mislim da voliš svoj posao.	I think you like your job.
60	Dječak ima konja.	The boy has a horse.
61	Tom je ovdje.	Tom is here.
62	Je li ovo pastuv, ili kobila?	Is this a stallion or a mare?
64	Koliko znamo do sada, Tom je kriv.	Insofar as we know, Tom is guilty.
65	Znaš li kako radi ova mašina?	Do you know how this machine works?
66	Onda vidjet ću što mogu uraditi!	Then I'll see what I can do!
67	Ono je moj brod.	It's my ship.
68	Borićemo se do zadnjeg.	We'll fight to the last.
69	Hvala vam svima na dolasku! Vidimo se na sljedećem/idućem času!	Thanks for coming, guys! I'll see you next class!
70	Možda Tom zna francuski.	Maybe Tom can speak French.
71	Ne znam zašto se uopšte više brinem.	I don't know why I even bother anymore.
72	Njen je, zar ne?	It is hers, is it not?
73	Rekao mi je istinu.	He told me the truth.
74	Bila sam u školi.	I was at school.
75	Dođi opet bilo kada.	Come again any time.
76	Ona te voli.	She loves you.
77	Ako nas ubodete, zar ne krvarimo?	If you prick us, do we not bleed?
78	Želio bih pomoći.	I'd like to help.
79	Nema greške.	There's no mistake.
80	Nisam mu ništa rekao.	I haven't told him anything.
81	Želim piti malo vode.	I want to drink some water.
82	Ti si sve za mene.	You are everything to me.
83	Ne treba mi ništa.	I don't need anything.
84	Tom nije ovde. Već je otišao.	Tom isn't here. He's already left.
85	Ribu, molim.	Fish, please.
86	Ne treba mi ništa.	I don't need anything.
87	Ponosna sam na tebe.	I am proud of you.
88	Hajde da se pravimo da smo vanzemaljci.	Let's pretend we are aliens.
90	Imam laptop.	I have a laptop.
94	Gdje je pas?	Where is the dog?
95	Ko je taj čovjek?	Who is that man?
96	Želim tu torbu.	I want that bag.
97	To nam je jedina nada.	That's the only hope we have left.
98	Jesi li ti Ujgur?	Are you an Uighur?
100	Želim tu torbu.	I want that bag.
101	Možeš koristiti ovaj telefon.	You can use this phone.
103	Tomu se može vjerovati donekle.	Tom can be trusted to some degree.
104	Dobro. A vi?	Fine. And you?
105	Ljudi imaju kratko pamćenje.	People have short memories.
106	Svi smo željni da vide film.	We are all eager to see the movie.
110	Umrijet ćemo.	We are going to die.
112	Koliko dugo ste stolar?	How long have you been a carpenter?
113	Vidjeli smo još jedan brod u daljini.	We saw another ship far away.
114	Idemo u kino.	We are going to the cinema.
118	Bit ćeš poznat.	You will be famous.
119	Tom je sada jači nego njegov otac.	Tom is now stronger than his father.
120	Ono nije pas.	It is not a dog.
121	Ne razgovaraj sa njim dok vozi.	Don't speak to him while he is driving.
123	Mogu živjeti bez vode.	I can live without water.
124	Oni probaju.	They're trying.
126	Ko je ovaj čovjek?	Who is this person?
127	Već sam znao istinu.	I already knew the truth.
129	Znam da ćeš reći ne.	I know you're going to say no.
130	Ovo nije sto.	This is not a table.
132	Imaš li knjigu?	Do you have a book?
133	To nije tvoj problem.	That's not your problem.
134	Ko je taj čovjek?	Who is that man?
135	Tom je pitao Mariju neka pitanja na koja ona nije mogla da odgovori.	Tom asked Mary some questions that she couldn't answer.
137	Možemo pokušati.	We can try.
139	Konačno sam dobio posao.	I finally got a job.
140	Izgleda da imamo sve.	It looks like we have everything.
143	Lekar radi u bolnici.	The doctor works in a hospital.
145	"Ne mogu da odustajem", ona je rekla, "Ja sam se već zaljubila u njega".	"I can't help it," she said, "I'm already in love with him."
147	Dođi kod mene kući.	Come to my house.
148	Zdravo, Tom.	Hello, Tom.
149	Kakav divan dan!	What a wonderful day!
150	Imam tridest godina.	I'm thirty.
151	Mama, gladan sam.	Mom, I'm hungry.
152	Idem na put.	I'm going on a trip.
153	Tom nije mogao da završi ručak.	Tom couldn't finish his lunch.
155	Ostat ću sa bebom ako želiš ići.	I'll stay with the baby if you want to go.
157	Nemoj prekidati našu konversaciju.	Don't interrupt our conversation.
159	On mnogo voli fudbal.	He likes football a lot.
160	On nije naučnik, ali on jeste naš prijatelj.	He's not a scientist, but he is our friend.
161	Tako sam sretna što te vidim.	I'm so happy to see you again.
162	Da li je mušterija uvijek u pravu?	Is the customer always right?
163	Vi ste bili uplašeni.	You were scared.
167	Volim Francusku.	I love France.
168	Dobar dan, kako si?	Good day, how are you?
170	On je iskupio za svoje greške.	He made amends for his mistakes.
173	Idem na put.	I'm going on a trip.
176	Nemam vremena da pišem.	I don't have time to write.
179	Tvoje šale nisu smiješne.	Your jokes aren't funny.
180	Imame vrijeme?	Do we have time?
181	Ja njega smatram za neprijatelja.	I regard him as an enemy.
183	Nisam imao/la namjeru da vrijeđam.	It has never been my intention to offend.
184	Danas nisam slobodan.	I'm not free today.
185	Voda je život.	Water is life.
187	Nikada ne spavam.	I never sleep.
188	Ne mogu ti odgovoriti odmah.	I can't give you an answer right away.
189	Možda Tom zna francuski.	Maybe Tom can speak French.
190	Dođi mojoj kući.	Come to my house.
192	Moje ime je Jack.	My name is Jack.
193	Tom je pitao Mariju neka pitanja na koja ona nije mogla da odgovori.	Tom asked Mary some questions that she couldn't answer.
194	Moj bicikl ima tri brzine.	My bike has three gears.
198	Ne želim živjeti s tobom.	I don't want to live with you.
199	Mislim da voliš svoj posao.	I think you like your job.
200	To je knjiga koju sam kupio juče.	That's the book I bought yesterday.
201	Millie čita svoju knjigu.	Millie is reading her book.
206	Hoćeš li zaplesati sa mnom?	May I have this dance?
207	Oko čelične zgrade su lale.	There are tulips around the steel building.
208	Dođi opet bilo kada.	Come again any time.
209	Kako se kaže to na italijanskom?	How do you say that in Italian?
210	"Da li si ti nastavnik?" "Da, jesam."	"Are you a teacher?" "Yes, I am."
212	Tom je rekao Mariju da ide kući.	Tom told Mary to go home.
214	Triput meri, jednom seci.	Measure thrice, cut once.
215	Radim u bolnici.	I work in a hospital.
217	Nismo imali problema.	We haven't had problems.
220	Obukao se kao žena.	He dressed up as a woman.
221	Hvala svima na dolasku! Vidimo se sljedeći put.	Thanks for coming, guys! I'll see you next class!
222	Postoji mačka.	There is a cat.
223	Nemam vremena da pišem.	I don't have time to write.
224	Ta torba je moja.	That bag is mine.
226	Novac vodi riječ.	Money talks.
227	Jako smo bolesni.	We're very sick.
228	Već sam znao istinu.	I already knew the truth.
230	Trebao bi se stidjeti.	You should be ashamed of yourself.
231	Tom je sada jači nego njegov otac.	Tom is now stronger than his father.
234	Tom nije bio dovoljno jak da podigne kutiju, pa je pitao Meri da mu pomogne.	Tom wasn't strong enough to lift the box, so he asked Mary to help him.
235	Mislim da je Japan veoma sigurna zemlja.	I think that Japan is a very safe country.
237	Šta želi on da uradi?	What does he mean to do?
239	Da li je mušterija uvijek u pravu?	Is the customer always right?
240	Engleski je moj drugi jezik.	English is my second language.
242	Mislim da si bio jako nepristojan prema njoj.	I think you were really rude to her.
246	Odlazit ćemo sutra.	We are going to leave tomorrow.
247	To nije tvoj problem.	That's not your problem.
248	Želio bih pomoći.	I'd like to help.
249	Mostar je vrlo lijep grad.	Mostar is a very beautiful city.
251	Išli smo sve do Bostona zajedno.	We went as far as Boston together.
253	Niko nije došao.	Nobody came.
256	Ova riba je velika.	This fish is big.
260	Proćićemo kroz džunglu nekako.	We'll get through the jungle somehow.
262	Tom mi je rekao da pokucam na vrata.	Tom told me to knock on the door.
263	Vidio sam psa.	I saw a dog.
265	U korpi je samo nekoliko jabuka.	There are only a few apples in the basket.
266	Siguran sam da ćete se vas dvoje složiti.	I'm sure the two of you will agree.
267	Tom je pitao Mariju neka pitanja na koja ona nije mogla da odgovori.	Tom asked Mary some questions that she couldn't answer.
268	Niko nije došao.	Nobody came.
269	Stvari se mogu brzo promijeniti.	Things can change quickly.
270	Njegov način govorenja mi dosađuje.	His way of speaking annoys me.
271	Ne razgovaraj sa njim dok vozi.	Don't speak to him while he is driving.
272	Pod krevetom je mačka.	There is a cat under the bed.
273	Otišao sam vidjeti moje roditelje.	I went to see my parents.
279	Dođi mojoj kući.	Come to my house.
280	Volim ovu pjesmu.	I love this song.
281	Ne želim ići u školu.	I don't want to go to school.
282	Koliko dugo ste stolar?	How long have you been a carpenter?
284	Da li si probao da ponovo pokreneš računar?	Have you tried restarting your computer?
286	Pjevali smo glasno koliko smo mogli.	We sang as loudly as we could.
288	Ja sam protiv rata.	I am against war.
292	On je siromašan ali previše ponosan da traži pomoć.	He is poor but is too proud to ask for help.
293	On nije naučnik, ali on jeste naš prijatelj.	He's not a scientist, but he is our friend.
294	Bit ćete poznat.	You will be famous.
297	Ljudi imaju kratko pamćenje.	People have short memories.
301	Imali smo loše vrijeme nedavno.	We've had bad weather recently.
311	Moja majka voli muziku.	My mother loves music.
312	Naći ćeš knjigu u knjižnici.	You'll find the book in the library.
313	Parti je u Tomovoj kući večeras.	There's a party at Tom's house tonight.
314	Ne znam kako da upravljam ovom mašinom.	I don't know how to operate this machine.
317	Ako dodjes u Rio, ne zaboravi me nazvati da ti budem vodic!	If you come to Rio, don't forget to call me to be your guide!
319	To je njegov auto.	That is his car.
321	U teoriji moguće je, ali u praksi vrlo teško je.	In theory it is possible, but in practice it is very difficult.
325	Ko je taj čovjek?	Who is that man?
329	Moj broj telefona je 9876-5432.	My telephone number is 9876-5432.
331	On je radio u velike gradske bolnice.	He worked in a big city hospital.
332	Nismo imali problema.	We haven't had problems.
333	Njegov je, zar ne?	It's his, isn't it?
334	Nadam se da je to istina.	I hope that's the truth.
338	Kako se zove?	What is his name?
340	Sviđa li ti se Wagner?	Do you like Wagner?
342	Trebam pomoć!	I need help!
345	Kakav divan dan!	What a wonderful day!
352	Izvinite, ko je ova žena?	Excuse me, who is this woman?
361	On je moj prijatelj.	He is my friend.
363	Ima li ona novi kompjuter?	Does she have a new computer?
365	On želi raditi u bolnici.	He wants to work in a hospital.
369	Bit ćeš poznat.	You will be famous.
371	Lijepo se provedi.	Have fun.
373	Konačno sam dobio posao.	I finally got a job.
374	Tom nije ovde. Već je otišao.	Tom isn't here. He's already left.
380	Imam novu djevojku; zar nisi znala?	I got a new girlfriend; you didn't know?
382	Djeca su cvijeće našeg života.	Children are the flowers of our lives.
384	On ne govori engleski.	He does not speak English.
386	Sutra ćemo razgovarati sa njima o problemu.	We'll discuss the problem with them tomorrow.
392	Ovo je moje pitanje.	This is my question.
397	Ona te voli.	She loves you.
400	Želim to učiniti za tebe.	I want to do it for you.
401	Onda vidjet ću što mogu uraditi!	Then I'll see what I can do!
402	Možda Tom zna da priča francuski.	Maybe Tom can speak French.
413	Sutra ćemo razgovarati sa njima o problemu.	We'll discuss the problem with them tomorrow.
