rank	sentence	english
1	Şu bir masa.	That's a table.
2	Bu adam kim?	Who is that man?
3	Ona ne oldu?	What happened to him?
4	Dene ve sus.	Try and calm down.
5	Bu Tom için.	This is for Tom.
6	Bitirdin mi?	Have you finished yet?
7	Üçü de öldü.	All three died.
9	Ben bekarım.	I am a bachelor.
10	O çok üzgün.	She is very sad.
11	Ne atık ama!	What a waste!
12	Evet, doğru!	You said it!
13	Neyiniz var?	What's ailing you?
14	Bu da geçer.	All things must pass.
15	O burada mı?	Is she here yet?
16	Sorun değil.	It's all right.
17	O şey nedir?	What is that thing?
18	Cevap hayır.	The answer is no.
19	Daha iyi mi?	Is that better?
20	Peki ya sen?	How about you?
21	Bu kadar mı?	This much?
22	O bana uyar.	It suits me.
23	Su buz gibi.	The water is icy.
24	Zamanım yok.	I have no time.
25	Bunu gördüm.	I've seen that.
26	Onu yapamam.	I can't do it.
27	O iyi yazar.	She types well.
28	Bu tamam mı?	Is this all right?
29	Beni unutma.	Don't forget about me.
30	Seni buldum.	I found you.
31	Her şey iyi.	Everything's fine.
32	Köpek benim.	The dog is mine.
33	Sana aşığım.	I'm in love with you.
34	Besbelli ki!	Of course.
35	Peki ya sen?	How about you?
36	Neden nedir?	What's the cause?
37	Zaman doldu.	Time is up.
38	Sadece izle.	You just watch.
39	Bu senin mi?	Is this yours?
40	İşte burada.	Here it is.
41	Ne olduğunu öğren.	Find out what happened.
42	Karın nasıl?	How's your wife?
43	Hiç karışma.	Let well enough alone.
44	Belki sonra.	Maybe later.
45	Şimdi bırak.	Now let go.
46	Bu en iyisi.	This is the best.
47	Öyle umalım.	Let's hope so.
48	O doktor mu?	Is he a doctor?
49	Şu an boşum.	I'm free now.
50	Ciddi misin?	Are you serious?
51	Yıllar önce.	Years ago.
52	O biraz saf.	He's a bit naive.
53	Hadi içelim.	Let's drink.
54	O çok güzel.	She's very beautiful.
55	Mutlu musun?	Are you happy?
56	Ona ne oldu?	What happened to him?
57	N'olacak yani!	Big deal!
58	Böyle iyi mi?	Is that okay?
59	Ona güvenme.	Don't trust him.
60	Lütfen otur.	Please sit down.
61	Bu onun evi.	This is her house.
62	Düşünme bile.	Don't even think.
63	Kızlara bak.	Look at the girls.
64	Çünkü o orada.	Because he is there.
65	Peki ya sen?	How about you?
66	Eğer açsan, ye!	Eat - if you are hungry!
67	Yeter artık!	Enough is enough!
68	Gerçekten mi!	Really!
69	Geri döndüm.	I'm back.
70	Ne biliyorum?	What do I know?
71	Su istiyorum.	I want water.
72	Bu adam kim?	Who is that man?
73	Doğal olarak.	Naturally.
74	Başka kapıya!	I think you're not my type.
75	Belki dedim.	I said maybe.
76	O tek yoldu.	It was the only way.
77	Doğru mudur?	Is that true?
78	O çok büyük.	It's too big.
79	O büyük olan.	It's the big one.
80	Biri ağırdı.	One was heavy.
81	Umarım olur.	I hope that happens.
82	Bu Bay Smith.	This is Mr. Smith.
83	Arabadan in.	Get out of the car.
84	Kötü olacak.	It'll be bad.
85	Bu adam kim?	Who is that man?
86	Tom ile kal.	Stay with Tom.
87	Hiçbir şeyim.	I am nothing.
88	Biz evliyiz.	We're married.
89	Yardım edin!	Help!
90	Bu ne demek?	What does it mean?
91	Onu bilmiyorum.	I don't know that.
92	Bunun tadı iyi.	This tastes good.
93	Tüm aşkımla.	With all my love.
94	Teşekkürler!	Thank you!
