rank	sentence	english
1	Sors de là !	Get out of there.
2	Je vois mal.	I have weak sight.
3	Il est ici !	Here he is!
4	Pas touche !	Hands off.
5	Je le pense.	I think so.
6	Que lis-tu ?	What are you reading?
7	À la vôtre !	Cheers!
8	Vous mentez.	You are lying.
9	Tu es seul ?	Are you alone?
10	J'ai un œuf.	I have an egg.
11	Respecter les règles, c' est important.	Obeying rules is important.
13	Et ta sœur ?	And your sister?
14	Il est ici !	Here he is!
16	C'est froid durant l' hiver, chaud durant l'été.	It's cold in the winter, warm in the summer.
17	Ne crie pas.	Don't shout.
18	Je les aime.	I like them.
20	En voiture !	By car!
21	On se calme.	There's no hurry.
22	Ça commence.	It's starting now.
23	J'en ai une.	I have one.
24	Sais-tu même la signification d'« ironique » ?	Do you even know what ironic means?
25	Pas ce soir.	Not tonight.
26	Qu' y a-t-il dans votre armoire à pharmacie ?	What's in your medicine cabinet?
27	Je suis pour.	I'm for it.
28	J'en ai un !	I got one!
29	Il n' y avait personne.	Nobody was around.
30	Des indices ?	Any clues?
31	Qui est-ce ?	Who is he?
32	Mais ouais !	Of course!
33	Dans quel but ?	For what purpose?
34	Nous voilà !	Here we are!
35	Elle marche.	She walks.
36	Je me parle.	I talk to myself.
37	Écoute bien.	Listen carefully.
38	Si tu oses !	If you dare!
39	Pas du tout.	Not at all.
41	Je suis sûr.	I am sure.
42	Oui ou non ?	Yes or no?
44	Va avec Tom.	Go with Tom.
45	C'est tout ?	Is that all?
46	Jamais plus.	Never again.
47	C'est mon CD.	It's my CD.
49	Je te crois.	I believe you.
50	Au travail !	Get to work!
51	Ça l'a fait.	It did the trick.
52	C'est à moi.	That is mine.
54	Oui ou non ?	Yes or no?
55	Il va mieux.	He is getting better.
56	Tom y était.	Tom was there.
57	Tu as vomi ?	Did you throw up?
58	Laisse faire.	Let it be.
59	Ils riaient.	They were laughing.
60	Honte sur toi!	Shame on you!
61	C'est quoi ?	What is it?
62	On se calme.	There's no hurry.
63	Comme quoi ?	Such as?
64	Je sais qui.	I know who.
65	Je dois y être.	I must be there.
66	Je te veux !	I want you.
67	Il est ici !	Here he is!
68	Suce ma bite.	Suck my dick.
69	Hé, toi là !	Hey, you there!
70	J'ai dit ça.	I said that.
71	Va lui dire.	Go tell him.
72	À votre santé !	Here's to your health!
73	Tu es seul ?	Are you alone?
74	Pourquoi pas ?	Why not?
75	Où va-t-on ?	Where are we going?
76	Hé, toi là !	Hey, you there!
77	Il n'a rien.	He has nothing.
78	Et cette robe ?	What about this dress?
79	Ils sont là.	They are here.
80	Depuis quand ?	Since when?
81	Je peux lire.	I can read.
82	Qu'en dire ?	What can be said about it?
83	Mets le son.	Turn the sound on.
84	Vous avez bu ?	Had you been drinking?
85	Où je vais ?	Where am I going?
86	Mince alors.	Darn.
87	Et ton père ?	How about your father?
88	Et comment !	And how!
89	Oui, par là.	Yes, over there.
90	Oui ou non ?	Yes or no?
91	Autre chose ?	Need anything else?
92	Bon voyage !	Have a safe trip.
93	Ils ont nagé.	They swam.
94	Grand merci.	Thank you ever so much.
95	C'est juste.	That's true.
96	Très drôle !	Funny!
97	Jamais plus.	Never again.
98	J'ai été vu.	I've been seen.
99	À moi aussi.	Me, too.
100	On se fait avoir.	We're being conned.
101	Pas vraiment.	Not really.
102	Tu vas voir.	You'll see.
103	Même pas moi !	Not even me!
104	Sa vue baisse.	His eyesight is failing.
105	Oh, pardon !	Oh, sorry.
106	Et maintenant ?	And now?
107	Tous partis.	All gone.
