rank	word	english	ipa
1	saya	First person singular pronoun; I, me	/ˈsajə/
2	yang	An article that denotes a noun with the connecting…	[jaŋ]
3	aku	First person singular pronoun; I, me	/ˈaku/
4	dia	Genderless third person pronoun; he, she, it	/ˈdijə/
5	awak	Second person singular pronoun; you	/ˈawak/
6	kau	you, your	/ˈkaw/
7	ini	this here	/ˈini/
8	di	Used to indicate location or direction; in, at, on	/di/
9	tak	not	/ˈtak/
10	dan	and	/dan/
11	akan	For	[a.kan]
12	tidak	not, negates verbs	/ˈtidaʔ/
13	kita	we, us	/ˈkitə/
14	apa	Used as an interrogative pronoun	/ˈapə/
15	kamu	you	/kamu/
16	itu	that	/itu/
17	untuk	for	/ˈuntuk/
18	ada	There are, there is	/ˈadə/
19	boleh	To be able to; can	[bo.leh]
20	mereka	Third person plural pronoun; they, them	/məˈrekə/
21	dengan	with	/dəˈŋan/
22	anda	Second person singular pronoun; you	/ˈanda/
23	tahu	to know	/tahu/
24	ke	or	/ˈkə/
25	kami	Exclusive first person plural pronoun; we, us	/ˈkami/
26	ya	The 29th letter of the Arabic alphabet	[ja]
27	dari	from	/ˈdari/
28	dalam	inside, in, within	/dalam/
29	sini	here	/sini/
30	semua	all	/səˈmuə/
31	tapi	alternative form of tetapi	/ˈtapi/
32	pergi	To go	[pə(r).ˈɡi]
33	orang	I, me, my, one	/ˈoraŋ/
34	adalah	To be	[a.də.lah]
35	nak	contraction of hendak	/ˈnak/
36	ia	Genderless third person pronoun; he, she, they	[i.jə]
37	jadi	so; therefore; thus; consequently	/ˈd͡ʒadi/
38	sekarang	now, today	/səˈka.raŋ/
39	lagi	again, anew	/ˈlaɡi/
40	pada	at, on	[pa.də]
41	jangan	don't; marks the negative imperative	/ˈd͡ʒaŋan/
42	dah	clipping of sudah	/da(h)/
43	bukan	not	/ˈbukan/
44	buat	to make; to create	/buat/
45	sudah	perfective aspect marker, indicating that the process has…	/ˈsudah/
46	seperti	like, similar to	/səpə(r)ˈti/
47	jika	if	/ˈd͡ʒikə/
48	baik	good	/ˈbaek/
49	perlu	For	/pərˈlu/
50	mana	where	/ˈmanə/
51	satu	one	/satu/
52	telah	already, has, have	/tə.lah/
53	hanya	only	/ˈhaɲa/
54	lebih	more, over, -er	/ləˈbeh/
55	datang	to come	/ˈdataŋ/
56	mungkin	Maybe, perhaps, possibly	/ˈmuŋken/
57	saja	alternative form of sahaja	/ˈsad͡ʒə/
58	kenapa	Why; for what reason	/kəˈnapə/
59	ayah	A father	/ˈajah/
60	sangat	very	/ˈsaŋat/
61	siapa	who, whose	/ˈsiapə/
62	mahu	to want, to desire	/ˈma(h)u/
63	bagaimana	how	/baˌɡaiˈmana/
64	hari	day: A period of time equal or almost equal to a full…	/ˈhari/
65	dapat	To be able to; can	[da.pat]
66	juga	too, also	/ˈd͡ʒuɡə/
67	terima	To receive	
68	rasa	taste, flavour	/ˈrasə/
69	kasih	love, care, affection	/ˈkaseh/
70	masa	During the time that; when	/masa/
71	kalau	if, in case	/ˈkalaw/
72	ni	this here	/ni/
73	lakukan	to do something	/laˈkukan/
74	tuan	Sir, mister	/tuan/
75	pernah	ever; once; used to; have	/pə(r)ˈnah/
76	tu	that	/tu/
77	atau	or	[a.tau̯]
78	sesuatu	something	/səˈsuatu/
79	mari	here	/ˈmari/
80	sana	there	/ˈsanə/
81	kepada	In the direction of	/kəˈpadə/
82	masih	still	/ˈmaseh/
83	mati	dead, death, deceased	/mati/
84	adakah	Question pronoun used to inquire about the truth of a…	/ˌadəˈkah/
85	tiada	alternative form of tidak ada	
86	kerana	because	/kərana/
87	baiklah	all right	
88	menjadi	to become; to turn into	/mənˈd͡ʒadi/
89	banyak	many, much, a lot	/ˈbaɲak/
90	cakap	to talk; to speak	/ˈt͡ʃakap/
91	betul	Exactly	/bəˈtol/
