rank	sentence	english
1	Tôi mập quá.	I'm so fat.
2	Đi ăn không?	Do you want to eat?
3	Emily là ai?	Who's Emily?
4	Tôi ghét anh.	I hate you.
5	Tom có than.	Tom has coal.
6	Cô ta sắp đi.	She's about to leave.
7	Em là của anh.	You're mine.
8	Rửa chân đi.	Wash your feet.
9	Trời đã mưa.	It rained yesterday afternoon.
10	Đó là Tom à?	Is he Tom?
11	Tom sẽ thua.	Tom will lose.
12	Chúng ở đây.	They're here.
13	Bạn muốn gì?	What do you want?
14	Chờ một chút.	Wait one minute.
15	Tôi đọc được.	I can read.
16	Bạn sống và học.	You live and learn.
17	Cô ấy đã khóc	She cried.
18	Làm tốt lắm.	Well done.
19	Phải đi thôi.	Gotta go.
20	Chó đâu rồi?	Where is the dog?
21	Chào mọi người.	Hi, everyone.
22	Tom đây này.	Here's Tom.
23	Gọi cho Tom.	Call Tom.
24	Anh sẽ nhớ em.	I will miss you.
25	Lại đây nào.	Come here.
26	Con chó sủa.	The dog is barking.
27	Sao lại thế?	Why?
28	Tom đã biết.	Tom knew.
29	Ông tên là gì?	What is your name?
30	Nói thật đi.	Tell the truth.
31	Nó không xa.	It’s not far.
32	Nó không thể	It can't be!
33	Cứu tôi với!	Help me!
34	Tớ thích cậu.	I like you.
35	Sao lại thế?	Why?
36	Lại đây nào.	Come here.
37	Mở miệng ra!	Open your mouth!
38	Tôi đoán vậy.	I guess so.
39	Tôi đã để ý.	I noticed.
40	Thử xem nào.	Let's have a try.
41	Cô ấy đã khóc	She cried.
42	Cái kia ướt.	That's wet.
43	Tôi đang ăn.	I am eating.
44	Bạn muốn gì?	What do you want?
45	Vào trong đi.	Get inside.
46	Đơn giản mà.	It's simple.
47	Đừng như cô ta.	Don't be like her.
48	Nhưng cái mùi gì đây?	But what's this smell?
49	Tôi ít khi khóc.	I rarely cry.
50	Những con mèo!	Cats!
51	Hãy đến sớm.	Come early.
52	Chó đâu rồi?	Where is the dog?
53	Có chuyện gì?	What's up?
54	Họ chỉ ăn cơm.	They only ate rice.
55	Đừng nói gì cả.	Say nothing.
56	Về cái gì cơ?	About what?
57	Lụa thì đắt.	Silk is expensive.
58	Họ đang say.	They're drunk.
59	Hãy đúng giờ.	Be punctual.
60	Phải đi thôi.	Gotta go.
61	Tôi thấy tởm.	I feel lousy.
62	Chứ còn gì nữa.	Duh.
63	Ai cũng biết.	Everybody knows.
64	Kéo rèm vào.	Close the curtains.
65	Cảm ơn các bạn.	Thank y'all.
66	Chuẩn bị đi.	Be prepared.
67	Hãy nghĩ đi!	Think!
68	Giá tốt đấy.	That's a good price.
69	Emily là ai?	Who's Emily?
70	Nói thật đi.	Tell the truth.
71	Tôi sẽ bắn hắn.	I'm gonna shoot him.
72	Nó xa đấy nếu đi bộ.	It’s a long way on foot.
73	Tom rùng mình.	Tom shuddered.
74	Tom làm việc tốt.	Tom does good work.
75	Lại nữa sao?	Again?
76	Tom rất vui.	Tom was happy.
77	Vì sao con khóc?	Why are you crying?
78	Họ cần tiền.	They needed money.
79	Bạn chắc chứ	Are you sure?
81	Đừng làm điều đó.	Let's not do that.
82	Tom tới từ Úc.	Tom is from Australia.
83	Xin lỗi bạn.	Excuse me.
84	Tom ăn mọi thứ.	Tom ate everything.
85	Bạn đói chưa?	Are you hungry yet?
86	Tôi xây nhà.	I build houses.
87	Tom béo lên.	Tom became fat.
88	Hãy đúng giờ.	Be punctual.
89	Tom từ chối.	Tom refused.
90	Im mẹ mồm đi!	Shut your big mouth.
91	Tom đã nghe.	Tom listened.
92	Nhanh hơn nữa!	Faster!
93	Chào mọi người.	Hi, everyone.
94	Bạn muốn gì?	What do you want?
95	Tớ thích cậu.	I like you.
96	Tom nên ở đây.	Tom should be here.
97	Tom đã chết.	Tom died.
98	Tôi cau mày.	I frowned.
99	Cảm ơn anh bạn.	Thank you, brothers.
100	Tôi gật đầu.	I nodded.
101	Đừng ngượng.	Don't be shy.
102	Nó tìm chỗ ngủ.	He looked for a place in which to sleep.
103	Giá tốt đấy.	That's a good price.
104	Tôi tin Tom.	I trust Tom.
105	Hãy nghĩ đi!	Think!
106	Tôi mập quá.	I'm so fat.
107	Tom nói nhiều.	Tom was talkative.
108	Mời Tom đi trước.	After you, Tom.
109	Dũng cảm lên.	Be brave.
110	Bà tên là gì?	What is your name?
112	Nghe hay đấy.	Sounds good.
113	Công lý rất đắt.	Justice is expensive.
114	Mẹ tôi là nhất!	My mom is the best!
115	Tao độc thân.	I am single.
116	Bố tôi yêu mẹ tôi.	My father loves my mother.
117	Tom đi tất vào.	Tom put on his socks.
118	Nó cách bao xa?	How far is it?
119	Bạc ở trên bàn	The silver is on the table.
120	Bà tên là gì?	What is your name?
121	Xin lỗi bạn.	Excuse me.
122	tại sao bạn hỏi	Why do you ask?
123	Họ đã thành công.	They succeeded.
124	Quay lại sau!	Come back later!
125	Cháu nó rất trẻ.	She is very young.
126	Một ngày tồi tệ.	A terrible day.
127	Tom nghĩ khác.	Tom thought otherwise.
128	Thử xem nào.	Let's have a try.
