rank	sentence	english
1	Dis die lewe.	That's the way the cookie crumbles.
2	Hy rook nie.	He does not smoke.
3	Ek weet nie.	I don't know.
4	Waar is Jim?	Where is Jim?
5	Ons het wyn.	We have wine.
6	Jy is dronk!	You are drunk!
8	Wie was dit?	Who was that?
9	My kat blaf.	My cat barks.
10	Dankie en totsiens!	Thank you and goodbye!
11	Ons het wyn.	We have wine.
12	Wat doen jy?	What are you doing?
13	Hy sien jou.	He sees you.
14	Ek hou van jou.	I love you.
15	Glo jy in God?	Do you believe in God?
16	Dis te lelik.	It's too ugly.
17	Hy hardloop.	He runs.
18	Stem vir ons!	Vote for us!
19	Sy hardloop.	She runs.
20	Maar hoekom?	But why?
21	Jy moet gaan.	You must leave.
22	Tom sal nee sê.	Tom will say no.
23	Kan voëls ruik?	Can birds smell?
24	Dis 'n boek.	That's a book.
25	Kan jy so lank wag?	Can you wait that long?
27	Ek dink met my kop.	I think with my head.
28	Ek weet dat sy slaap.	I know she is sleeping.
29	Hulle het wyn.	They have wine.
30	Sy's jonger as hy.	She's younger than him.
31	Wie was dit?	Who was that?
32	Ja, ek verstaan.	Yes, I understood.
33	Hier kom hy.	Here he comes.
34	Jy moet gaan.	You must leave.
35	Eet ons nou?	Are we eating now?
36	Hier kom hy.	Here he comes.
37	Was Tom daar?	Was Tom there?
38	Maak iets op.	Make something up.
39	Ek wil dans.	I want to dance.
40	Jy teken hom.	You draw him.
41	Ek weet nie.	I don't know.
42	Vergeet haar.	Forget about her.
43	Wat gaan aan?	What's shaking?
44	Wees versigtig!	Careful!
45	Ek was net beskaaf.	I was just being polite.
46	Tom sal nee sê.	Tom will say no.
47	Wat doen jy?	What are you doing?
48	Maar hy leef nog?	But he's still alive?
49	Die botter ruik goed.	The butter smells good.
51	Hoe oud is jy?	How old are you?
52	Tom was ook dronk.	Tom was also drunk.
53	Dit word vertaal!	It is being translated!
55	Hy sien jou.	He sees you.
56	Julle het wyn.	You have wine.
57	Tom was laat.	Tom arrived too late.
58	Ek werk by 'n bank.	I work in a bank.
59	Weet Tom al?	Does Tom already know?
60	Ek wil iets sê.	I want to say something.
61	Wie se kar is dit?	Whose car is this?
62	Baie dankie!	Thank you very much!
63	Hierdie is dom.	This is stupid.
64	Ek is soos my ma.	I am like my mother.
65	Wat maak hy?	What does he do?
66	Ek dink aan U.	I'm thinking about you.
67	Koop of vrek!	Buy or die!
68	Tom was toe hier.	Tom was here then.
69	Waar is Jim?	Where is Jim?
70	Ek gee om oor hom.	I care about him.
71	Alles is weg.	Everything's gone.
72	Een koek was gevries.	One cake was frozen.
73	Ek sien niks.	I don't see anything.
74	Hy was uit asem.	He was out of breath.
75	Ek hou van jou.	I love you.
76	Julle moet bly.	You must stay.
77	Maak iets op.	Make something up.
78	Wie was dit?	Who was that?
79	Ek is nie meer bang nie.	I'm not afraid any more.
80	Jy sou nie my glo nie.	You wouldn't believe me.
81	Dis wat jy kry!	That is what you get!
82	Sy kyk na ons.	She's looking at us.
83	Dis 'n goeie begin.	It's a good start.
84	Hy is 'n ou man.	He's an old man.
85	Baie dankie!	Thank you very much!
86	Hou die deur oop.	Keep the door open.
87	Ekskuus tog?!	Excuse me?!
88	Praat U Frans?	Do you speak French?
89	Ek gee dit terug.	I'm giving it back.
90	Ek swem elke dag.	I swim every day.
91	Hy het my alles vertel.	He told me everything.
92	Ek is geen dokter.	I'm not a doctor.
93	Ek werk hier.	I work here.
94	Tom sal pret hê.	Tom will have fun.
95	Alles is weg.	Everything's gone.
96	Tom kook nooit.	Tom never cooks.
97	Wel, hier is ons!	Well, here we are!
98	Ons almal gaan.	We're all going.
99	Die kos is reg.	The food is ready.
100	Ek kon nie ophou Tom.	I couldn't stop Tom.
101	Mense is dom.	People are stupid.
102	Dis die lewe.	That's the way the cookie crumbles.
