rank	sentence	english
1	Por que não?	Why not?
4	Não importa.	It's not important.
5	De novo não!	Not again!
8	Você tem um?	Do you have one?
9	Dá para ver?	Can you see?
10	Eu trabalho.	I am working.
11	É uma farsa.	That's a fake.
12	Está quente.	It's hot.
13	Com licença.	Excuse me.
14	Não se mova.	Don't move.
15	Gosto do sol.	I like the sun.
16	Por que não?	Why not?
17	Você os viu?	Have you seen them?
18	Ele é forte.	He's strong.
19	Mas por quê?	But why?
20	Vote em nós!	Vote for us!
21	Eu nado bem.	I can swim well.
22	Isso é real?	Is this real?
23	É da Bíblia.	It's from the Bible.
24	Como quiser.	Suit yourself.
25	Sim, eu amo.	Yes, I love it.
26	Lave as mãos.	Wash up.
27	Moro no Rio.	I live in Rio.
28	Querem mais.	They want more.
29	Fui na loja.	I went to the shop.
30	É meu amigo.	This is my friend.
31	Assine aqui.	Sign here.
32	Eu me rendo.	I give in.
33	É muito bom.	It's very good.
34	Foi hilário!	It was hilarious!
35	Ela abortou.	She had an abortion.
36	Eu uso isto.	I use this.
37	Estou cheio.	I'm full.
38	Quero fazer.	I want to do this.
39	Agora vamos?	Shall we go now?
40	Você já vai?	You're leaving already?
41	Vai ser bom.	It's going to be good.
42	Você já vai?	You're leaving already?
44	Falha minha.	My mistake.
45	Senti-me só.	I felt lonely.
46	Vá ao pátio.	Go to the patio.
47	Você tem um?	Do you have one?
48	Isso é tudo.	That's all.
49	Eu te quero.	I want you.
50	Porque agora?	Why now?
51	Há elevador?	Is there an elevator?
52	Tenho febre.	I have a high temperature.
53	Vou estudar.	I am going to study.
54	Tu primeiro.	You go first.
55	Eu sei voar.	I can fly.
56	Quando chega?	When does it arrive?
57	Agora vamos?	Shall we go now?
58	Estás louco?	Are you crazy?
59	Quem é você?	Who on earth are you?
60	Você irá lá?	Will you go there?
61	O que é, então?	What is it, then?
62	Queria ter um.	I wish I had one.
63	Era urgente.	It was urgent.
64	Quem é você?	Who on earth are you?
65	Onde estive?	Where have I been?
66	Nada receio.	I fear nothing.
67	Café ou chá?	Coffee or tea?
68	Há pouca coisa.	There are few things.
69	Quero dizer!	I mean it!
70	São marrons.	They're brown.
71	Eu te quero.	I want you.
72	Estava aqui.	It was here.
73	Quem sou eu?	Who am I?
74	É seu livro.	This is your book.
75	Pode entrar!	Come on in!
76	Sê tu mesmo.	Be yourself.
77	Esta é fácil.	This is an easy one.
78	Aí vêm eles.	Here they come.
79	Nós o vimos.	We've seen him.
80	É a sua vez.	It's your move.
81	Sou dos EUA.	I'm from the USA.
82	Todos riram.	Everybody laughed.
83	Ela nos ama.	She loves us.
84	Vote em mim!	Vote for me!
85	Posso comer?	Can I eat?
86	Bom apetite!	Enjoy your meal!
87	Dá para ver?	Can you see?
88	Quem é este?	Who's this?
89	Casa comigo?	Will you marry me?
90	Temos vinho.	We have wine.
91	Tens família?	Do you have a family?
92	É culpa tua!	It's your fault.
93	Nunca votei.	I've never voted.
94	Estão vivos.	They're alive.
95	Até a vista!	Goodbye!
96	Não é assim.	It is not so.
97	O cão é teu.	The dog is yours.
98	Eu não acho.	I don't think so.
99	Podes falar.	You may speak.
100	Eu não disse?	Didn't I tell you so?
101	Ainda chove?	Is it still raining?
102	Dá um tempo.	Give me a break.
103	Você também.	You too.
104	Eu o fiz ir.	I made him go.
105	E o teu pai?	How about your father?
106	Sobre o quê?	About what?
107	É a sua vez.	It's your move.
108	Sobre o quê?	About what?
109	O povo quer!	People want it!
110	Tu és um fã?	Are you a fan?
111	Por favor...	Please...
112	Depois de você.	After you.
113	É tão óbvio?	Is it that obvious?
114	Está melhor?	Is that better?
115	Cheguei, mãe!	I'm home, Mom!
116	Talvez neve.	Maybe it will snow.
117	Olá a todos!	Hello everyone!
118	Não, obrigado.	No, thank you.
119	A noite veio.	Night came on.
120	Graças a ti.	Thanks to you.
121	Sabes nadar?	Can you swim?
122	Quase sempre.	Almost always.
123	Deus existe.	God exists.
124	Estamos bem.	We're fine.
125	Alguém veio.	Someone came.
126	Que dia bom!	What a nice day!
127	Estou certo?	Am I correct?
128	Nem me fale!	Tell me about it!
129	Alguma pista?	Any clues?
130	Água é vida.	Water is life.
131	Tenho 27 anos.	I am 27 years old.
132	Isto é dele.	This is his.
133	Sem sentido.	Nonsense.
134	Não vais lá?	Aren't you going there?
135	É uma das minhas.	It's one of mine.
136	Tinha nevado.	It had snowed.
137	Estar presente.	Be present.
138	Queres sair?	Do you want to quit?
139	Tom vê coisas.	Tom sees things.
140	O homem riu.	The man laughed.
141	Quantas pessoas?	How many people?
142	Escuto algo.	I can hear something.
143	Ouvi pelo rádio.	I heard it on the radio.
144	Quero ficar.	I want to stay.
145	Boa pergunta.	Good question!
146	Tom já sabe?	Does Tom already know?
147	Parece raro.	It seems strange.
148	Claro que sim!	Of course!
149	Eu fiz dois.	I made two.
150	É a verdade.	It's the truth.
151	Ele é meu tipo!	He is my type!
152	Preciso ir lá?	Do I need to go there?
153	Aconteceu antes.	It has happened before.
154	Comece, senhor.	Get started.
155	Eu lhe disse.	I told him.
156	Podes nadar.	You may swim.
157	Apenas faça.	Just do that.
158	Faz sentido.	It makes sense.
159	Vocês fumam?	Do you smoke?
160	Ninguém riu.	No one laughed.
161	Eu trabalho.	I am working.
162	Tomem outra.	Have another.
163	Me espera ali.	Wait there for me.
164	Quero saber.	I am curious.
165	Fale comigo!	Talk to me!
166	Vão passear.	Go take a walk.
167	Quero dinheiro.	I want cash.
168	Aí vêm eles.	Here they come.
169	Nós podemos!	We can!
170	Dormi pouco.	I didn't sleep so much.
171	Essa foi boa.	That was good.
172	Esse é Carl.	That's Carl.
173	Quão grande?	How big?
174	Faça-o agora, pois!	Do it right now!
175	Grato pela ajuda.	Thanks for helping.
176	A qualquer hora.	Any time.
177	Gosto disso.	I like that.
178	Estou num bote.	I'm on a boat.
179	Em qual rua?	In which street?
180	Tá. Desculpa.	Okay. Sorry.
181	Isso é dela.	It's hers.
182	Hoje choverá.	It will rain today.
183	Ela é toda sua.	She's all yours.
184	Você deve ir.	You must go.
185	É uma mulher.	This is a woman.
186	Queria ir lá.	I wanted to go there.
187	Eu comi fora.	I ate out.
188	É meu filho.	He's my son.
189	Venha cá, John.	Come here, John.
190	Não seja má.	Don't be evil.
191	Meus irmãos!	My siblings!
192	Não é nosso.	It is not ours.
193	Olha o fogo!	Look at the fire.
194	Vá ao pátio.	Go to the patio.
195	Tom é daqui.	Tom is from here.
196	Fique sério.	Get serious.
197	Oh, meu Deus!	Oh my God!
198	À nossa amizade!	For our friendship!
199	Tem certeza?	Are you sure?
200	Que diz ela?	What does she say?
201	Bonito nome.	That's a really nice name.
