rank	sentence	english
2	Որտեղի՞ց ես:	Where are you from?
3	Ոնց որ ցրտեց։	It seems to have gotten colder.
4	Համաձայն եմ:	I agree.
5	Մի բորբոքվի:	Calm down.
7	Ու՞մ հերթն է։	Whose turn is it?
8	Դա իմ ձին է։	It's my horse.
9	Տուր դա ինձ:	Hand it to me.
10	Նա արագացավ:	He accelerated.
11	Ոչ ոք չեկավ:	Nobody came.
12	Դու՛րս եկեք:	Get out.
13	Դո՞ւ, թե՞ ես։	You or I?
15	Նրանք սև են։	They're black.
16	Այդ անորոշ էր:	It was vague.
17	Լսեք այս երգը։	Listen to this song.
18	Դա էլ է ճիշտ:	That's true, too.
19	Նա լսեց քեզ:	She heard you.
20	Սխալվում եք։	You're mistaken.
21	Այն աշխատեց:	That worked.
22	Ինչի՞ համար:	What for?
23	Աշխատում էր:	That worked.
24	Գնա՛, եթե ուզում ես։	Go if you want to.
25	Սակայն, ողջ մնացածները չգիտեին ճշմարտությունը։	However, the surivors didn't know the truth.
26	Ես պիտի չասեի դա։	I should not have said that.
27	Մնա նրա հետ։	Stay with her.
28	Սա սեղան չէ։	This is not a table.
29	Նա կարող է գալ։	She can come.
30	Թոմը իր մոր հետ է:	Tom is with his mother.
31	Սա՝ մեր մեջ։	That stays between us.
32	Թող ամեն ինչ:	Leave everything.
33	Չեմ երազում:	I don't dream.
34	Դա ձեր տեղն է։	That's your seat.
35	Դեռ չգիտե՞ս։	Do you still not know?
36	Հա, նա տանն է։	Yes, he's at home.
37	Մնա նրա հետ։	Stay with her.
38	Դա քո ուժն է:	That's your strength.
39	Նա լսեց ձեզ:	She heard you.
40	Բռնի՛ր նրան:	Grab him.
41	Հիմա գո՞հ եք։	Are you satisfied now?
42	Իսկ հիմա ի՞նչ։	And now, what?
43	Դուք գող եք:	You're a thief.
44	Բայց ինչո՞ւ։	But why?
46	Նա չի ստում։	He doesn't lie.
47	Ես շշմած էի:	I'm flabbergasted.
48	Լավ քնեցի՞ր։	Did you sleep well?
49	Եթե ​​դու սխալվում ես, ուրեմն ես նույնպես:	If you're wrong, then so am I.
50	Թող ամեն ինչ:	Leave everything.
52	Այո, նա տանն է։	Yes, he's at home.
53	Մի բան ասեք:	Say something.
54	Դա միայն Թոմն է:	It's only Tom.
55	Բարի գիշե՜ր:	Goodnight!
56	Անունդ ի՞նչ է, պարոն։	What is your name, sir?
57	Արդեն ուշ է:	Too late.
59	Գործ շատ կա։	There is a lot of work to do.
60	Զննիր նրանց:	Examine them.
61	Մոռացել ենք:	We forgot.
62	Տուր դա ինձ:	Hand it to me.
63	Թիմին պետք ես։	The team needs you.
64	Մենք գիտենք:	We know.
66	Բաց թող նրան:	Release him.
67	Ավելի ուժե՛ղ:	Stronger!
69	Այստեղ արեկ:	You come here.
70	Մեզ մասին չմոռանաս:	Don't forget about us!
71	Սա՝ մեր մեջ։	That stays between us.
72	Թոմը ասե՞ց՝ երբ։	Did Tom say when?
73	Արի մեզ մոտ:	Come over.
75	Դե, ես ստեցի:	Well, I lied.
76	Գիրքը մեծ է։	The book is big.
77	Մեկ ձու եփեք։	Boil one egg.
78	Սառը գիշեր էր։	It was a cold night.
79	Մի խմեք այդպես:	Don't drink like that.
80	Գիրքս նոր է։	My book is new.
82	Կինը գալիս է։	The woman is coming.
83	Ես սարի վրա էի։	I was on the mountain.
84	Նրանք կորան:	They lost.
85	Թոմը անգամ չնայեց։	Tom didn't even look.
86	Արի մեզ մոտ:	Come over.
88	Լսի՛ր, ո՛վ Իսրայել, մեր Տեր Աստվածը՝ Տերը, մեկ է։	Hear, O Israel. The Lord is our God. The Lord is One.
89	Կամ չե՞ս ուզում։	Or don't you want to?
90	Ոչինչ մի ասա:	Say nothing.
93	Մենք նման ենք։	We are similar.
94	Դե դա այլ դեպք է:	Well, that's different.
95	Սպասեք մինչև վաղը։	Wait until tomorrow.
97	Այլևս մի զանգեք:	Don't call again.
99	Ինչո՞ւ հենց ես։	Why me?
100	Քեզանից հետո:	After you.
101	Դու չես լսում:	You're not listening.
102	Չգիտե՞ս՝ ինչպես։	Don't you know how?
103	Քանի՞ որդ գտար։	How many worms did you find?
104	Ահա խոհանոցը։	Here's the kitchen.
105	Ինձ չեն ասել։	I wasn't told.
106	Դա այնքան պարզ էր:	It was that simple.
107	Այնտեղ նայի:	Look there.
108	Ինձ չեն ասել։	I wasn't told.
109	Դու մարդ ես։	You're a human.
110	Ի՞նչ է եղել:	What's wrong?
111	Երեկ լավ օր էր։	Yesterday was a good day.
112	Չի կարող ուշ լինել:	I can't be late.
113	Ժամանակ ունե՞ք։	Do you have time?
114	Օգտագործեք սա որպես ձևանմուշ:	Use this as a model.
116	Սա թռչուն է:	It is a bird.
117	Ես ասացի՝ գուցե։	I said maybe.
118	Գործ շատ կա։	There is a lot of work to do.
119	Աստված ամենագետ է։	God is omniscient.
120	Բոլոր դռները փակ են։	All the doors are locked.
121	Դա հեշտ չէր։	It was not easy.
122	«Ատում եմ այս երգը»։ «Ապա ինչո՞ւ եք պարում»։	"I hate this song!" "Then why are you dancing?"
123	Սիրո՞ւմ ես ինձ։	Do you love me?
124	Բոլորին ասա:	Tell everybody.
125	Երկու ֆունտ է։	It's two pounds.
127	Գնա քաղաքից:	Leave town.
128	Առաջ շարժվի՛ր։	Move forward!
129	Թոմը պետք է տանը լինի։	Tom has to be home.
130	Երբեք մի ստեք։	Never tell lies.
131	Վաղը Սուրբ Ծնունդ է։	Tomorrow is Christmas Day.
132	Նա լիովին ազնիվ էր։	He was completely honest.
133	Նա միշտ անում է միայն այն ինչ իրեն է առավել հարմար։	He always does only what is most convenient for him.
134	Դու լավ հայր ես։	You're a good father.
135	Պատրաստ էին։	They were ready.
