rank	sentence	english
1	Да пробваме!	Let's try it.
3	Не разбирам.	I don't understand.
4	Разведох се.	I got divorced.
6	Беше на Том.	It was Tom's.
7	Ти си човек.	You're a person.
8	За децата е.	It's for the children.
9	Ще те черпя.	I'll treat you.
10	Мисля, че е ОК.	I think it's OK.
11	Не пий това.	Don't drink that.
12	Ще пеете ли?	Are you going to sing?
14	Ти си човек.	You're a person.
15	Не е от мен.	It's not from me.
16	Липсвате ми.	I miss you.
18	Какво искаш?	What do you want?
19	Да, знам го.	Yes, I know it.
20	Изморен съм.	I'm tired.
21	Но теб те няма там.	But you're not there.
22	Аз се смеех.	I laughed.
23	Ще те черпя.	I'll treat you.
24	Трябва да спиш.	You should sleep.
25	Много добре.	Very good.
26	Извинете ме.	Excuse me.
27	Те са братя.	They're brothers.
28	Няма грешка.	There's no mistake.
29	Може би греша.	Maybe I'm wrong.
30	А ако каже не?	What if she says no?
31	Аз ще ям тук.	I'll eat here.
32	Не е ли така?	Isn't that right?
34	Не ви мразя.	I don't hate you.
35	Дръж се като пич.	Be cool.
36	Много добре.	Very good.
37	Той не пуши.	He does not smoke.
38	По дяволите!	Darn!
39	Има ли деца?	Are there kids?
40	Опасно беше.	It was dangerous.
41	Том чу нещо.	Tom heard something.
42	Тя му купи риза.	She bought a shirt for him.
43	Как си, Том?	How are you, Tom?
44	Защо избяга?	Why did you run away?
45	Те ни чакат.	They're waiting for us.
47	Да, знам го.	Yes, I know it.
48	Само гледам.	Just watching.
49	Броим всичко.	We count everything.
50	Не е от мен.	It's not from me.
51	Сега знаете.	Now you know.
52	Мисля за теб.	I'm thinking of you.
53	Тя се прочу.	She became famous.
54	Вземи което искаш.	Take whichever you want.
55	Искам китара.	I want a guitar.
56	Мога да карам.	I can drive.
57	Той още стои.	He is still standing.
58	Ела когато искаш.	Come whenever you want.
59	До нови срещи.	See you around.
60	Забравих ги.	I forgot them.
61	Кой е този човек?	Who is this person?
62	Просто питам.	I'm just curious.
63	Живи ли сте?	Are you alive?
64	Идваш ли, или не?	Are you coming or not?
65	Къде ще спя?	Where do I sleep?
66	Може би греша.	Maybe I'm wrong.
67	Чия е тази къща?	Who owns this house?
68	Всички умират.	Everyone dies.
69	Не, благодаря.	No, thank you.
70	Лъжеш, нали?	You're lying, aren't you?
71	Сами ли сме?	Are we alone?
72	Там няма нищо.	There's nothing there.
73	Толкова стига.	That's enough.
74	Не знаеш ли?	Don't you know?
75	Още един път.	One more time.
76	Не отидох там, защото исках.	I didn't go there because I wanted to.
77	Идвам след минутка.	Coming in a minute.
78	Ще бъда там.	That's where I'll be.
79	Още имам време.	I've still got some time.
80	Избери този, който харесваш.	Choose the one you like.
81	Какво искаш?	What do you want?
82	Мисля за теб.	I'm thinking of you.
83	Кой е наред?	Whose turn is it?
84	Чакай малко.	Hang on a sec.
85	Имам мнение.	I have an opinion.
86	Така беше преди.	This is how it used to be.
87	Хайде да ядем.	Let's eat.
88	Вече опитах.	I've already tried.
89	Тези твои ли са?	Are those yours?
90	Влезте, моля.	Please come in.
92	Някой знае ли?	Does anyone know?
93	Каза го вече.	You said that before.
94	Работя с него.	I work with him.
95	Наистина е досадно.	It's really annoying.
96	Ние бързаме.	We're in a hurry.
97	Вие сте зли.	You're evil.
98	Имам пациенти, които ме чакат.	I have patients waiting.
99	Няма повече сол.	There's no more salt.
100	Съжалявам да го чуя.	I'm sorry to hear that.
101	Тогава не учех.	I was not studying then.
102	Да. Точно така.	Yes. That's right.
103	Какво става?	What's up?
104	Все още си млад.	You're still young.
105	Ела, ако можеш.	Come if you can.
