rank	sentence	english
1	همین که گفتم.	Because I said so.
2	اشکات رو پاک کن	Wipe your tears.
3	من گرسنه ام.	I'm hungry!
4	برن به جهنم!	They should go to hell!
6	تو ساده‌دلی.	You're gullible.
7	خرش از پل گذشت.	The danger past and God forgotten.
8	اون نمیتونه بجنگه.	He can't fight.
9	با او موافقم.	I agree with him.
10	او در را بست.	He closed the door.
11	میدونم میگی نه.	I know you're going to say no.
12	ما دیر کردیم.	We are late.
13	مگ هم قد کن است.	Meg is as tall as Ken.
14	او شجاع بود.	She was brave.
15	ازت شکایت می کنم	I will sue you.
16	باشه دعوا نکنید!	OK just don't fight!
17	تا کی باز هستید؟	How late are you open?
18	آن‌ها اینجاند.	They're here.
19	چه فکر خوبی!	What a good idea!
21	این یه جمله نیست.	This is not a sentence.
22	این غیر ممکن!	This is impossible!
23	خب، عزیز من، شب به‌خیر!	OK, my dear, good night!
24	آنها فقط لغاتند.	They're only words.
25	به من کمک کن.	Help me!
26	چرا می پرسی؟	Why do you ask?
27	نام شما چیست؟	What is your name?
28	همه می میرند.	Everyone dies.
29	پنیر کپک می زنه اگه نگذاریش توی یخچال.	Cheese goes mouldy if you don't put it in the fridge.
30	چهل سال دارم.	I'm forty years old.
31	کار کمیاب بود.	Work was scarce.
32	چه خریده ای؟	Whom did you buy?
33	پس او چند سال دارد؟	How old is he, then?
34	مؤدب باش، اما محکم.	Be polite, but firm.
35	چرا می پرسی؟	Why do you ask?
36	واقعا خوب بود.	It was really good.
37	خیلی سریع پرش می کنه.	It fills it up way too fast!
38	فراموشش کردم.	I forgot it.
39	حالا تو کی هستی؟	Who are you, anyway?
40	الان ساعت شلوغیه.	It's rush hour.
41	من هر روز می دوم.	I run every day.
42	دیروز عمل شد.	He was operated on yesterday.
43	اوه، واقعاً؟	Oh, really?
44	منو ترک نکن!	Don't leave me!
45	بهت احتیاج دارم.	I need you.
46	بچه آب می‌نوشد.	The baby drinks water.
47	جای خالی هست؟	Is there a free spot?
48	مثل آب خوردنه.	Piece of cake!
49	من رو دوست داره؟	Does she like me?
50	دست چپش شکست.	He broke his left arm.
51	من باید بدانم.	I must know.
52	خیلی متشکرم.	Thanks a lot!
53	تام اخم کرد.	Tom frowned.
54	روشن حرف بزن.	Speak clearly.
55	شام چی خوردی؟	What did you eat for dinner?
56	نمیشه بریم خونه?	Can't we just go home?
57	واسه همینه که هنوز مجرّدی.	That's why you're still single.
58	بله، قطعاً موافقم.	Yes, I certainly agree.
59	تام فرار کرده است.	Tom has run away.
60	سلام٬ چطوری؟	Hello, how are you?
61	پارک کردن ممنوع!	Parking prohibited!
62	برای زندگی ات بدو!	Run for your life!
63	تی شرتم آب رفت چون شستمش.	My T-shirt shrank because I washed it.
64	حرفت را بزن!	Speak up!
65	بعد از ظهر به خیر.	Good afternoon.
66	آن را سریع انجام بده.	Do it quickly.
67	داده ها درست نیست.	The data is incorrect.
68	من عضو هستم.	I am an office worker.
69	ما دو بچه داریم.	We have two children.
70	روز خوبی داشته باشید.	Have a good day.
71	وقت گرانبهاست.	Time is money.
72	زمین گرد است	The earth is round.
73	خر خونی بسته دیگه!	Stop being such a bookworm!
74	الوار هنوز سبز است.	The lumber is still green.
75	پشت سر من بیا.	Follow me.
76	خوشمزه نیست؟	Isn't it delicious?
77	چه روز قشنگی.	What a wonderful day.
78	کجا بوده‌اید؟	Where've you been?
79	دسر مورد علاقه ات چیست؟	What's your favorite dessert?
80	اینجا خالی است.	The place is free.
81	او دعوت شده بود، ولی نیامد.	He was invited, but he didn't come.
82	خوبم، ممنون.	I'm fine, thank you.
83	واقعا خوب بود.	It was really good.
84	وقت شما تمام شد.	Your time is over.
85	راه خراب است.	The path is broken.
86	مراقب خودت باش	Take care of yourself.
87	تام تنها آمد.	Tom came alone.
88	من نخواهم مرد.	I won't die.
89	ساعت چند است.	What time is it?
90	فوری به نظر می رسد.	That sounds urgent.
91	چهل سال دارم.	I'm forty years old.
92	به من کمک کن.	Help me!
93	تو تلاش نمی کنی!	You are not trying!
94	دوباره سعی کن.	Try again.
95	من چیزی ندارم.	I have nothing.
96	همین که گفتم.	Because I said so.
97	هوا چطور است؟	What is the weather like?
98	به پایین نگاه کن.	Look at the bottom.
99	خودش به من گفت.	She told me so herself.
100	به دقت گوش کن.	Listen carefully.
101	فارسی صحبت می‌کنی؟	Do you speak Farsi?
102	تو پسر نیستی.	You're not a boy.
103	باید از قبل سفارش دهید.	You should order in advance.
104	تو آدم هستی.	You are human.
105	دوست ندارم شب تنها بیرون برم	I don't like going out by myself at night.
106	او از من شروع کرد.	He stared at me.
107	احمق و پولش به راحتی از هم جداشدنی هستن.	A fool and his money are easily parted.
108	چه خریده ای؟	Whom did you buy?
109	کیفت بر روی میز من است.	Your bag is on my desk.
110	اول خانم ها بفرمایند.	Ladies first.
111	آن را کجا قرار دادم؟	Where did I put it?
112	حال شما چطوره؟	How are you?
113	پول را یافتم.	I found the money.
114	داشتم قدم می‌زدم.	I was taking a walk.
115	یا خدا! کری؟	Geez! Are you deaf?
116	سه نفر هنوز گمشده هستند.	Three people are still missing.
117	یک بار دیگر.	Once again.
118	شما بی‌صبر هستید.	You're impatient.
119	درباره چه حرف می زنید؟	What are you talking about?
120	او به خاطر تصادف، کور شد.	He became blind because of the accident.
121	امروز نمی‌آید.	He isn't coming today.
122	تو ماشین داری؟	Do you have a car?
123	یک بار دیگر.	Once again.
124	او در معرض هیجان‌زده شدن بود.	He is prone to getting excited.
125	او وجود ندارد.	He doesn't exist.
127	شب به خیر، تام.	Good night, Tom.
128	تو دختر نیستی.	You're not a girl.
129	اگر خراب نشد، تعمیرش نکن.	If it ain't broke, don't fix it.
130	برای استفاده دهانی.	For oral use.
131	هنوز او را دوست داشت.	She still loved him.
132	مردم تحت فشار هستند.	The people are under pressure.
133	من نان بدون نمک می‌خورم.	I eat bread without salt.
134	قبل از ناهار میاد البته اگر اصلا بیاد.	He'll come before lunch if he comes at all.
135	وقتی که بچه بودم، مادرم مرد.	My mother died when I was a kid.
136	تام سه سگ دارد.	Tom has three dogs.
137	باید پیدایش کنیم.	We must find it.
138	ساعت چند است.	What time is it?
139	تا کی باز هستید؟	How late are you open?
