rank	sentence	english
1	我不知道應該說什麼才好。	I'm at a loss for words.
2	爱迪生不是个优秀的学生。	Edison was not a bright student.
3	这个炸弹可以炸死很多人。	This bomb can kill many people.
4	世界就是一个疯子的囚笼。	The world is a den of crazies.
5	如果你喜歡，就送給你吧。	You may have it for the asking.
6	我不能让自己做这样的事。	I cannot bring myself to do such a thing.
7	我不能让自己做这样的事。	I cannot bring myself to do such a thing.
8	你要去伦敦读书是真的吗？	Are you really going to London to study?
9	昨天有个田中先生来找您。	A Mr. Tanaka came to see you yesterday.
10	我只是想要听听你的嗓音。	I just felt like hearing the sound of your voice.
11	我希望下周不要再生病了。	I hope I won't still be ill next week.
12	让我知道我是否需要改变。	Let me know if I need to change.
13	老师不可能说过这样的事。	The teacher cannot have said such a thing.
14	他不是歌手，但是个演员。	He is not a singer, but an actor.
15	所以我們還是留在家中吧。	So we'd better stay home.
16	那帮人也和我们一起来了。	The group of people came along with us.
17	我們不能分辨那對雙胞胎。	We could not tell the twins one from the other.
18	她很关心孩子的营养问题。	She is careful about her child's nutrition.
19	我已经好久没有看到她了。	I haven't seen her for a long time.
20	我们在下个加油站停一下。	Let's stop at the next gas station.
21	他们每天必须工作8小时。	They must work 8 hours a day.
22	看看我的答案是不是對的。	See if my answer is correct.
23	法律有很多不明确的地方。	The law is full of ambiguities.
24	我以為他一定會考試合格。	I took it for granted that he would pass the exam.
25	我希望将来成为一名牙医。	I wish to become a dentist in the future.
26	露西和我一样有很多朋友。	Like me, Lucy has many friends.
27	今天的使命：奶茶跟麻糬。	Today's mission: milk tea with mochi.
28	我跟父母讲了留学的事情。	I talked with my parents about my studying abroad.
29	他一直抱怨他的房间很小。	He is always complaining of his room being small.
30	所有迹象表明她好起来了。	All the signs are that she is getting better.
31	我不知道應該說什麼才好。	I'm at a loss for words.
32	我明白你為甚麼不想去了。	I see why you don't want to go there.
33	成年人很難理解那些音樂。	The music is difficult for grownups to understand.
34	我明白你為甚麼不想去了。	I see why you don't want to go there.
35	据说他爸爸在外国去世了。	It is said that his father died in a foreign country.
36	對不起。一切都是我的錯。	Sorry. It's all my fault.
37	我不相信謠言。你相信嗎？	I don't believe the rumours. Do you believe them?
38	她很想要一条新的连衣裙。	She wants a new dress badly.
39	有人死了的时候真是遗憾。	It's a pity when somebody dies.
40	你好，我叫 Nancy。	Hello, I am Nancy.
41	让您等了很久，我很抱歉。	I'm sorry I've kept you waiting so long.
42	奈良是个非常古老的城市。	Nara is a very old city.
43	大家都在聚精會神地聽著。	Everyone was listening very carefully.
44	有人死了的时候真是遗憾。	It's a pity when somebody dies.
45	英语不容易，但很有意思。	English is not easy, but it is interesting.
46	他比上次見面時胖了一些。	He is fatter than when I last saw him.
47	那個年輕女人手抱著嬰兒。	The young woman was carrying an infant in her arms.
48	我的家離這裏只有一英里。	My house is only a mile from here.
49	去年我第一次去了日内瓦。	Last year was the first time I went to Geneva.
50	得不到的东西就最想得到。	It is the things that we do not possess which seem to us most desirable.
51	我们看见池里有很多活鱼。	We saw a lot of live fish in the pond.
52	任何任务都可能变得费力。	Any task may become painful.
53	看看我的答案是不是對的。	See if my answer is correct.
54	她會唱歌而且舞跳得很美。	She can sing and dance beautifully.
55	生活很困难，但我更坚强。	Life is hard, but I am harder.
56	这男人和他妻子互相帮助。	The man and his wife helped each other.
57	事情發生之前都會有先兆。	Coming events cast their shadows before them.
58	在她家，泔水被喂给猪吃。	In her home, kitchen garbage was fed to the pigs.
59	可是肉店今天公休沒辦法。	But the butcher is observing the holiday today, there's nothing we can do about it.
60	不用说，健康比财富重要。	Needless to say, health is above wealth.
61	把你的名字用大写写下来。	Write your name in capitals.
62	世界上的教育都讓我失望。	Education in this world disappoints me.
63	Jack这次肯定会成功。	Jack is bound to succeed this time.
64	你最好照着医生的建议做。	You had better do as the doctor advised you.
65	馬麻，我的雞雞硬到不行。	Mummy, my willy's all hard.
66	我們要等等看會發生甚麼。	We'll wait and see what happens.
67	爸爸出去了，但妈妈在家。	Father is out, but Mother is at home.
68	我請他們再寄給我一張票。	I told them to send me another ticket.
69	无论如何，都不关你的事。	In any case, it's none of your business.
70	問題是她到底來還是不來。	The point is whether she will come or not.
71	湯姆斯小姐教我們的歷史。	Miss Thomas teaches us history.
72	遇難求上帝，過後全忘記。	The danger past and God forgotten.
73	这些天我的视力正在变差。	My vision is getting worse these days.
74	我想知道明天是否会下雨。	I wonder if it will rain tomorrow.
75	没有什么和和平一样重要。	Nothing is as important as peace.
76	警察对他们说：“住手”。	The policemen said to them, "Stop."
77	只要你微笑，我就会快乐。	If you smile, I'll be happy.
78	Jiro好像错过了火车。	Jiro seems to have missed the train.
79	今晚我們打算去聽音樂會。	Tonight we are planning to go to the concert.
80	凱莉沒上體育課就回家了。	Kelly cut physical education and went home.
81	这台电脑你用多少钱买的？	How much was your new computer?
82	要是你不去滑雪我也不去。	If you don't go skiing, I won't, either.
83	女孩總是跟隨在母親背後。	The girl was always following her mother.
84	他不再是以前的那个他了。	He is not what he used to be.
85	他在劇中演了一個小角色。	He played a minor part in the play.
86	我完全記不起你的名字了。	I quite forget your name.
87	这只蜗牛将触角缩了回去。	The snail draws in its feelers.
88	我不想再听到其他借口了。	I don't want to hear any more excuses.
89	你们这些家伙想去干什么？	What are you guys going to do?
90	你怎麼解釋你缺席的原因？	How do you account for your absence?
91	你钱或者信用卡带来没有？	Did you bring cash or your credit card with you?
92	你自己小心，玩得开心点！	Take care of yourself, and have a good time!
93	得不到的东西就最想得到。	It is the things that we do not possess which seem to us most desirable.
94	节日和考试碰巧在同一天。	The date of the festival coincides with that of the exam.
95	谢谢那天晚上请我吃了饭。	Thanks very much for having me to dinner the other night.
96	你應該好好利用這個機會。	You had better make use of the opportunity.
97	我不知道她為什麼如此生氣。	I have no idea why she got so angry.
98	如果你不了解，就問問題。	If you don't understand, ask a question.
99	他有一个兄弟和两个姐妹。	He has a brother and two sisters.
100	無論何時都要扣好安全帶。	Fasten your seat belt at all times.
101	你對我的個性還不太清楚。	There are a lot of things you don't know about my personality.
102	有些人边看电视边读报纸。	Some people read the newspaper and watch TV at the same time.
103	這個嬰兒還沒有學會走路。	The baby is not capable of walking yet.
104	你的保險公司叫甚麼名字？	What's the name of your insurance company?
105	约翰对他的新房子很自豪。	John is very proud of his new house.
106	也就是說，他根本不想做。	In other words, he doesn't want to do it.
107	不管结果如何，他想要做。	He wanted to do it, whatever the consequences.
108	我如果能找到他，我要殺了那個混蛋。	If I find him, I'll kill the bastard.
109	人是唯一会使用火的动物。	Man is the only animal that can make use of fire.
110	我家附近有个漂亮的公园。	There is a beautiful park near my home.
111	這樣的話，我想他是對的。	In this case, I think he is correct.
112	你嘗過真正飢餓的滋味嗎？	Do you know what it is like to be really hungry?
113	甚至我们的手指都不相像。	Not even our fingers look alike.
114	不好意思，你剛才說甚麼？	I'm sorry, but I didn't catch what you said.
115	我下次會注意啦，好痛喔。	Oww, it hurts. I'll pay attention next time.
116	這位就是誰想見你的夫人。	This is the lady who wants to see you.
117	那就要看你有沒有興趣了。	That depends on whether you are interested or not.
118	你打算在这个国家待多久？	How long do you plan to stay in this country?
119	她的故事带我回到了童年。	Her story took me back to my childhood.
120	我很害怕老師會說些甚麼。	I am afraid of what the teacher will say.
121	我穿好衣服以后就吃早饭。	I'm getting dressed right after I eat breakfast.
122	她到死都改不了那個習慣。	She carried that habit to her grave.
123	我沒有注意到燈變紅色了。	I didn't notice the light turn red.
124	我们很高兴接受你的提议。	We gladly accept your offer.
125	这男人和他妻子互相帮助。	The man and his wife helped each other.
126	他听到消息后失去了理智。	He went mad when he heard the story.
127	她的故事带我回到了童年。	Her story took me back to my childhood.
128	我想知道明天是否会下雨。	I wonder if it will rain tomorrow.
129	空氣是生命中不可或缺的。	Air is indispensable to life.
130	她是一位品行端正的女士。	She is a very correct lady.
131	我有必要向他解释原因吗？	Is it necessary for me to explain the reason to him?
132	你至少该说声”谢谢“吧。	You might at least say "thank you."
133	Jack这次肯定会成功。	Jack is bound to succeed this time.
134	我的新髮型是不是很奇怪？	Is my new hair style funny?
135	夏日的阳光照在我们身上。	The summer sun glared down on us.
136	你們所有的人都做得很好。	All of you did good work.
137	外面要下雨，别忘记带伞。	It's going to rain outside, so don't forget to take an umbrella.
138	他会是我妹妹的好丈夫的。	He will be a good husband to my sister.
139	我不同意她一个人去那儿。	I object to her going there alone.
140	要很長的時間才能恢復嗎？	Will it take long to recover?
141	我弟弟很喜欢拍山的照片。	My brother loves taking pictures of mountains.
142	玩笑而已，不要太认真了。	Just kidding, don't be so serious.
143	你们很久前就应该完成了。	You should have completed it long ago.
144	旅行最快的方式是乘飞机。	The quickest means of travel is by plane.
145	棒球比賽因為天雨取消了。	The baseball game was called off due to rain.
146	去年我第一次去了日内瓦。	Last year was the first time I went to Geneva.
147	我要说的只能是你知我知。	What I'm about to say is strictly between you and me.
148	誰都知道他現在還在人世。	Everybody knows for a fact that he is still alive.
149	他是我太太认识的一个人。	He is acquainted with my wife.
150	我真的不应该再呆下去了。	I really shouldn't stay any longer.
151	兩個女孩都有一雙藍眼睛。	Both girls have blue eyes.
152	我对你的大胆感到很惊讶。	I am amazed at your audacity.
153	最近的天氣愈來愈涼爽了。	It is getting cooler and cooler.
154	各位会讲加泰罗尼亚语吗？	Do you speak Catalan?
155	不好意思，你剛才說甚麼？	I'm sorry, but I didn't catch what you said.
156	要掌握法语一点都不容易。	It's not easy to master French at all.
157	這個嬰兒還沒有學會走路。	The baby is not capable of walking yet.
158	我会等在这儿直到他回来。	I'll wait here till he comes back.
159	湯姆像是我們家庭的一員。	Tom was like a member of our family.
160	你要更好地利用闲暇时间。	You should make better use of your free time.
161	英语不简单，但是很有趣。	English is not easy, but it is interesting.
162	我用五分鐘就算好了那道題。	It took me five minutes to solve the problem.
