rank	sentence	english
1	ٹام جوان ہے۔	Tom's young.
2	میں بیوہ ہوں۔	I am a widow.
3	کس کے بارے میں؟	About what?
4	مجھے نہیں پتہ۔	I don't know.
5	آپ کہاں تھے؟	Where were you?
6	ہم نے بات کی۔	We talked.
7	یہ ایک معجزہ ہے۔	It's a miracle!
8	زور سے بولو۔	Please speak more loudly.
9	کل ملتے ہیں۔	See you tomorrow!
10	آپ کو خطرہ ہے۔	You're in danger.
11	اس نے الٹا کیا۔	He did the opposite.
12	ہم نے بات کی۔	We talked.
13	یہ ایڈورڈ ہے۔	This is Edward.
14	کیا ٹائم ہے ؟	What time is it?
15	تم کیا کرو گے؟	What are you going to do?
16	بس تھوڑا سا صبر اور۔	Just a little more patience.
17	وہ ہنس مارے۔	They burst out laughing.
18	آپ کیسے ہو ؟	How are you?
19	تم کیا کر رہے ہو ؟	What are you doing?
20	ہم نے بات کی۔	We talked.
21	میں کہ رہا ہوں رکو،	I told you to stop, didn't I?
22	میں ٹام کے لئے خوش ہوں۔	I was happy for Tom.
23	مجھ پر بھروسہ کرو۔	Trust me!
24	میں معلم تھا۔	I was a teacher.
25	میں بیوہ ہوں۔	I am a widow.
26	ٹام کا ٦ پیک ہے۔	Tom has a six-pack.
27	مجھے مشورہ دو۔	Give me a tip.
28	برعکس بھی سچ ہے۔	The opposite is also true.
29	تو نے کیا کہا؟	What did you say?
30	ٹام ٹھیک ہے۔	Tom's well.
31	سب کچھ لگا دو۔	All in.
32	کوئی غلطی نہ کرنا۔	Don't make a mistake.
33	سب کچھ لگا دو۔	All in.
34	یہاں نہ آنا۔	Don't come here.
35	آپ اپنے ساتھ کیا کروگے؟	What are you going to do with yourself?
36	ہاں، یہ بڑے آرام سے ہو سکتا ہے۔	Yes, it can be done very easily.
37	ان کے تین بچے ہے۔	They have three children.
38	درخت گر گیا۔	The tree fell down.
39	چھوڑ دو اسے۔	Leave it behind.
40	اب نہیں تو، کب؟	If not now, when?
41	بس یہ اسی طرح ہے۔	That's just the way it is.
42	ٹام غریب ہے لیکن وہ خوش ہے۔	Tom is poor, but he's happy.
43	شاید وہ صرف توارد ہے۔	That's probably just a coincidence.
44	یہ بہت بڑا ہے۔	This is too big.
45	تم کیا کرو گے؟	What are you going to do?
46	ہم نے بات کی۔	We talked.
47	وہ زیادہ ذہین ہے۔	They are more intelligent.
48	آپ کیا پینے چاہتے ہیں، صاحب جی؟	What would you like to drink, sir?
49	کسی نے اُس سے بات کی ہے؟	Has anybody spoken with him?
50	الزام مجھے دیا جائے۔	I'm the one to blame.
51	چھوڑ دو اسے۔	Leave it behind.
52	غلطی نہ کرنا۔	Don't make a mistake.
53	آپ کہاں تھے؟	Where were you?
54	وہ میری بلی ہے۔	That's my pussy.
55	ایک محافظ باہر ہے۔	A guard is outside.
56	تمہیں خطرہ ہے۔	You're in danger.
57	مجھے آپ کی ضرورت ہے۔	I need you.
58	قصور اس کا ہی ہے۔	The fault is his own.
59	تم سب کچھ حاصل نہیں کر سکتے۔	You can't have everything.
60	اس نے جو کیا وہ غلط تھا۔	What he did was wrong.
61	سب کو آخر میں اپنے طور پر سیکھنا چاہئے.	Everyone must learn on their own in the end.
62	وہاں پہ کیا ہے؟	What is over there?
63	کیا وقت ہوا ہے؟	What time is it?
64	یہ اچھا سودا ہے۔	It's a real bargain.
65	آرام سے کام کرو۔	Work slowly.
66	اگر صرف ہمارے پاس ایک باغ ہوتا۔	If only we had a garden!
67	وہ بھاگا کیوں؟	Why did he run away?
68	عقل بڑی یا بھینس۔	What's better, brains or brawn?
69	کتاب بند کرو۔	Close your book.
70	کس کے بارے میں؟	About what?
71	یہ کبھی ختم نہ ہوگی ۔	This is never going to end.
72	بس ایک نمبر لے لو۔	Just take a number.
73	پہلے عورتیں۔	Ladies before gentlemen.
74	میں وہی پہ تھا جب بم دھماکہ ہوا تھا۔	When the bomb exploded, I happened to be there.
75	آپ کہاں تھے؟	Where were you?
76	جلدی واپس آنا۔	Don't be long.
77	ہمیں یہ کرنا چاہئیے۔	We should do it.
78	ادھر نہ آنا۔	Don't come here.
79	وہ ہر صبح دوڑتا ہے۔	He goes running every morning.
80	مجھ پر بھروسہ کرو۔	Trust me!
81	وہ سیدھا میرے پاس آیا۔	He came straight up to me.
82	وہ اس طرف گئی ہے۔	She went that way.
83	کیوبا کے سب لوگوں کو پسند ہیں۔	Everyone in Cuba likes it.
84	ٹام نے اپنے تمام مسائل کا زمہ دار مریم کو ٹھہرایا ہے۔	Tom blames Mary for all of his problems.
85	آدمی روٹی کھا رہا ہے۔	The man is eating bread.
86	میری کم عقلی تھی۔	I've been foolish.
87	یہ لوگ کون ہے؟	Who are those people?
88	قصور میرا ہے۔	I'm the one to blame.
89	مجھے نہیں پتہ۔	I don't know.
90	میں بعد میں آ جائو گا۔	I think I'll come back later.
91	یہ لوگ کون ہے؟	Who are those people?
92	ہم مدد کرے گے۔	We'll help.
93	تحفہ دینے کا بہت شکریہ۔	Thank you for your present.
94	ٹام گھر پہ ہے۔	Tom's home.
95	کتاب بند کرو۔	Close your book.
97	میرا یقین کرو۔	Believe you me.
98	میرا نام علی ہے۔	My name is Ali.
