rank	sentence	english
1	यह किताब है।	It is a book.
2	आग के पास आओ।	Come near the fire.
3	मैं भूल गया।	I forgot.
4	कोई शक नहीं।	No doubt.
5	आप कैसे हैं?	How are you?
6	जरमन में कहो।	Say it in German.
7	वह एक फूल है।	That is a flower.
8	आप कैसे हैं?	How are you?
9	टॉम के लिए करो।	Do it for Tom.
10	खाओ और पियो।	Eat and drink.
11	यह किताब है।	It is a book.
12	जिमी से मिलो।	Say hello to Jimmy.
13	कल पढ़ाई की?	Did you study yesterday?
14	कोई है क्या?	Is anybody here?
15	समझे कि नहीं?	Got it?
16	तुम कैसे हो?	How are you?
17	तुम कैसे हो?	How are you?
18	धीरे काम कर।	Work slowly.
19	मुझे पता है।	I know.
20	आलूओं को काटो।	Cut the potatoes.
21	हम दोस्त थे।	We were friends.
22	यहां कौन था?	Who was here?
23	वह गाने लगी।	She began to sing.
24	टॉम घर पर था।	Tom was at home.
25	मैं ठीक हूँ।	I'm fine.
26	वे रोते रहे।	He kept on crying.
27	यह भी सेव है।	This is an apple, too.
28	वह रोता रहा।	He kept on crying.
29	टॉम का क्या?	What about Tom?
30	अपने पैर धोओ।	Wash your feet.
31	कुछ मत कहना!	Don't say anything!
32	तो क्या हुआ?	So what?
33	कौआ उड़ गया।	The crow flew away.
34	इस घर में भूत है।	The house is haunted.
35	मेरे साथ आईए।	Please follow me.
36	मैं ठीक हूँ।	I'm fine.
37	वह काम करने लगा।	He began to work.
38	सब ठीक किया?	Did you fix everything?
39	हमारे साथ आओ।	Come along with us.
40	उसे छूना मत।	Don't touch it.
41	हाँ। यह सही है।	Yes. That's right.
42	वे खड़े हुए।	They stood.
43	तुम रह सकते हो।	You may stay.
44	लेकिन मुझे गलत मत समझिए।	But don't get me wrong.
45	यहाँ, बैठिए।	Here, sit down.
46	तुम्हें जाना होगा।	You have to go.
47	कोई है क्या?	Is anybody here?
48	किस तरह की ब्रेड पर?	On what kind of bread?
49	वह अब तैयार है।	She's ready now.
50	किसे पता है?	Who knows?
51	कुछ नहीं होगा।	Nothing'll happen.
52	बहुत गरम था।	It was very hot.
53	अजीब बात है।	That's weird.
54	टॉम जा सकता था।	Tom could've gone.
55	दफ़ा हो जाओ!	Get lost!
56	जल ही जीवन है।	Water is life.
57	हमने जला दिया।	We burned it.
58	मुझे काल मत करना.	Don't call me.
59	खुल जा सिमसिम!	Open Sesame!
60	गलती मेरी थी।	The mistake was mine.
61	सब ठीक किया?	Did you fix everything?
62	हमें उनके बारे में बताओ।	Tell us about them.
63	ऐसा लगता है।	That seems like it.
64	मैंने कहा था।	I said so.
65	मैं हूँ जो हूँ।	I am who I am.
66	टॉम वहाँ था।	Tom was there.
67	जब तक जान है, आशा है।	As long as there is life, there is hope.
68	इसे नीचे रख दो।	Put it down.
69	अच्छा, क्या?	Well, what?
70	कौनसा चाहिए?	Which one do you want?
71	वे बाहर हैं।	He's outside.
72	हाथ ऊपर करो!	Put your hands up!
73	टॉम रुका क्यों?	Why did Tom stop?
74	अपनी पीठ सीधी करो!	Straighten your back!
75	तुम कहाँ थे?	Where were you?
76	चलो करते हैं।	Let's do that.
77	छोड़ दो उसे.	Leave her.
78	कोईसा भी ले लो।	Take whichever you want.
79	किसी ने मुझे छुआ।	Someone touched me.
80	फिर मिलेंगे।	I'll see you later.
81	धीरे काम कर।	Work slowly.
82	तो क्या हुआ अगर मैं गे हूँ?	So what if I'm gay?
83	मुझे ये चाहिए।	I want these.
84	आप कैसे हैं?	How are you?
85	बात करते हैं।	Let's talk.
86	पहले खा लेते है।	Let's eat first.
87	बस वहीं रहो।	Just stay there.
88	वे बोलना चाहते हैं।	He wants to talk.
89	टॉम मिल जाएगा।	Tom will be found.
