rank	sentence	english
1	Kur viņi ir?	Where are they?
2	Kur es esmu?	Where am I?
3	Ko tu meklē?	What're you looking for?
4	Un ko tu redzēji?	And what did you see?
5	Tas izdevās.	It worked.
6	Šķiet, ka līst.	It seems to be raining.
7	Man ir nams.	I have a house.
8	Tu to nezini.	You don't know that.
9	Vai tu traks?	Are you crazy?
10	Ko tu meklē?	What're you looking for?
11	Ar labu nakti!	Good night!
12	Par ko tu runā?	What are you talking about?
13	Kas viņš ir?	Who is he?
14	Tā ir laiva.	That is a boat.
15	Kā Jūs sauc?	What is your name?
16	Kas viņš ir?	Who is he?
17	Kas tev kož?	What's biting you?
18	Jā, noteikti.	Yes, certainly.
19	Uz veselību!	Bless you!
20	No kurienes?	From where?
21	Mēs nezinām.	We don't know.
22	Man nav govs.	I don't have a cow.
23	Gulēji labi?	Slept well?
24	Nē, īsti ne.	No, not really.
25	Bet ir problēma.	But there's a problem.
26	Kā Jūs sauc?	What is your name?
27	Ko lai dara?	What to do?
28	Palīdzi man, ja vari.	Help me if you can.
29	Viņa pamāja.	She waved.
30	Nezākā mani!	Don't vilify me!
31	Kā tas bija?	How was it?
32	Apturi viņu.	Stop him.
33	Kur es esmu?	Where am I?
34	Esi mierīgs.	Be calm.
35	Es tevi mīlu.	I love you.
36	Mums izdevās.	We succeeded.
37	Nē, īsti ne.	No, not really.
38	Es tikai skatos.	I'm just looking.
39	Tad darām to.	So let's do it.
40	Kur viņi ir?	Where are they?
41	Kad tas bija?	When was that?
42	Kas jums kaiš?	What's wrong with you?
43	Es arī nezinu.	I don't know either.
44	Viss kārtībā?	Everything okay?
45	Kas pie joda?	What the fuck?
46	Kur es esmu?	Where am I?
47	Nu, es nezinu.	Well, I don't know.
48	Vēl ir agrs.	It's still early.
49	Neesi tik īgns.	Don't be so grumpy.
50	Ir jau vēls.	It's already late.
51	Tēvs ir tur.	Father is there.
52	Kas te smird?	What stinks in here?
53	Kaut kas jauns?	Anything new?
54	Būs jau labi.	All will be fine.
55	Paldies tev.	Thanks to you.
56	Lija visu dienu.	It rained all day.
57	Viņam ir vīns.	He has wine.
58	Dariet to tagad.	Do it now.
59	Kāda velna pēc?	What the heck?
60	Tēvs ir šeit.	Father is here.
61	Kāpēc gan ne?	Why not?
62	Tas būtu žēl.	That would be a shame.
63	Man ļoti žēl.	I'm very sorry.
64	Dzīvo savu sapni.	Live your dream.
65	Kur ir mūsu draugi?	Where are our friends?
66	Sāli, lūdzu.	The salt, please.
67	Viņa taču var braukt, vai ne?	She can drive, can't she?
68	Atgrieziet šo.	Return this.
