rank	sentence	english
1	See on toit.	This is food.
2	Ma ei laula.	I don't sing.
3	Ma ei laula.	I don't sing.
4	Kus sa olid?	Where were you?
5	See on toit.	This is food.
6	Soovin et sa eksiks.	I wish you were wrong.
7	Ja mis siis?	So what?
8	Ta on aednik.	He's a gardener.
9	Kui piinlik!	How embarrassing!
10	Ma teen seda.	I'm going to do that.
11	Kas sa õpid?	Are you studying?
12	Me hilineme.	We are late.
13	Ja mis siis?	So what?
14	Mida ma söön?	What am I eating?
15	Pole oluline!	It doesn't matter!
16	Nad ütlesid jah.	They said yes.
17	Ilm oli soe, aga vihmane.	The weather was warm but rainy.
18	Õpi oma keelt.	Learn your language.
19	Ja mis siis?	So what?
20	Palun tee nii.	Please do so.
21	Kus ma olen?	Where am I?
22	Pese end ära.	Wash up.
23	Kes kus oli?	Who was where?
24	Kes sa oled?	Who are you?
25	Ta tappis mu.	He killed me.
26	See on siin.	It's here.
27	See on kõik.	That's all.
28	Nad lähevad.	They are going.
29	Kes selle tõi?	Who brought this?
30	Sa ei tea midagi.	You don't know anything.
31	Suudle mind!	Kiss me!
32	Kus te olete?	Where are you?
33	Mul on lehm.	I have a cow.
34	Näita mulle.	Show me.
35	Ta on minu õde.	She's my sister.
36	Kes sa oled?	Who are you?
37	Ma vabastan su.	I'm going to release you.
38	Nüüd olen hädas.	Now I'm in trouble.
39	Ma aitan sind.	I'll help you.
40	Kuidas palun?	Pardon me?
41	Ole rahulik.	Be cool.
42	Ma kardan ka.	I'm scared too.
43	Olla või mitte olla?	To be or not to be?
44	Lähme välja.	Let's go outside.
45	See oli tema.	That was him.
46	Tom ujub nagu kala.	Tom swims like a fish.
47	Mina maksan.	I'll pay.
48	Kus on sinu isa?	Where is your father?
49	Tõesti? Miks?	Really? Why?
50	Sulle on sõnum.	There's a message for you.
51	Ehk näeme veel.	Maybe I'll see you around.
52	Ei või olla!	It can't be!
53	Tom on meie sõber.	Tom is our friend.
54	Mine tagasi tööle.	Go back to work.
55	Sul on vett.	You have water.
