rank	sentence	english
1	Hoću da odeš.	I want you to go.
2	Pretoplo je.	It is too hot.
3	Ja ne pevam.	I don't sing.
4	Debljamo se.	We're getting fat.
7	To je tačno.	It's correct.
8	U haosu sam.	I am all mixed up.
9	Na zdarvlje!	Bless you.
10	Ti si tužan.	You're sad.
11	Daj mi broj.	Give me the number.
12	Sve za ljubav.	Anything for love.
13	Pobedila si!	You've won!
14	Ima li koga?	Is anybody on the line?
15	Šta tražite?	What are you looking for?
16	To smo što smo.	We are who we are.
17	Ja sve znam.	I know everything.
18	Tom je strog ali fer.	Tom is strict but fair.
19	Izađi sa nama.	Come out with us.
20	Oni su deca.	They're children.
21	Tom nije lep.	Tom isn't petty.
22	Ovo je lako.	This is easy.
23	Samo gledam.	I'm just looking.
24	Izbegava me.	He avoids me.
25	Ne lažem te.	I'm not lying to you.
26	Od čega živiš?	What do you do for a living?
28	Sramotiš ga.	You're embarrassing him.
29	Prebili bi me	I would get beat.
30	Kako to ide?	How does that work?
32	Dobro došli.	Welcome.
33	Šta ako grešim?	What if I'm wrong?
34	Ja sve znam.	I know everything.
35	Pobedili smo.	We won the match.
36	Kao i obično.	Same as usual.
37	Tom će doći.	Tom'll come.
38	Tako misliš?	Is that what you think?
39	Ja sve znam.	I know everything.
40	Nisam uspeo.	I've failed.
41	Mogu li ući?	Can I come in?
42	Probali ste.	You've tried.
43	Svi su ovde.	Everyone's here.
44	Pa, šta ćemo?	So, what's it gonna be?
45	Bio sam ljut.	I was angry.
46	Zašto pitaš?	Why do you ask?
48	On je trčao.	He ran.
49	Šta još kriju?	What else are they hiding?
50	Smisliću nešto.	I'll make something up.
51	Bilo bi teško.	It would be difficult.
52	Sve je u redu.	Everything's OK.
53	Moraš biti jak!	You must be strong.
54	Koji je lakši?	Which one is easier?
55	Do kad si bio?	How long did you stay?
56	Poznaju vas.	They know you.
57	Reći ću svima.	I'm going to go tell everybody.
58	Hvala ti puno!	Thank you very much!
59	Mi smo iz Rusije.	We are from Russia.
60	Evo šta mislim.	Here's what I think.
61	Šta ima Tom?	What does Tom have?
62	Sad ili nikad!	Now or never.
63	Ti znaš, zar ne?	You know, don't you?
64	Možda grešiš.	You could be mistaken.
65	Evakuišu ih.	They're being evacuated.
66	Više nismo deca.	We aren't kids anymore.
67	Šta je onda plan sada?	So what's the plan now?
68	Gde si sada?	Where are you based now?
69	Hvala vam puno!	Thank you very much!
70	Ti znaš, zar ne?	You know, don't you?
71	Gde je Lori?	Where is Laurie?
