rank	sentence	english
1	Taip ir maniau.	That's what I thought.
2	Aš suprantu.	I understand.
3	Ar tai tavo?	Are these yours?
4	Ačiū, kad grįžai.	Thank you for coming back.
5	Tu atleista.	You're fired.
6	Tai ne mūsų.	This is not ours.
7	Taip, žinau.	Yes, I know.
8	Jis stiprus.	He's strong.
9	Ką tu darai?	What are you doing?
10	Varyk iš čia!	Get the hell out of here!
12	Kaip gyveni?	How are you?
13	Su kuo sutiksi?	Who are you meeting?
14	Ar tu viena?	Are you alone?
16	Atleisk man.	Forgive me.
17	Kas jis toks?	Who is he?
18	Gerai. Sutinku.	OK. I agree.
19	Mano klaida.	My mistake.
20	Bet tai tiesa!	But it's true!
21	Aš iš Kioto.	I'm from Kyoto.
22	Mes grįžtame!	We are coming back!
23	Aš tik žiūriu.	I'm just looking around.
24	Tau spręsti.	You decide.
25	Ji pradingo.	She disappeared.
26	Kur jie yra?	Where are they?
27	Jei nelūžo, netaisyk.	If it ain't broke, don't fix it.
28	Ką jie daro?	What are they doing?
29	Ar tai tavo?	Are these yours?
30	Ji buvo drąsi.	She was brave.
31	Kloju savo lovą.	I am making my own bed.
32	Kur tu eini?	Where are you going?
33	Aš bandau kai ką naujo.	I'm trying something new.
34	Dar ko nors?	Anything else?
35	Ar vesi mane?	Will you marry me?
36	Jūs dvokiate.	You stink.
37	Kur dabar esi?	Where are you now?
38	Apie ką galvoji?	What are you thinking about?
39	Viskas baigta.	It's all over.
40	Ji jį pabudo.	She awoke him.
41	Tave apgavo.	You've been deceived.
42	Tu jo bijai.	You're afraid of him.
43	Jau išeinate?	You're leaving already?
44	Labai tau ačiū.	Thank you very much!
45	Nepamiršk to!	Don't forget it.
46	Aš ten eisiu.	I'll go there.
47	Ko jam reikia?	What is he after?
48	Ačiū už picą.	Thanks for the pizza.
49	Tu turi eiti.	You must go.
50	Kodėl verki?	Why are you crying?
51	Eik po velnių!	To the devil with you!
52	Dėl Dievo meilės!	For the love of God!
53	Tai ne mūsų.	This is not ours.
54	Buvau per mažas.	I was too small.
55	Dar ko nors?	Anything else?
56	Jie gali eiti.	They may go.
57	Gal kąsnelį?	How about a bite?
58	Aš jūsų klausau.	I'm listening to you.
59	Tikrai taip!	Indeed!
60	Ačiū Dievui.	Thank God.
61	Sakyk ką nori.	Say what you want.
62	Dar ko nors?	Anything else?
63	Ji mirė nuo šoko.	She died of shock.
64	Turiu kosulį.	I have a cough.
65	Tai bus lengva.	This is going to be easy.
66	Jis jos lauks.	He will be waiting for her.
67	Štai tau laiškas.	Here is a letter for you.
68	Nepalik manęs!	Don't leave me!
69	Jis ją myli.	He loves her.
70	Nuostabu čia būti.	It's wonderful to be here.
71	Šitas yra mums.	This one is for us.
72	Ko jam reikia?	What is he after?
73	Labai jums ačiū!	Thank you very much!
74	Aš ten nuėjau, nes norėjau.	I went there because I wanted to.
75	Sveiki visi!	Hello everyone!
76	Noriu kardo!	I want a sword!
77	Juk įspėjau taip nedaryti, argi ne?	I warned you not to do so, didn't I?
78	Tu žinai tai.	You know that.
79	Tai tiesiog nesaugu.	It's just not safe.
80	Man tavęs reikia.	I need you.
81	Taip, žinau.	Yes, I know.
82	Duok tą jai.	Give it to her.
83	Tobulų nėra.	Nobody is perfect.
84	Lipk ant stogo.	Climb onto the roof.
85	Daug keliauji?	Do you travel much?
86	Pažįstu tas merginas.	I know those girls.
87	Manęs čia tada nebuvo.	I wasn't here then.
88	Jis sėdi prie stalo.	He's sitting at the table.
89	Iki rytojaus!	See you tomorrow!
90	Labas rytas.	Good morning!
91	Jų šunys loja.	Their dogs are barking.
92	Tu nužudei juos.	You killed them.
93	Ji liudijo prieš jį.	She testified against him.
94	Ar tu vienas?	Are you alone?
95	Daugiau nebenoriu.	I don't want any more.
96	Aš galiu mylėti.	I can love.
97	Manau kad supratau.	I think I understood.
98	Ar pameni mus?	Do you remember us?
99	Aš greitesnė už jus.	I'm faster than you.
100	Esu pas tetą.	I'm staying at my aunt's.
101	Tuoj pat ateik.	Come at once.
102	Kas jis toks?	Who is he?
103	Net vaikas gali tą padaryti.	Even a child can do it.
104	Be problemų.	No problem.
105	Klausyk kol aš kalbu.	Listen while I talk.
106	Taip, žinoma.	Yes, of course.
107	Kiek tau metų?	What's your age?
108	Koks tu lėtas!	How slow you are!
109	Aš Tomo mama.	I'm Tom's mom.
110	Geriau nei niekas.	Tom apologized on Mary's behalf.
111	Aš esu airė.	I'm Irish.
112	Pasidaryk pats.	DIY.
113	Tikras draugas būtų padėjęs.	A true friend would have helped.
114	Lik kur esi.	Stay where you are.
115	Niekada gyvenime!	Never in a lifetime!
116	Ar tai tiesa?	Is that true?
117	Dar kartą ačiū!	Thanks again!
118	Kaip tą pasakyti?	How to say it?
