word	rank_a	rank_b	english
i	5	224	and
ti	10	29	you
ja	17	17	I
tvoj	140	114	your, yours
život	173	132	life
dva	177	205	two
tri	194	206	three
žena	205	209	woman
svoj	208	207	one's own
jedna	254	223	one
sto	311	876	hundred
dve	321	228	two
strane	428	381	side
ženu	446	361	woman
oči	457	332	eye
brat	477	321	brother
osoba	487	552	person
vode	554	985	water
telo	566	335	body
krv	578	392	blood
sestra	587	366	sister
doktor	617	231	doctor, physician
brata	658	490	brother
vodu	740	545	water
um	786	450	mind
okolo	832	258	around
pivo	836	580	beer
voda	846	602	water
čaj	1026	701	tea
hotel	1047	955	hotel
nos	1085	797	nose
svetlo	1111	524	light
program	1140	733	program
zlato	1148	284	gold
škola	1174	759	school
zvuk	1204	755	sound
ulice	1208	922	street
oba	1286	1805	both
osobe	1302	1716	person
strana	1306	1056	side
osobu	1321	989	person
madam	1395	385	madam
duše	1438	890	soul
dar	1460	719	gift
duša	1496	1036	soul
novom	1505	1155	new
celom	1520	623	whole
nebo	1537	1238	sky
šou	1539	754	show
slobodu	1576	1004	freedom
bomba	1581	870	bomb
prst	1627	1209	finger
večer	1628	184	evening
ulica	1647	1568	street
most	1668	1203	bridge
princ	1748	968	prince
mačka	1846	1139	cat
cena	1870	978	price
čin	1903	1462	action, act, deed
neba	1967	981	sky
