rank	sentence	english
1	¿Es de aquí?	Are you from here?
2	Creo que sí.	I think so.
3	No entiendo.	I don't get it.
5	Dar la mano.	Shake hands.
6	El sol sale.	The sun rises.
8	¿Qué es eso?	What is it?
9	Iré en auto.	I'll go by car.
10	Lo necesita.	You need this.
11	¡Un par más!	A couple more!
12	¿Por qué no?	Why not?
13	¿Qué es eso?	What is it?
14	¿Me quieres?	Do you love me?
15	Una vez más.	One more time.
16	Los conozco.	I know them.
17	Él se vengó.	He revenged himself.
18	Te esperaré.	I'll wait for you.
19	Con permiso.	Excuse me.
20	¿Para beber?	What to drink?
21	¿Está libre?	Are you free?
22	Es mi amigo.	He is my friend.
23	¿Pero qué...?	Waaaa...
24	Sí, podemos.	Yes, we can.
25	¿Y si no es?	And if it’s not?
26	¡Bien hecho!	Well done!
27	¿Qué es eso?	What is it?
28	Es su coche.	That is her car.
29	Sí, las veo.	Yes, I see them.
30	Yo te cuido.	I look after you.
31	Soy del FBI.	I'm from the FBI.
32	Soy como él.	I am like him.
33	¿Es de aquí?	Are you from here?
34	Es tu libro.	That is your book.
35	Ve al grano.	Don't beat about the bush.
36	¡Un par más!	A couple more!
37	Le acompaño.	I will come with you.
38	Esto es feo.	This is ugly.
39	Eso es todo.	That's about it.
40	¿Ya me toca?	Is it my turn?
41	Estoy lleno.	I'm full.
42	Hazlo ahora.	Do it now.
43	Es muy sexy.	He's very sexy.
44	Ha cambiado.	He has changed.
45	¡Esta es mía!	This is mine!
46	Así he oído.	Thus I have heard.
47	Vamos, Bill.	Come on, Bill.
48	¿Perdí algo?	Did I miss anything?
49	Hay neblina.	It is foggy.
50	Él es bueno.	He's good.
51	Tengo calor.	I am hot.
52	Él es pobre.	He is poor.
53	Cuando quieras.	Any time.
54	¿Cómo estás?	How are you doing?
55	No sé nadar.	I don't know how to swim.
56	Tú, ven acá.	You, come here.
57	Nos besamos.	We kissed each other.
58	De eso nada.	No way.
59	¿Cómo estás?	How are you doing?
60	Quiero este.	I want this.
62	Lo he visto.	I've seen it.
63	No puede ser.	It's impossible.
64	¿Tiene atún?	Do you have tuna fish?
65	Puedo verte.	I can see you.
66	Ella sonrió.	She smiled.
67	Quiero agua.	I want some water.
68	Dime qué hacer.	Tell me what to do.
69	Fue urgente.	It was urgent.
70	No, gracias.	No, thank you.
71	Una vez más.	One more time.
72	No era caro.	It wasn't expensive.
73	Soy francés.	I am French.
74	Sólo sé eso.	I only know that.
75	Oigan todos.	Everyone, listen up.
76	Porque lo vendes.	Because you sell it.
77	¿Son nuevos?	Are they new?
78	¿Tienes sed?	Are you thirsty?
79	Creo en Ken.	I believe in Ken.
80	Voy a salir.	I'm about to go out.
81	Sabes nadar.	You can swim.
82	Estaba solo.	I was lonely.
83	Se puede ir.	You are allowed to go.
84	¿Quién eres?	Who are you?
85	Ese es Carl.	That's Carl.
86	¿Usted fuma?	Do you smoke?
87	¿Y entonces?	And then?
88	¡Hola mundo!	Hello, world!
89	¿Estás solo?	Are you alone?
90	Es la verdad.	It's the truth.
91	Veo la casa.	I see the house.
92	Es tan caro.	It is too expensive.
93	¿Quién eres?	Who are you?
94	Abran sus ojos.	Open your eyes.
95	Dale tiempo.	Give him time.
96	Uno dos tres…	One two three...
97	¡Chúpate esa!	Suck it!
98	¡Nunca dude!	Never doubt!
99	¿Dónde pasó?	Where did it happen?
100	¿Cómo te va?	How are you doing?
101	Oh, lo siento.	Oh, I'm sorry.
102	Por favor...	Please...
103	Mucho gusto.	It's nice to meet you.
104	¿Y a mí qué?	So what?
105	¿Me quieres?	Do you love me?
106	Siento algo.	I feel something.
107	Gracias, señor.	Thank you, sir.
108	Estoy mejor.	I've gotten better.
109	Hace viento.	It's windy.
110	¿Has vuelto?	You've come back?
111	Déjame decir.	Let me say.
112	¡Yo también!	Me too!
113	Rasgué el sobre.	I ripped the envelope open.
114	Dios existe.	God exists.
115	¡Y sin duda!	Without a doubt!
116	Los tenemos.	We've got them.
117	¡Aquí están!	Here they are!
118	Vine por ti.	I came for you.
119	Puedes irte.	You may go.
120	¿Puedes ver?	Can you see?
121	Vaya hombre.	Some man.
122	Amo la vida.	I love life.
123	Vi a alguien.	I saw somebody.
124	Yo sé cosas.	I know things.
125	Casi siempre.	Almost always.
126	Hasta luego.	See you.
127	Sentate ahí.	Sit there.
128	¿Debería ir?	Ought I to go?
129	Tengo 8 años.	I'm eight years old.
130	Llamé antes.	I called earlier.
131	Estar atento.	Be attentive.
132	¡Ni cagando!	No way!
133	Un poco más.	A little more.
134	Dame un día.	Give me a day.
135	¿Tienes uno?	Do you have one?
136	Es de noche.	It's night.
137	¡Bien hecho!	Well done!
138	Mis disculpas.	I apologise.
139	Estamos acá.	We're here.
140	¡Otra vez no!	Not again!
141	¿De acuerdo?	Deal?
142	Trabajo aquí.	I work here.
143	Ven a nosotros.	Come to us.
144	Parece seda.	This looks like silk.
145	Son buena gente.	They are good people.
146	Que así sea.	May it be so.
147	Soy tu padre.	I am your father.
148	Mira al gato.	Look at the cat.
149	Sé tú mismo.	Be yourself.
150	No dijo nada.	He didn't say anything.
151	Nadie sabrá.	No one will know.
152	¿Qué quiere?	What does he want?
153	Podría nevar.	It may snow.
154	Debo hablar.	I can talk.
155	¿Adónde vas?	Where are you going to?
156	Ellos comen.	They eat.
157	¿Qué tal tú?	How about you?
158	Eso se pasa.	It passes.
159	Espera fuera.	Wait outside.
160	Después de ti.	After you.
161	¿Se han ido?	Are they gone?
162	¡Desde luego!	Sure!
163	Roba dinero.	Steal money.
164	¡Hola mundo!	Hello, world!
165	¿Está claro?	Is that clear?
166	¡Un momento!	Moment!
167	No les creí.	I didn't believe them.
168	Quería tener hijos.	I wanted to have children.
169	¿Es un estado?	Is it a state?
170	Quiero otro.	I want another.
171	Había nevado.	It had snowed.
172	Vete mañana.	Leave tomorrow.
173	Tenía sueño.	I was sleepy.
174	Eres mi madre.	You're my mother.
175	Vale, vamos.	Okay, let's go.
176	Voy al lugar.	I'm going to the place.
177	Lo sigo haciendo.	I still do that.
178	Iré donde ti.	I'll come to your place.
179	Estoy seguro.	I am sure.
180	¿Quién sabe?	Who knows?
181	Sí, podemos.	Yes, we can.
182	Coge tus cosas.	Get your things.
183	¿Qué espera?	What does he expect?
184	¿Eres nuevo?	Are you new?
185	He sido amado.	I have been loved.
186	Es cosa de dos.	It takes two to tango.
187	Sos mi hijo.	You're my son.
188	Estaré allí.	I'll attend.
189	Más o menos.	More or less.
190	Eres mi tipo.	You're my type.
191	Es mi amigo.	He is my friend.
192	¡Qué gran idea!	What a great idea!
193	¿Es nuestro?	Is it ours?
194	Tengo mujer.	I have a wife.
195	Mary es mamá.	Mary is a mom.
196	Hasta luego.	See you.
197	Amo a mi papá.	I love my dad.
198	Buenos días.	G'day.
199	¿Quién dice?	Says who?
200	Hoy lloverá.	It will rain today.
201	Son las tres.	It's three o'clock.
202	Buena suerte.	Good luck.
203	Te necesito.	I need you.
204	Yo dije eso.	I said that.
205	¿Oye pájaros?	Do you hear birds?
206	Me gusta él.	I like him.
207	Yo la quería.	I loved her.
208	Será difícil.	It'll be difficult.
209	Debe de haber más.	There must be more.
210	¿Quién parte?	Who'll start?
211	De todas formas.	Anyway.
212	¿No lo crees?	Don't you think so?
213	¡Buen viaje!	Have a nice trip!
214	Ven conmigo.	Come with me.
215	Sé su nombre.	I know his name.
216	¿Qué mierda?	What the fuck?
217	¿Es nuestra?	Is it ours?
218	No está mal.	Not bad.
219	Ziri debe irse.	Ziri must go.
220	¡Realmente bien!	Really good!
221	Qué bando estas?	What side are you on?
222	Aún te odio.	I still hate you.
223	Esto es mío.	This is mine.
224	Lloré toda la noche.	I cried all night long.
225	Temo hacerlo.	I'm afraid to do it.
226	Voy cada año.	I go every year.
227	Lo he visto.	I've seen it.
228	Todo importa.	Everything matters.
229	Voy contigo.	I'm coming with you.
230	¿Qué tienen?	What do you have?
231	Hemos vuelto.	We're back.
232	Tengo razón.	I'm right.
233	Ven alguna vez.	Come anytime.
234	Tanto mejor.	That's even better.
235	Házmelo saber.	Let me know.
236	Hizo trampa.	You cheated.
237	A veces pasa.	It happens sometimes.
238	Es en serio.	We're serious.
239	¡Ven rápido!	Come quick!
