rank	sentence	english
1	La ludo eku.	Let the game begin.
2	Mi ne scias.	I don't know.
3	Ĉu vi lacas?	Are you tired?
4	Mi ne scias.	I don't know.
5	Estas lundo.	It's Monday.
6	Kaj kio nun?	And now, what?
7	Ĉu vi lacas?	Are you tired?
8	Foriĝu de mi!	Get away from me.
9	Helpu al mi.	Help me.
10	Ni sukcesis!	We succeeded!
11	Ĉio en ordo.	Everything is OK.
12	Li stariĝis.	He stood up.
13	Bone, ke neĝas.	It's good that it's snowing.
14	Same por mi.	Same for me.
15	Uzu ĉi tion!	Use this.
16	Tio sufiĉas.	That's enough.
17	Sed rigardu!	But look!
18	Ili samaĝas.	They are the same age.
19	Kiel domaĝe.	What a pity.
20	Mi amas vin!	I love you.
21	Hej, vi tie!	Hey, you there!
22	Ĝoju pri mi.	Be happy for me.
23	Rigardu min.	Look at me.
24	Jes, iomete.	Yes, a little bit.
25	Kaj kio nun?	And now, what?
26	Ho, Dio mia!	Oh my God!
27	Venu kun mi!	Come with me.
28	Estis nokte.	It was night.
29	Kion trinki?	What to drink?
30	Ĝi funkcias.	It works.
31	Mi ne povas.	I can't do it.
32	Kiu parolas?	Who's speaking?
33	Je via sano!	Cheers!
34	Tiu grandas.	That one is big.
35	Daŭrigu ĝin!	Keep it up!
36	Ŝi ekploris.	She began crying.
37	Bone farita!	Well done!
38	Ĉesigu tion!	Stop that!
39	Se vi volas.	If you want.
40	Se vi volas.	If you want.
41	Li havas du.	He has two.
42	Do ni ekagu.	Then let us begin.
43	Klopodu pli.	Make more efforts.
44	Ne, nur unu.	No, just one.
45	Oni stultas.	People are stupid.
46	Kaj kio nun?	And now, what?
47	Mi ne scias.	I don't know.
48	Kaj kial ne?	And why not?
49	Ĉu ni devas?	Shall we?
50	Ne fidu lin.	Don't trust him.
51	Eliĝu el tie.	Get away from there.
52	Kiam ni iru?	When shall we go?
53	Ne, nur unu.	No, just one.
54	Kie doloras?	Where does it hurt?
55	Vi ja kuras.	You do run.
56	Jam sufiĉas!	Enough already!
57	Jen Japanio.	This is Japan.
58	Ne agu tiel.	Don't act like that.
59	Nu, fojfoje.	Well, from time to time.
60	Kiom da homoj?	How many people?
61	Sur kiu breto?	On which shelf?
62	Ankaŭ mi ne.	Me neither.
63	Dankon pro ĉio.	Thanks for everything.
64	Ne tre bone.	Not too well.
65	Ne ludu per mi.	Don't play games with me.
66	Ĉiuj pretas.	Everyone is ready.
67	Je via sano!	Cheers!
68	Mi diris ne.	I said no.
69	Ĉu jes aŭ ne?	Yes or no?
70	Estos kaose.	It'll be chaos.
71	Forigu ilin.	Get rid of them.
72	Ho! Cu vere?	Oh! Really?
73	Montru la vian!	Show me yours!
74	Ne, ne tiun!	No, not that one!
75	Kien ni iru?	Where should we go?
76	Ĉar ĝi ekzistas.	Because it is there.
77	Iu amas nin.	Someone loves us.
78	Ĝi estas nia.	It's ours.
79	Ni plu faru.	Let's do more.
80	Ĉio finiĝis.	It's all over.
81	Dum ne neĝas!	As long as it doesn't snow!
82	Prenu la mian.	Take mine.
83	Dankon, sinjoro.	Thank you, sir.
84	Kiu ankoraŭ?	Who else?
85	Jes, dankon.	Yes, thanks.
86	Ho! Cu vere?	Oh! Really?
87	Devas esti io.	There's got to be something.
88	Eĉ mi ploris.	Even I cried.
89	Ĝis dimanĉo!	See you on Sunday!
90	Cedu neniam.	Never give up.
91	Venu rapide!	Come quick!
92	Eble pluvos.	It may rain.
93	Kion vi diras?	What do you say?
94	Ho, Dio mia!	Oh my God!
95	Ni faru ion.	Let's try something.
96	Kunprenu du.	Bring two.
97	Iru antaŭ mi!	Go ahead of me!
98	Restu ĉe ni!	Stay with us!
99	Ĉiam tielis.	It has always been that way.
100	Tiuj ne taŭgas.	These don't match.
101	Vi pli ol belas.	You're more than beautiful.
102	Legu post mi.	Read after me.
103	Iu amas nin.	Someone loves us.
104	Iru fari ion.	Go do something.
105	Ne iru tien.	Don't go into that area.
106	Mi bezonas vin.	I need you.
107	Mi plej bonas.	I am the best.
108	Ne tiom bruu!	Don't make so much noise.
109	Homoj mortas.	People are dying.
110	Kia hazardo!	What a coincidence!
111	Detruu ĉion.	Bring everything to ruin.
112	Bona laboro!	Well done!
113	Certe pluvos.	It'll definitely rain.
114	Bonan tagon!	Good afternoon.
115	Rigardu min.	Look at me.
116	Ni faras ion.	We are doing something.
117	Li tuj venu!	He should come right away!
118	Patro dormas.	Father is sleeping.
119	Vi faris ĝin.	You've done it.
120	Bonvolu iri.	Go ahead.
121	Ne diru ĝin.	Don't say it.
122	Sen ia dubo!	Without a doubt!
123	Paĉjo revenis.	Daddy's back.
124	Kiuj vi estas?	Who are you?
125	Pardonu nin.	Forgive us.
126	Panjo, hastu!	Mom! Hurry!
127	Revenu poste.	Come back later.
128	Ĝi estas lia.	It's his.
129	Saluton, Tom.	Hello, Tom.
130	Estu vi mem!	Be yourself!
131	Ĉu vi vidis?	Did you see?
132	Tempo karas.	Time is precious.
133	Jen la vivo.	That's life.
134	Tute neeble.	Absolutely impossible.
135	Neniu scios.	Nobody will know.
136	Kiom granda?	How big?
137	Tro malfrue.	Too late.
138	Mi amas ŝin.	I love her.
139	Atentu... Ek!	Get set .... Go!
140	Ĉu vi pensas?	Do you think?
141	Kiun ebenon?	What floor?
142	Laŭ li, jes.	According to him, yes.
143	Ĉu vi vidas?	See?
144	Okazas puĉo.	A coup is underway.
145	Nenion timu.	Don't be afraid.
146	Ĉu okazis io?	Did something happen?
147	Jen viaj ŝuoj.	Your shoes are here.
148	Estu vi mem!	Be yourself!
149	Manĝu multe!	Eat a lot!
150	Atendu vice.	Wait in line.
151	Jes, mi petas.	Yes, please.
152	Neĝos hodiaŭ.	It'll snow today.
153	Ne faru ĝin!	Don't do it!
154	Iom esploru!	Do a little research!
155	Bonvolu diri!	Please do tell!
156	Lasu ĝin tie.	Leave it there.
157	Kiom granda?	How big?
158	Mi komprenas.	I'm catching on.
159	Ne mi, alia.	Not me, somebody else.
160	Homo elŝipe!	Man overboard!
161	Tiam ne hezitu.	So don't hesitate.
162	Fratoj miaj!	My brothers!
163	Li iris for.	He went away.
164	Mi tamen dankas.	Thanks anyway.
165	Neniu venis.	Nobody came.
166	Adiaŭ, mondo.	Goodbye, world.
167	Ĉiu atendis.	Everyone waited.
168	Estus bonege.	It would be great.
169	Ha, mirinde.	Ah, wonderful.
170	Farendis io.	Something had to be done.
171	Kien ni iru?	Where should we go?
172	Nenio urĝas.	There is no hurry.
173	Bone vidi vin.	Nice to see you.
174	Jaroj pasis.	Years passed.
175	Venu rapide!	Come quick!
176	Mi nun iras.	I'm going right now.
177	Bonvolu iri.	Go ahead.
178	Ci ne pasos!	Thou shalt not pass!
179	Ĉu vi ŝatas?	Do you like it?
180	Ni havis unu.	We had one.
181	Venu denove.	Come again.
182	Adiaŭ, patrino.	Bye, mother.
183	Li ne povus.	He couldn't.
184	Almenaŭ tri!	At least three!
185	Jen niaj libroj.	Here are our books.
186	Kio ajn eblas.	Anything is possible.
187	Bonan tagon!	Good afternoon.
188	Ĉu ĝi eblas?	Is it possible?
189	Mi ne volis.	I didn't want to.
190	Kiu parolas?	Who's speaking?
191	Donu la mapon!	Hand over the map!
192	Ĉiu laŭ sia gusto!	To each their own!
193	Militu aliaj.	Let others do the fighting.
194	Mi ne kredas.	I don't think so.
195	Sola kontraŭ ĉiuj.	Alone against everybody.
196	Skribu ĝuste.	Write properly.
197	Ni aŭskultu.	Let's listen.
198	Ĉu mi rajtas?	May I?
199	Mi iĝis unua.	I became first.
200	Ne estu tia!	Don't be like that.
201	Al ĉiu la sian.	To each his own.
202	Laĉu viajn ŝuojn.	Tie your shoelaces.
203	Ŝi amas sin.	She loves herself.
204	Prenu Tomon.	Get Tom.
205	Daŭrigu sola.	You go on alone.
206	Ni konas lin.	We know him.
207	Nun ne, kara.	Not now, honey.
208	Nek mi volas.	I don't want to, either.
209	Venu morgaŭ.	Come tomorrow.
210	Jen mia filo.	That's my son.
211	Bela laboro!	Good job!
212	He, ekstiru.	Hey, grab the wheel.
213	Mi faros ĝin.	I'll do it.
214	Ĝi estas tuta kaĉo.	It's a complete mess.
215	Varbu ĉiujn.	Get everyone involved.
216	Akvo gravas.	Water is important.
217	Tiel ŝajnas.	That's how it looks.
