rank	sentence	english
2	Nem tehetem.	I can not.
3	Esik az eső.	It is raining.
4	Hogy hívnak?	What is your name?
5	Itt és most.	Here and now.
6	Ő egy zseni.	He is a genius.
7	Hét fia van.	She has seven sons.
8	Ez jó ötlet!	That's a good idea!
9	Te is, fiam!	You are too, son!
10	De nem igaz!	But that's not true.
11	Csókolj meg.	Kiss me.
12	Csak lassan!	Take it easy.
13	Ha nem bánod.	If you don't mind.
14	Mi hiányzik?	What is missing?
15	Az én hibám.	That's my fault.
16	Add ide azt.	Give me that.
17	Igazuk volt?	Were they right?
18	Igen, kettő.	Yes, two.
19	Ostoba vagy.	You are stupid.
20	Tudnom kell.	I must know.
21	Felejtsd el!	No way!
22	Itt a címem.	Here's my address.
23	Ő már férfi.	He's already a man.
24	Ő még szebb.	She is even more beautiful.
25	Ne gyere be!	Keep out.
26	Te beszélsz!	You're one to talk!
27	Ki az az úr?	Who is that gentleman?
28	Mit mondtál?	What did you say?
29	Ezt akartad?	Is this what you wanted?
30	Teli vagyok.	I'm full.
31	Most ebédel.	He's eating lunch now.
32	Ez jó ötlet!	That's a good idea!
33	Tudom, ki ő.	I know him.
34	Hagyjad úgy!	Let's leave it at that.
35	Miért sírsz?	Why are you crying?
36	Na és akkor!?	So what?
37	Hogy s mint?	How is it going?
39	Jól figyelj!	Listen up.
40	Ki lesz ott?	Who's gonna be there?
41	Nagyon szép.	She is very pretty.
42	Nincs időnk.	We have no time.
43	Mert túl nagy.	Because it's too big.
44	Minden kész.	Everything is ready.
45	Az sem igaz.	That isn't true either.
46	Amit Tom akart.	It's what Tom wanted.
47	Olyan gyors!	So quick!
48	Rendben van.	It's OK.
49	Így működik?	Is that how it works?
50	Ne gyere be!	Keep out.
51	Az fájt volna.	That would've hurt.
52	Oké, feladom.	Okay, I give up.
53	Higgy nekem.	Believe me.
54	Tedd ide le.	Put it down right here.
55	Munkára fel!	Let's work.
56	Tudod miért!	You know why!
57	Tom ott van.	Tom is there.
58	Ki lehet az?	Who ever can it be?
59	Kell valami?	Do you need anything?
60	Sétálok majd.	I will walk.
61	Mindig késel.	You are always late.
62	Talán eljön.	She might come.
63	Maga részeg.	You're drunk.
64	Köszönöm, nem!	No, thank you.
65	Nincs semmi.	There's nothing.
66	Gyerünk hát!	Well, go ahead!
67	Aki mer, az nyer.	Faint heart never won fair lady.
68	Fáj, amikor rágsz?	Does it hurt when you chew?
69	Hol történt?	Where did it happen?
70	Oda se neki!	Don't care about him.
71	Szóval ezért!	So that's why!
72	Ez jó neked?	Is this OK with you?
73	Vidd, ami kell.	Take what you need.
74	Jó kis buli.	It's a nice party.
75	Hé, havazik!	Hey, it's snowing.
76	Ez tényleg jó.	It's really good.
77	Alig hiszem.	I scarcely think so.
78	Nem elég jó.	It's not good enough.
79	Még valamit?	Anything else?
80	Havazni fog.	It is going to snow.
81	Nehéz lenne.	It would be difficult.
83	Sajnos igaz.	It is unfortunately true.
84	Fütyülök rá.	I don't care.
85	Vele háltál?	You slept with her?
86	Milyen szép!	How beautiful it is!
87	Ilyen nincs!	That's impossible!
88	Add ide azt.	Give me that.
89	Biztos benne?	Are you certain?
90	Uram segíts!	Oh, my God!
91	Láttam őket.	I saw them.
92	Tedd vissza!	Put it back.
93	Nagy vagyok.	I'm big.
94	Anyád tudja?	Does your mom know?
95	Ma kedd van.	Today is Tuesday.
96	Ez egész szám.	It's a whole number.
97	Ó, sajnálom!	Oh, I'm sorry.
98	Nos, tetszik?	Well, do you like it?
99	Mikor jössz?	When will you come?
100	Hol vagyunk?	Where are we?
101	Gyerünk már!	Come on!
102	Hogy vannak?	How are you?
103	Nem azért van.	It's not because of that.
104	Rossz ember.	He is a bad person.
105	Hol történt?	Where did it happen?
106	Persze, hogyne!	Yes, of course!
107	Nem túl jól.	Not too well.
108	Ez sok pénz.	It's a lot of money.
109	Hogy mondta?	Pardon?
110	Két óra van.	It's two o'clock.
111	Gyere értem!	Come get me.
112	Gyere, Bill.	Come on, Bill.
113	Rendben! Szia!	Alright, see you then.
114	Valaki jött.	Someone came.
115	Ahogy mondod!	You said it!
116	Tőlem aztán!	I don't care.
117	Most pedig elmegyek.	I'm going to leave now.
118	Kicsit kövér.	He's a little fat.
119	Látsz engem?	Can you see me?
120	Ezért tette.	This is the reason why he did it.
121	Gyere velem.	Come with me.
122	Arra lakunk.	We live over there.
123	Éhes voltam.	I felt hungry.
124	Ezt mondtam.	That's what I've been saying.
125	Érted, ugye?	You understand, right?
126	Mindent tud.	She knows everything.
127	Irigylem őt.	I envy him.
128	Na, légy jó!	Bye!
129	Kellett neked!	That serves you right.
130	Ez nekem új!	It's news to me.
131	Az más volt.	That was different.
132	Ne adj semmit!	Don't give me anything.
133	Bízom benne.	I hope so.
134	Oda se neki!	Don't care about him.
135	Ne nézd ezt!	Don't look at this!
136	Akarsz bort?	Do you want wine?
137	Szerintem is.	I think so, too.
138	Ez Tom miatt van.	Tom caused this.
139	Igen, kérem.	Yes, please.
140	A tied jobb.	Yours is better.
141	Isten veled!	Bye!
142	Élni akarok.	I want to live.
143	Most akarom!	I want it now!
144	Jöjjön erre.	Come this way.
145	Nincs több só.	There's no more salt.
146	Kérlek, várj!	Please hold on.
147	Ma mi a baj?	What's the problem today?
148	Mindenki sír.	Everybody's crying.
149	Elég legyen!	Enough already!
150	Ennünk kéne.	We should eat.
151	Soha többet!	Nevermore!
152	Lassan menj!	Walk slowly!
153	Micsoda nap!	What a day!
154	Többet akar.	He wants more.
155	Utálja magát.	She hates herself.
156	Együtt érzek.	I sympathize.
157	Ne várj rám!	Don't wait for me.
158	Senki sem jön.	No one is coming.
159	Ő szép lány?	Is she a pretty girl?
160	Gondolja át.	Think about it.
161	Tom az első.	Tom is first.
162	Mintha esne.	It feels like rain.
163	Volt neki pár.	She had some.
164	Rossz ember.	He is a bad person.
165	Este hívlak.	I'll call you tonight.
166	Ezek zsaruk?	Are they cops?
167	Utál minket.	He hates us.
168	Csak ön után.	After you.
169	Ők jó emberek.	They are good people.
170	Ismer téged.	He knows you.
171	Mesélj róla!	Tell me about it.
172	Szó szerint értette.	He took it literally.
173	Ne várj rám!	Don't wait for me.
174	Tudod hogyan?	Do you know how?
175	Játszd újra!	Play it again.
176	Sosem nevet.	He never laughs.
177	Láttam őket.	I saw them.
178	Tudok úszni.	I can swim.
179	Tudtam róla.	I knew about it.
180	Tom! Istenem!	Tom! Oh my God!
181	Terhes-e ön?	Are you pregnant?
182	Enned kellene.	You should eat.
183	Ez a dolog élő.	This thing is alive.
184	- Japán diák vagy? - Ja.	"Are you a Japanese student?" "Yes, I am."
185	Ezt akartam.	I wanted this.
186	Hittem neki.	I believed him.
187	Ezt ki mondja?	Who says that?
188	Még egyszer.	Once again.
189	Annyira fáj!	It hurts so much.
190	Igazán csinos.	It's really pretty.
191	Oda se neki!	Don't care about him.
192	Mondd: csíz!	Say "cheese!"
193	Egyél, amíg meleg.	Eat while it's warm.
194	Van másik út?	Is there another way?
195	Apa hol van?	Where is Father?
196	Az egyik kék.	One is blue.
197	Jó itt lenni.	It's good to be here.
198	Csak tessék!	Go right ahead.
199	Megyek haza.	I go home.
200	Gondoltam rá.	I thought about it.
201	Őznek tűnik.	It looks like a deer.
202	Boldog lett.	She became happy.
203	Kell néhány?	Do you want any?
204	Látom magam.	I see myself.
205	Inkább válnék.	I would prefer to get a divorce.
206	Érted, ugye?	You understand, right?
207	Jobban vagy?	Do you feel better?
208	Anya vagyok.	I am a mother.
209	Félre innen!	Outta my way!
210	Van saját háza.	He has a house of his own.
211	Rajta, lőj le!	Go ahead, shoot me.
212	Ezzel nyertél.	You just won.
213	Épp dolgozom.	I'm working right now.
214	Eskü alatt áll.	You are under oath.
215	Ebben bízok.	That's what I'm hoping for.
216	Már elnézést!	I beg your pardon?
217	Ki az az úr?	Who is that gentleman?
218	Ez a legjobb.	This is the best.
219	Teljesen új.	It's brand new.
220	Jól figyelj!	Listen up.
221	Tud olvasni.	He can read.
222	Mutasd magad!	Show yourself.
223	Három óra van.	It's three o'clock.
224	Ő az egyetlen.	He's the only one.
225	Nyúlj hozzá.	Touch it.
226	Tom is megy.	Tom is going, too.
227	Tom nem jön.	Tom is not coming.
228	Kopogj, mielőtt bemész.	Knock before you enter.
229	Rólam van szó?	Is this about me?
230	Mind tudták.	They all knew.
231	Egyedül van.	He is alone.
232	Menjünk hát!	Well, let's go.
233	Komolyan mondja?	Are you serious?
234	Akarod látni?	Do you want to see it?
235	Oh úr a japán nyelvet tanulni jött Japánba.	Mr. Oh came to Japan to study Japanese.
236	Mondani könnyű!	It's easier said than done!
237	Micsoda nap!	What a day!
238	Vagyunk, akik vagyunk.	We are who we are.
239	Kint voltál.	You were outside.
240	Isten hozta!	Welcome.
241	Mire vártok?	What are you waiting for?
242	Fuss tovább!	Keep running.
243	Az ajtó előtt áll.	He's standing in front of the door.
244	Mindjárt vége.	It's almost over.
245	Kint voltak.	They were outside.
246	Maradj, ahol vagy!	Stay where you are.
247	Ők énekesek.	They are singers.
248	Hadd lássam.	Let me see it.
249	Írjál nekünk.	Send us a letter.
250	Esik holnap?	Will it rain tomorrow?
251	Én szeretném.	I would like it.
252	Ez a nő vak.	This woman is blind.
253	Honnan való?	Where is he from?
254	Kommentár nélkül.	No comment.
255	Ennek annyi.	This is fucked up.
256	Tehát mi történt?	So what happened?
257	Mi ez pontosan?	What exactly is this?
258	Azok drágák.	They're expensive.
259	Áll az alku?	Deal?
260	Menj először!	Go first.
261	És mégis mozog!	Even so, the Earth moves!
262	Várni fogok.	I will wait.
263	Mind tudjuk.	We all know it.
264	Mit csinálsz?	What are you doing?
265	Mi van azzal?	How about that!
266	Remek ötlet!	Great idea.
267	Ő nem akarja.	He doesn't want it.
268	Beszélni fogok.	I'll talk.
269	Tudtam erről.	I know about that.
270	Csak mondom.	I'm just saying!
271	Az idő pénz.	Time is money.
272	Megint esik.	It's raining again.
273	Akarod látni?	Do you want to see it?
274	Mizu, haver?	What's up, dude?
275	Túl fogja élni.	He will survive.
276	Nehéz lenne.	It would be difficult.
277	Rövid leszek.	I'll be brief.
278	Tom jött el.	Tom came.
279	Vártunk rád.	We waited for you.
280	Ő szép lány?	Is she a pretty girl?
281	Gyorsan fut.	She runs fast.
282	Remélem, jó.	I hope it's good.
283	Ti kimentetek?	Did you guys go out?
284	Nem hallottam.	I didn't hear it.
285	Nézni fogom.	I'll be watching.
286	Nem ő, hanem ő.	Not she but he.
287	Helló, világ!	Hello, world!
288	Ezt jó tudni.	That's good to know.
289	Megyek. Pont.	I'm going and that's that.
290	Jöjjünk össze!	Let's get together.
291	Látom magam.	I see myself.
292	Nem az igazi.	Something's not quite right.
293	Tudsz menni?	Can you walk?
294	Sokat olvas.	He read a lot.
295	Gőzöm sincs.	I have no clue.
296	Kellek nekik.	They need me.
297	Innék egyet.	I could use something to drink.
298	Vigyél haza!	Take me home.
299	Örülök neki.	I'm happy for him.
300	Ez az utolsó.	This is the last one.
301	Nem mondtad.	You didn't say that.
302	Tudsz menni?	Can you walk?
303	Teát szeretnék.	I want to drink tea.
304	Talán később.	Maybe later.
305	Mivel tartozom?	What do I owe?
306	Hurrá, megvan!	Hurray! I have found it!
307	Ugyanezt érzem.	I feel the same.
308	Ezen dolgozunk.	We're working on that.
309	Miről híres?	What is he famous for?
310	Ez van! Ennyi!	This is it. It's over!
311	Legalább őszinték.	At least they're honest.
312	Ugyan miért?	On what account?
313	Kösz a tippet!	Thanks for the hint.
314	Azonnal jövök.	I'll come at once.
315	Ideje menni.	It's time to leave.
316	Vett magának.	He bought himself one.
317	Ez sokkal jobb.	That's much better.
318	Várni fogsz.	You will wait.
