rank	sentence	english
1	Creo que si.	I think so.
4	Non entendo.	I don't understand.
5	Lembrome de ti.	I remember you.
8	Son un heroe.	I'm a hero.
9	Abre os ollos.	Open your eyes.
10	É unha fuga.	It's a leak.
11	Se non comes, morres.	If you don't eat, you die.
12	Necesítoo para mañá.	I need it by tomorrow.
13	Sufro por ti.	I suffer because of you.
14	Quita do medio.	Get out of the way.
15	Lin a carta en casa.	I read the letter at home.
16	É da nobreza.	He is a man of noble birth.
17	Fai as maletas.	Pack your bags.
18	Como te chamas?	What is your name?
19	¡Está fervendo!	It's hot as hell!
20	Creo que si.	I think so.
21	Non podo facer máis.	I can’t do more.
22	Nadas no lago?	Do you swim in the lake?
23	Mira ao ceo.	Look up to the skies.
24	Cantabas moi ben.	You were singing very beautifully.
25	Pero entendo o que di.	But I understand what he says.
26	Eu son Antonio.	I am Antonio.
27	Estou na casa.	I'm at home.
28	Conduce con xeito.	Drive carefully.
29	Aquí chove moito.	It's pouring down rain here.
30	Son Ricardo.	I'm Ricardo.
31	Tá me tirando?	Are you kidding me?
32	Todo é lóxico.	Everything is logical.
34	Non digas iso!	Don't say that!
35	Este coche é meu.	This car is mine.
36	Xa era hora.	It was about time.
37	Non hai ningún.	There aren't any.
38	Sufro por ti.	I suffer because of you.
39	Cando rezas?	When do you pray?
40	Colles ou largas.	Take it, or leave it.
41	Xa non estou só.	I'm no longer alone.
42	Tes pena dos pobres.	You pity the poor.
43	Fíxoo pola súa irmá.	She made it for her sister.
44	Ola, miña luz.	Hello, my light.
45	O seu lugar está aquí.	He belongs here.
46	A saída é agora.	The departure is now.
47	Sempre foi así.	It was always like that.
48	Parece moi bo.	He seems really nice.
49	Onde é o mercado?	Where is the market?
50	Non preciso nada.	I don't need anything.
51	Xa era hora.	It was about time.
52	Ten sentido?	Does it make sense?
53	Decidín facer iso.	I've decided to do that.
54	Quero ser feliz.	I want to be happy.
55	Sempre foi así.	It was always like that.
56	El é un home.	He is a man.
57	Teño irmáns.	I have brothers.
58	Quen o recibiu?	Who received it?
59	Esta moza quéreme!	This young lady loves me!
60	Fai algo positivo.	Do something positive.
61	¿Cres nos fantasmas?	Do you believe in ghosts?
62	Todos saben.	They all know.
63	Vai comezar mañá.	He is going to start tomorrow.
64	Estou na casa.	I'm at home.
65	Eu como porque teño fame.	I eat because I'm hungry.
66	Este coche é meu.	This car is mine.
67	Que lle parece agora?	How do you think about it now?
68	Quen pode ler o futuro?	Who can read the future?
69	Como te chamas?	What is your name?
70	Estou na casa.	I'm at home.
71	Non sei onde reside.	I don't know where he lives.
72	Quero ser feliz.	I want to be happy.
73	O novo coñece as regras, mais o vello coñece as excepcións.	The young man knows the rules, but the old man knows the exceptions.
74	A maioría da xente é destra.	Most people are right-handed.
75	Dixeron que a condición do señor Wilson non cambiara.	They said Mr. Wilson's condition had not changed.
76	Os dicionarios tamén cometen erros.	Dictionaries make mistakes, too.
77	Non me das medo.	I'm not afraid of you.
78	Agarda por min!	Wait for me!
79	Máis sorte a próxima vez.	Better luck next time.
80	O tempo voa.	Time flies.
81	Nunca te deixarei.	I'll never leave you.
82	O teu cuarto é grande.	Your room is big.
83	Teño medo de seguir sen ela.	I'm afraid of going on without her.
84	¡Estás tolo!	You're nuts!
85	Non podo ver.	I can't see.
86	Non estaba celoso.	He wasn't jealous.
87	Cada día é un soño.	Every day is a dream.
88	Aínda non ceaches?	Have you not had dinner yet?
89	A luz é vida.	Light is life.
90	Penso, polo tanto existo.	I think, therefore I am.
91	Non che morderéi.	I won't bite you.
92	Preciso a túa axuda.	I need your help.
93	Non podo ver.	I can't see.
94	Sei que vas dicir non.	I know you're going to say no.
95	Cantos anos tes?	How old are you?
96	Sírvase vostede.	Help yourself.
97	Ela matouno.	She killed him.
98	Gústame a neve. É tan bonita!	I like snow. It's so beautiful!
99	El é un home.	He is a man.
100	Mirei pola ventá.	I looked out the window.
101	Ela tenlle medo aos cans.	She is afraid of dogs.
102	Sírvete ti mesmo.	Help yourself.
103	Síntoo moito.	I'm terribly sorry.
104	Cantos anos tes?	How old are you?
105	Na terra coma no ceo.	As above, so below.
106	Chegará aí sobre as cinco.	He will arrive there about five o'clock.
107	Nin sequera o penses.	Don't you even think about it.
108	Vou ó hotel.	I'm going to the hotel.
109	Antes vivías preto de nós.	You used to live near us.
110	Sempre foi así.	It was always like that.
111	Eles xa están aquí.	They're already here.
112	Ela mesturou o leite co café.	She stirred the milk into her coffee.
