rank	sentence	english
1	Saya dahaga.	I'm thirsty.
2	Hari yang buruk.	A terrible day.
3	Aku tidak berubah.	I haven't changed.
4	Dia mula menari.	He began dancing.
5	Awak buat apa?	What are you doing?
6	Kau main bolakah?	Do you play soccer?
7	Ini bukan ayat.	This is not a sentence.
8	Sakit di mana?	Where is the pain?
9	Saya tak ingat!	I don't remember!
10	Makan dan minum.	Eat and drink.
11	Saya akan kembali.	I'll come back.
12	Ini tidak adil!	That's not fair!
13	Kita boleh buat.	We can make it.
14	Awak buat apa?	What are you doing?
15	Akankah kamu mati?	Are you going to die?
16	Buku itu kecil.	That book is small.
17	Saya cuba untuk tidur.	I tried to get some sleep.
18	Kami ada poncho.	We have ponchos.
19	Kita boleh buat.	We can make it.
20	Mereka setuju.	They agree.
21	Awak dengan saya, kan?	You're with me, aren't you?
22	Apa nama anda?	What is your name?
23	Saya tidak tahu.	I don't know.
24	Bawanya ke dalam.	Bring him in.
25	Kami ada poncho.	We have ponchos.
26	Ya, kami baik sahaja.	Yes, we’re doing fine.
27	Dia dihalau dari rumah.	He got thrown out of the house.
28	Sungai ini dalam	The river is deep.
29	Sila bayar di sini.	Please pay here.
30	Semua okey tak?	Is everyone OK?
31	Dia ada duit, tapi dia tak senang hati.	He has money, but he's not happy.
32	Tuan nak pergi mana?	Where do you want to go, sir?
33	Saya orang Islam.	I am a Muslim.
34	Bola adalah bulat.	Balls are round.
35	Saya nak berlatih.	I'm going to practice.
36	Ia sungguh mudah.	It's easy.
37	Jadi, mari mula.	Let's begin, then.
38	Sekarang, saya lapar.	I'm very hungry now.
39	Dia bukan dara lagi.	She is not a virgin anymore.
40	Kami memarahi pada Tom.	We're mad at Tom.
41	Jangan cakap!	Don't talk!
42	Masa awak dah habis.	Your time is running out.
43	Anda Tom bukan?	You're Tom, aren't you?
44	Awak buat apa?	What are you doing?
45	Sudah tentu.	Certainly.
46	Kami bukan seperti awak.	We're not like you.
47	Jika dia letih, biarkan dia tidur.	If he is tired, let him go to sleep.
48	Soalan yang baik.	Good question!
49	Tak perlu takut.	There's no reason to be afraid.
