rank	sentence	english
1	მისი თმა გრძელია.	Her hair is long.
2	ბევრი რამ არის გასაკეთებელი.	There's a lot to do.
3	რატომაც არა?	Why not?
4	ჩემი და ინჟინერია.	My sister is an engineer.
5	არ მომწონდა.	I didn't like it.
7	მინდა, რომ სწადო.	I want you to try it.
9	რა ქვია მას?	Which his name?
10	უყურე ამ ფილმს.	Watch this movie.
12	მე მივდივარ.	I am going.
13	ეს მანქანაა.	This is a car.
14	ეს შენ თქვი!	You said it!
15	რა თქმა უნდა.	Certainly.
16	არის აქ ღრმა?	Is it deep here?
17	მამა სახლშია.	Dad is in the house.
18	მაგრამ რატომ?	But why?
19	ის ცოცხალია!	She is alive!
20	თუ შეიძლება.	Please.
21	ეს ჩემი ძაღლია.	This is my dog.
22	კი, მე ვიცი.	Yes, I know.
23	აი, შენი ჩანთა.	Here is your bag.
24	45 წლის ვარ.	I'm 45 years old.
25	მწუხარე ხარ.	You're sad.
26	ეს იყო გუშინ.	It was yesterday.
27	ჩვენ ვცხოვრობთ.	We live.
28	ეს არის გოგო.	This is a girl.
29	ძალიან ძვირია!	Too expensive!
30	კარგი საქმეა!	Good job!
31	შენ გყავს და ან ძმა?	Do you have any brothers or sisters?
32	რა ქვია მას?	Which his name?
33	წესს ვერ აგიხსნი.	I can't explain the rule to you.
34	კი, მე ვიცი.	Yes, I know.
35	რაც მეტი, მით უკეთესი.	The more, the better.
36	როგორ ბრძანდებით?	How are you?
37	მოდი როგორც კი შეგიძლია.	Come as soon as you can.
38	მაგრამ რატომ?	But why?
39	მე მჯერა მისი.	I believe in her.
40	შენ ასე ფიქრობ?	Do you think so?
41	ყველაფერი ვიცი.	I know everything.
42	თქვენ შემდეგ.	After you.
43	ახლა, გისმენ.	Now, listen.
44	რას მიყურებ?	What are you going to watch?
45	მათ წიგნი დაწერეს.	They wrote a book.
46	წავალთ თქვენთან ერთად.	We'll go with you.
47	მარი გაოგნდა, როცა გაიგო, რომ ტომს თავის ბიძაშვილთან სექსი ჰქონდა.	Mary was shocked when she learned that Tom had had sex with his cousin.
48	ნუ დაგვივიწყებ!	Don't forget about us!
49	ის სადმე ხომ არ გინახავს?	Have you seen her anywhere?
50	ეს ჩვენი წიგნებია.	These are our books.
51	ჩემს გზაში ხარ.	You are in my way.
52	უფრო სწრაფად.	Faster.
54	მათ უკვე აქვთ ერთი.	They already have one.
55	კიდევ სცადე.	Keep trying.
56	ხმალი მინდა!	I want a sword!
57	თუ შეიძლება.	Please.
58	ყველა იტყუება.	Everybody lies.
59	სად დადებ ამას?	Where are you going to put that?
60	ტომს მხოლოდ ყურადღება სურს.	Tom just wants attention.
61	კი, მე კარგად ვარ.	Yes, I'm fine.
62	თქვენ შემდეგ.	After you.
64	მე აქ აღარ ვცხოვრობ.	I don't live here anymore.
65	აირჩიე ერთი.	Choose one.
66	ის დიდი ძაღლია.	It's a big dog.
67	მან დაგპატიჟა?	Did she invite you?
68	ქართული იცი?	Do you know Georgian?
69	შემიძლია დაეხმარო.	I can help him.
70	სამი საუბრობდა მის შესახებ.	Sami was talking about her.
71	გიყვართ დედა?	Do you love your mother?
72	აი, თქვენი მენიუ.	Here is your menu.
75	არც ისე ოპტიმისტური ვარ.	I'm not so optimistic.
76	ისინი არიან?	They are?
77	ვინ მართავს?	Who's driving?
78	რატომ იყიდე სხვა მანქანა?	Why did you buy another car?
79	წასვლა ჯერ ადრეა.	It's too early to leave.
80	დიახ, რასაკვირველია.	Yes, of course.
81	ეხლა მე თქვენ გეტყვით სიმართლეს.	Now I'll tell you the truth.
82	მეფე ცხოვრობს ციხეში.	The king lives in the castle.
83	ტომი თავს გრძნობს უკეთესად.	Tom is feeling better.
84	გასართობი იქნება/	That'll be fun.
85	წიგნი მაქვს.	I have a book.
86	არც ისე ოპტიმისტური ვარ.	I'm not so optimistic.
87	მე ვფიქრობ ამაზე.	I'm thinking about that.
88	გინდა პინტა?	Would you like a pint?
89	ძალიან პატარა ოჯახი მყავს.	I have a very small family.
90	უბრალოდ მიეცი მას ის.	Just give it to her.
91	ტომმა რამე გითხრა სანამ წავიდა?	Did Tom say anything to you before he left?
92	ისინი დებია.	They are sisters.
93	რაღაც ვთქვი.	I said something.
94	რაღაც მოხდა.	Something happened.
95	შენს უკან ვარ.	I'm behind you.
96	სად სწავლობ?	Where are you learning?
97	მან თავი მოიკლა.	He committed suicide.
98	ტომს მაინც მოსწონს ავსტრალია?	Does Tom still like Australia?
99	იმ ქალაქში არ ვცხოვრობ.	I don't live in that city.
100	გინდა ამის აღება?	Do you want to take that?
103	დღეს ორშაბათია.	Today is Monday.
104	შეიძლება ეს იყოს სიმართლე?	Can this be true?
105	მეტი იფიქრე და მერე გადაწყვიტე.	Think more and make decisions after.
106	კაცი პურს ჭამს.	The man is eating bread.
107	მარტონი ვართ.	We're alone.
108	აი, შენი ჩანთა.	Here is your bag.
110	ხალხი ხშირად დიდებას მისდევს.	People usually go after fame.
112	სახლში დარჩი.	Stay home.
113	აქ ყოველთვის ცივა.	It's always cold in here.
114	არაფერი იცი.	You don't know anything.
115	მე ვგეგმავდი წვეულებას შენთვის.	I planned a party for you.
116	ეგ კაცი ჯარისკაცია.	That man is a soldier.
117	მოდი ჩვენთან!	Come to us!
118	ტომ! ო ღმერთო ჩემო!	Tom! Oh my God!
119	ორი კატა მყავს.	I have two cats.
120	მერი ძალიან მომხიბვლელია როდესაც იცინის.	Mary is very charming when she smiles.
121	მე შევძლებ იმიტომ რომ ყველა მათგანმა შეძლო.	I did it because everyone else did.
122	შეგიძლია მოხვიდე?	Can you come?
123	წიგნი გაქვს?	Do you have the book?
124	დრო შეიცვალა.	Times change.
125	გამარჯობა ყველას!	Hello everybody!
126	ლამაზი ხართ.	You're beautiful.
127	არ მინდა, რომ თომი ჩემი პატრონი იყოს, რადგან ის იდიოტია.	I don't want Tom to be my boss because he is an idiot.
128	რა თქმა უნდა.	Certainly.
130	გააკონტროლე საკუთარი ემოციები.	Control your emotions.
131	იჩქარე უკან.	Hurry back.
132	იმის გამო სწავლობენ ინგლისურს.	That is what they study English for.
133	რა გინდა მეტი შენ?	What more do you want?
134	45 წლის ვარ.	I'm 45 years old.
135	მე ვიყავი მართლა ნერვიული.	I was really nervous.
136	ის ყველაზე ლამაზი ქალია.	She's the most beautiful woman.
137	გეყოფათ ამის შესახებ!	Leave that alone!
138	ჩვენს სტუმრებს ეჩქარებათ.	Our guests are in a hurry.
139	ბევრი საქმე მაქვს.	I have a lot to do.
140	ცოტა დავიღალეთ.	We're a little tired.
141	გუშინ შეხვედრაზე ვიყავი.	Yesterday I was in a meeting.
142	მას ტალანტი აქვს	She has talent.
143	შენ ასე ფიქრობ?	Do you think so?
144	ბევრი იდეა მაქვს.	I have lots of ideas.
145	სამართალი საგანია, რომელიც არ მომწონს.	Law is a subject I don't like.
146	მალე დავბრუნდები.	I will be back soon.
147	არა, მადლობა.	No, thank you.
150	ჯეინი ალბათ მოვა.	Jane will probably come.
152	მან რაღაც თქვა.	He said something.
153	რამდენ დროს წაიღებს?	What is taking so long?
154	ქალი პურს ჭამს.	The woman eats bread.
155	არის ტომი უფრო უფროსი ვიდრე შენ?	Is Tom older than you?
156	ჩემი ცოლი იყო იქ.	My wife was there.
158	შემიძლია ის გავაკეთო ერთ კვირაში.	I can do it in a week.
159	მოწევა თავის მოკვლაა.	Smoking means suicide.
160	იგი მასწავლებელია.	He is a teacher.
161	ის არ იქნება მზად.	She won't be ready.
162	მშვენიერი დღე.	Beautiful day.
164	ისევ შეუყვარდა.	He's fallen in love again.
165	დარწმუნებული ხარ?	Are you confident?
166	ვინც ეძებს, პოულობს.	Who searches, finds.
167	მარტო ვიმუშავებ.	I'll work alone.
168	როგორი იყო თქვენი თაფლობის თვე?	How was your honeymoon?
169	მან უნდა იცოდეს რა ხდება.	He needs to know what's going on.
173	უკეთესი იქნებოდა, რომ არ წასულიყავი.	You'd better not go.
174	იცის ტომმა სადაა მერი?	Does Tom know where Mary is?
175	მერიმ იპოვა სურათი რომელსაც ეძებდა.	Mary found the picture she was looking for.
176	არასოდეს მოკვდება.	He will never die.
177	ბედნიერი ვარ.	I'm happy.
178	ცხოვრება მინდა.	I want to live.
180	გამარჯობა ყველას!	Hello everybody!
181	მთელი დღე აქ ვიქნები.	I'll be here all day.
182	იყავი შენით.	Be yourself.
184	ვისი შვილი ხარ?	Whose child are you?
185	ტომს არ შეუძლია პასუხი.	Tom can't answer.
186	ბიჭი მაგარია.	The boy is strong.
187	ეს განა დიდი შეცდომა არაა?	That's a big mistake, isn't it?
188	არასდროს კვლავ.	Never again.
189	დაწერე რამე.	Write something.
191	დიდი ხნის წინ პარიზში ვიყავი.	I visited Paris a long time ago.
192	არ იქნება ისეთი რთული გასაკეთებელი როგორიც შენ გგონია.	It's not going to be as hard to do as you think it'll be.
194	ტომი ამბობს რაღაცას.	Tom is saying something.
197	ლამაზი ხართ.	You're beautiful.
198	რამდენი წლის ხარ?	How old are you?
199	ტომს მხოლოდ ყურადღება სურს.	Tom just wants attention.
201	მე ვიქნები ჰალსტუხის გარეშე.	I won't be wearing a tie.
202	გთხოვ იჩქარე!	Please hurry!
204	წადი იცი შენ სადაც!	You know where to go!
205	სად არის ჩემი ვაჟი?	Where's my son?
207	კი ნამდვილად!	Yes, really!
208	კაჰანე არ იყო მართალი.	Kahane wasn't right.
209	როგორია შენი ოჯახი?	How is your family?
210	არავინ მომკვდარა.	Nobody died.
211	დახმარება მჭირდება.	I need help.
213	არის ტომი უფრო ახალგაზრდა ვიდრე შენ?	Is Tom younger than you?
214	რამდენიმე წიგნი გაქვს.	You have few books.
215	ტომმა იცის რას აკეთებ?	Does Tom know what you do?
218	ცოტა შიმშილს ვგრძნობ.	I'm feeling a little hungry.
220	გოგო ლამაზია.	The girl is beautiful.
221	ჩანს, რომ ტომი დაღლილია.	It looks like Tom is tired.
222	მერიმ დაკარგა თავისი ქოლგა.	Mary has lost her umbrella.
224	ჩვენ არ გვჭირდება ომი.	We don't need war.
226	ის ახალი სურათია?	Is it a recent picture?
228	მოდი ჩვენთან!	Come to us!
229	სწორედ ამიტომ ვერ ვიჯერებ.	That's why I cannot believe it.
231	ცუდი იღბალი!	Bad luck!
232	ხილი გვაქვს.	We have fruit.
233	როდიდან ჩვენ ვართ მეგობრები?	Since when are we friends?
234	პირველი საათია.	It's one o'clock.
237	უკაცრავად, კვერცხები სადაა?	Where are the eggs, please?
238	ჩაი, გთხოვთ.	Tea, please.
239	ვიცოდი, რომ დღეს შემეძლო მოგება.	I knew I could win today.
