rank	sentence	english
1	Ich arbeite.	I am working.
2	Wer ist sie?	Who is she?
3	Was ist das?	What is it?
4	Was ist das?	What is it?
5	Wo warst du?	Where have you been?
6	Fasle nicht.	Don't ramble.
7	Die Wahrheit?	The truth?
8	Es ist kalt.	It's cold.
9	Gut, und du?	Fine. And you?
10	Der Zug kommt!	Here comes the train!
11	Da sind wir!	Here we are!
12	Was ist das?	What is it?
13	Drehe es zu.	Turn it off.
14	Er ist hier!	Here he is!
15	Koche ein Ei.	Boil an egg.
16	Land in Sicht!	Land, ho!
17	Ja und nein.	Yes and no.
18	Vertrau mir!	Trust me!
19	Komm mit uns!	Come along with us.
20	Wie läuft's?	How goes it?
21	Nutze den Tag.	Seize the day.
22	Ruf mich an!	Call me!
23	Zieh es auf.	Pull it open.
24	Er sah, dass er irrte.	He saw that he was wrong.
25	Gibt kein Aber!	There's no but about it!
26	Nur eine Minute.	Just a minute.
27	So lasse es.	So be it.
28	Was hat sie?	What does she have?
29	Er ist hier!	Here he is!
30	Haben Sie Geld?	Do you have money?
31	Nix für ungut!	No hard feelings!
32	Da sind wir!	Here we are!
33	Was war los?	What happened?
34	Bist du von hier?	Are you from here?
35	Wenn ich nur wüsste!	I wish I knew.
36	Benimm dich.	Behave yourself.
37	Wo wart ihr?	Where have you been?
38	Nein, danke.	No, thank you.
39	Was habe ich?	What do I have?
40	Ruf mich an!	Call me!
41	Ich bin arm.	I'm poor.
42	Noch einmal.	Once again.
43	Er weinte nur.	He did nothing but cry.
44	Da sind wir!	Here we are!
45	Gut. Und dir?	Fine. And you?
46	Er rächte sich.	He took revenge.
47	Er hat einen Hund.	He has a dog.
48	Gibt es uns?	Do we exist?
49	Hast du Geld?	Do you have any money?
50	Wie dem auch sei.	Anyway.
51	Er kann lesen.	He can read.
52	Gut, und du?	Fine. And you?
53	Gehst du auch?	Are you going, too?
54	Schon so spät?	Is it already so late?
55	Besser als nichts.	Better than nothing.
56	Sein Sohn sitzt.	His son is serving his sentence.
57	Schauen wir mal.	Let's take a look.
58	Mach es jetzt!	Do it now.
59	Vergiss ihn.	Forget about him.
60	Dann fangen wir an.	Then let us begin.
61	Steigst du aus?	Are you getting off?
62	Meine Brüder!	My brothers!
63	Zieh dich um.	Change your clothes.
64	Nie im Leben!	Never in a lifetime!
65	Sie wird rot.	She blushes.
66	Mein Fehler.	My mistake.
