rank	sentence	english
1	لا تلعب هنا.	Don't play here.
2	من في البيت؟	Who is in the house?
3	من في البيت؟	Who is in the house?
4	أحب أن أرقص.	I love to dance.
5	هذا لطف منك.	That's very sweet of you.
6	على رِسْلِك.	Take it easy.
7	أتعرف ما هي؟	Do you know what it is?
8	أنا في لندن.	I am in London.
9	هل ستساعدني؟	Will you help me?
11	يا لسوء حظي.	How unlucky I am!
12	أبي رفض ذلك.	My papa said no.
13	لقد أيقظتُك.	I woke you up.
14	لم يرسب أحد.	No one has failed.
15	ماذا تُفضّل؟	What do you like?
16	كان فمي جاف.	My mouth was dry.
17	لا تلعب هنا.	Don't play here.
18	إلى أين تذهب	Where're you going?
19	لم أنت وحدك؟	Why are you alone?
20	هو رجل حكمة.	He is a man of wit.
21	هذه مدرستنا.	That is our school.
22	أبحث عن عمل.	I'm looking for work.
23	نعم، بالطبع.	Yes, of course.
24	من يقف هناك؟	Who is standing there?
25	أهذا كل شيء؟	Is that all?
26	ليس موجوداً.	He is not available.
27	كنت أمزح فقط.	I am only joking.
28	أهذا كل شيء؟	Is that all?
29	لنحاول الآن.	Let's try now.
30	أكنت مع أحد؟	Were you with anyone?
31	ما الذي حصل؟	What happened?
32	و لكن لماذا؟	But why?
33	اقترب أجل زيري.	Ziri is dying.
34	أنی لك هذا ؟	Where did you get this?
35	لن يعرف أحد.	No one will know.
36	كيف حال توم؟	How's Tom?
37	ظننتني أبليت حسنا.	I thought I did pretty well.
38	انا احب ذلک.	I like that.
39	هل اشتقت لي؟	Did you miss me?
40	إبني سوف يعود	My son will come back.
41	نحن مسرورون.	We are happy.
42	ما المشكل إذا؟	What's the problem then?
43	أُصيب عندما سقط.	He got hurt when he fell down.
44	أي جزء ترجم؟	Which part was translated?
45	ها قد وصلنا.	Here we are.
46	لماذا تأخرت؟	Why were you late?
47	هي أذكى منه.	She is smarter than he is.
48	حتى دان دهش.	Even Dan was baffled.
49	لم يأتِ بعد.	He hasn't come yet.
50	فلتكن كذلك !	May it be so!
51	خذ هذا أو ذاك.	Take this or that.
52	ثق ولكن استوثق.	Trust, but verify.
53	قبل سامي ذلك.	Sami accepted it.
54	هي التي اعتنت بجرحه	She is the one who took care of his wound.
55	ماذا لو فشلت؟	What if I fail?
56	ربما أنت محق.	Maybe you're right.
57	أين المشكلة؟	Where is the problem?
58	أخبرني، هيا.	Come on and tell me.
59	من تلك البنت؟	Who's that girl?
60	أود أن أعرف.	I am curious.
61	إن ذلك عملي.	It's my job.
62	سخن بعض الماء	Warm up some water.
