rank	sentence	english
1	Ég á dóttur.	I have a daughter.
2	Það er kalt.	It's cold.
4	Ekki týnast.	Don't get lost.
5	Og hvað fæ ég?	And what do I get?
7	Hann reynir.	He tries.
8	Segðu hvað sem er.	Say what you want.
9	Mér er kalt.	I feel cold.
10	Til hamingju!	Congratulations!
11	En af hverju?	But why?
12	Takk fyrir allt.	Thanks for everything.
13	En af hverju?	But why?
14	Þær gengu um.	They walked around.
15	Það var nóg.	That was enough.
16	Elskarðu mig?	Do you love me?
17	Gott að vita.	Good to know.
18	Já, ég held það líka.	Yeah. I think so, too.
19	Er hún gift?	Is she married?
20	Nei, það er allt og sumt.	No, that's all.
21	Allt er í lagi.	Everything is OK.
22	Hún er bara barn.	She's only a child.
23	Þú ert svo föl.	You look so pale.
24	Allir eru til.	Everyone is ready.
25	Ef ekki nú, hvenær þá?	If not now, then when?
26	Þú ert klár.	You're clever.
27	Það er kalt.	It's cold.
28	Hvaðan ertu?	Where do you come from?
29	Ég er eins og þú.	I am like you.
30	Flýtum okkur.	Let's hurry up.
31	Ekki vera reið.	Don't be angry.
32	Það er í lagi.	It's OK.
33	Ég man eftir því.	I do remember it.
34	Hver á að gera?	Whose turn is it?
35	Enginn veit.	No one knows.
36	Það hefur kólnað.	It has cooled off.
37	Stoppum hér.	Let's stop here.
38	Af hverju nú?	Why now?
39	Ertu frá Moskvu?	Do you come from Moscow?
40	Ertu að fara?	You're going?
41	Þú ert klár.	You're clever.
42	Hvernig ertu?	How are you?
43	Við gleymdum.	We forgot.
44	Komdu þér út!	Get out!
45	Ég gefst upp.	I give up.
46	Reyndu aftur.	Try again.
47	Slökktu á honum.	Turn it off.
48	Svona er lífið.	That's life.
49	Þetta er minn.	That is mine.
50	Ég sá ekkert.	I saw nothing.
51	Hún eldar vel.	She cooks well.
52	Ég sé til þess.	I'll see to it.
53	Ég nota hana.	I use it.
54	Hver tapaði?	Who's the loser?
55	Þetta er bók.	That's a book.
56	Ég elska ykkur.	I love you guys.
57	Satt að segja…	Honestly...
58	Við erum jöfn.	We are even.
59	Ég er hérna.	I'm here.
60	Ég keypti úr.	I bought a watch.
