rank	sentence	english
1	അലൻ ഒരു കവിയാണ്.	Alan is a poet.
2	നീ എവിടുന്നാണ്	Where are you from?
3	ഞാൻ തിരിച്ചുവരും.	I'll come back.
4	അത് അവളാണ് .	That's her.
5	എനിക്ക് ഉറപ്പാണ്.	I am sure.
8	ഇത് തണുത്തതല്ല.	This is not cool.
9	എന്റെ പേര് എമിലി.	My name is Emily.
10	നിനക്ക് ഇവിടെ ഇരിക്കാം.	You may sit here.
11	എന്നെ സഹായിക്കൂ.	Help me.
12	ഞാൻ ഇപ്പോൾ തന്നെ വരികയാണ്.	I'm coming at once.
13	അവന്‍ കടല്‍മാര്‍ഗം വന്നു പക്ഷെ വായുമാര്‍ഗം തിരിച്ചുപോയി.	He arrived by sea but left by air.
14	ഒരു ഡസന്‍ മുട്ടക്ക് എന്താ വില?	How much do a dozen eggs cost?
15	ടോമിന് സഹായിക്കാൻ താത്പര്യം ഇല്ല.	Tom doesn't want help.
17	അവൾ പോകുന്നില്ല എന്ന് തീരുമാനിച്ചു.	She decided not to go.
18	നമുക്ക് അത് പിന്നെ ചര്‍ച്ച ചെയ്യാം.	We will discuss that later.
19	ഞാൻ നിന്നെ കൊല്ലും.	I'll kill you.
21	ഇപ്പോള്‍ എനിക്ക് എന്ത് വേണമെന്ന് എനിക്കറിയില്ല.	I don't know what I want right now.
22	അത് വിവേകപരം ആണ് .	That's wise.
23	ഈ കസേര വളരെ ചെറുതാണ്.	This chair is too small.
24	നിങ്ങൾ ആരാണ്?	Who are you?
25	ഇത് നല്ല മാംസം ആണ് .	This is good meat.
26	എനിക്ക് പണമില്ല, പക്ഷേ എനിക്ക് സ്വപ്നങ്ങളുണ്ട്.	I don't have money, but I have dreams.
27	അവൻ അവിടെ പോയോ?	Did he go there?
28	അവൾ സ്പൂൺ കൊണ്ട് സൂപ്പ് ഇളക്കി.	She stirred the soup with a spoon.
29	എല്ലാം നമ്മുടെ തെറ്റാണ്.	It was all our fault.
30	അവൻ ഒരു വിദ്യാർത്ഥി അല്ല.	He is not a student.
31	ആ വാര്‍ത്ത കാട്ടുതീ പോലെ പടര്‍ന്നു.	The news spread like wildfire.
34	എന്റെ വീട്ടിൽ നിന്ന് ഇറങ്ങിപ്പോകൂ!	Get out of my house!
35	എന്നെ വിരുന്നിലേക്ക് ക്ഷണിച്ചതിന് നന്ദി.	Thank you for inviting me to the party.
36	കടലിൽ ദ്വീപുകൽ ഉണ്ട്.	There are islands in the sea.
38	നിങ്ങള്‍ പറയുന്നത് എനിക്ക് മനസ്സിലാകുന്നില്ല. ഒന്ന്‍ വിശദമായി പറയാമോ?	I'm not following you at all. Can you break it down for me?
39	നിങ്ങൾ കാര്യം പറ സുഹൃത്തേ	Tell me the matter, friend.
40	അവൻ സത്യം പറഞ്ഞു.	He told the truth.
41	ഞങ്ങളുടെ കൂടെ വരൂ.	Come along with us.
42	ദൈവത്തിന് മുമ്പിൽ എല്ലാ മനുഷ്യരും തുല്യരാണ്.	All men are equal before God.
45	ഈ ദുരന്തത്തിന്റെ യഥാർത്ഥ കാരണം എന്താണ്?	What is the real cause of this tragedy?
46	എനിക്ക് കാശ് വേണം.	I want money.
47	അവൻ ഒന്നുമല്ല.	He's nothing.
48	അവർ എന്നെ കൊല്ലും.	They'll kill me.
49	ടോം അവന്‍റെ ജീവിതകഥ എന്നോട് പറഞ്ഞു.	Tom told me his life story.
50	ഞാൻ ഗോൾഫിന്റെ വലിയ ആരാധകനാണ്.	I'm a big fan of golf.
52	എന്റെ പേര് എമിലി.	My name is Emily.
54	നമ്മൾ ഭൂമിയിൽ ജീവിക്കുന്നു.	We live on the earth.
55	ഞാൻ കുറച്ച് ദിവസത്തേക്ക് പട്ടണം വിടുകയാണ്.	I am leaving town for a few days.
56	ഞാന്‍ ശരിക്കും തളര്‍ന്നു.	I'm really tired.
57	എവിടെ പോകുന്നു	Where are you going?
60	ഞാൻ ഒരു ബാങ്കിൽ ജോലി ചെയ്യുന്നു.	I work in a bank.
61	ഇന്ന് തിങ്കളാഴ്ചയാണ്.	Today is Monday.
63	നൂറ് വരെ എണ്ണൂ.	Count to one hundred.
64	ഈ അയൽപ്പക്കത്തെ ഏറ്റവും വലിയ വീടാണത്.	It's the biggest house in the neighborhood.
65	നീ എങ്ങനെ നിന്റെ അവധിക്കാലം ചെലവഴിച്ചു?	How did you spend your vacation?
67	സമയം എന്തായി?	What time is it?
68	എത്ര അതിഥികളുണ്ട്?	How many guests are there?
69	ദയവായി നിങ്ങളുടെ വീടിനെ പറ്റി എഴുതുക.	Please write about your home.
70	നാളെ വീണ്ടും വരൂ.	Come again tomorrow.
71	ആര് വന്നാലും വാതില്‍ തുറക്കണ്ട.	Whoever comes, don't open the door.
72	അവൻ ഇവിടെ മാസത്തിലൊരിക്കൽ വരും.	He comes here once a month.
74	ഞങ്ങൾ നിയമങ്ങൾ അനുസരിച്ചു.	We obeyed the rules.
75	അഞ്ച് ദിവസം തുടർച്ചയായി മഴ പെയ്തു.	It rained five successive days.
77	അവൾ അത് ചെയ്യും.	She will do it.
78	എനിക്കാവശ്യം പണം മാത്രമാണ്.	All I want is money.
79	ഇന്ന് രാത്രി മഴ പെയ്തേക്കും.	It may rain tonight.
81	പെട്ടെന്ന് അവന്‍ എന്നെ കണ്ടു.	Suddenly he saw me.
83	അപ്പോൾ നിങ്ങൾ മാഡ്രിഡിൽ ആയിരുന്നു എന്നത് ശരിയാണോ?	Is it true that you were in Madrid then?
84	വേറെ ഒരു വഴിയുമില്ല.	There aren't any other options.
85	അവനൊരു പുതിയ കാർ വേണം.	He wants a new car.
87	എനിക്ക് രണ്ട് ക്യാമറകളുണ്ട്.	I have two cameras.
88	ഞാൻ ഇപ്പോൾ തന്നെ വരികയാണ്.	I'm coming at once.
89	നിങ്ങൾ കാര്യം പറ സുഹൃത്തേ	Tell me the matter, friend.
90	ഞാൻ വീട്ടിൽ നിന്നിറങ്ങിയ ശേഷം, അഞ്ച് മിനിട്ടിനുള്ളിൽ മഴ പെയ്യാൻ തുടങ്ങി.	It began to rain five minutes after I left home.
91	ഏതാണ് ആദ്യം വന്നത്, കോഴിയോ അതോ മുട്ടയോ?	Which came first, the chicken or the egg?
93	നാളെ വീണ്ടും വരൂ.	Come again tomorrow.
95	എന്റെ അമ്മ പാവമാ.	My mother is a kind soul.
96	ദയവായി ആ ജനാല തുറക്കൂ	Please open the window.
97	അയാൾ മാസത്തില് രണ്ടു മൂന്ന് തവണ ഗോൾഫ് കളിക്കും.	He plays golf two or three times a month.
99	അവൻ എപ്പോഴും പഠിച്ചു കൊണ്ടിരിക്കും.	He is always studying.
100	എനിക്ക് ചെറിയ കവിതകൾ ഇഷ്ടമാണ്.	I like short poems.
102	അഞ്ചു ദിവസം കഴിഞ്ഞു പ്രസിഡന്‍റ്റ് ടയിലര്‍ മരിച്ചു.	Five days later, President Taylor died.
103	നമ്മുടെ പ്രശ്നം അത് മാത്രമല്ല.	That's not our only problem.
106	അവൻ വൈദ്യശാസ്ത്രത്തിനുവേണ്ടി അവന്റെ ജീവിതം സമർപ്പിച്ചു.	He dedicated his life to medical work.
107	ഈ മരം വളരെ പെട്ടെന്ന് വളരും.	The tree grows very quickly.
108	അവൻ സത്യം പറഞ്ഞു.	He told the truth.
109	അടുത്ത പോപ്പ് ആരായിരിക്കും?	Who will be the next pope?
110	ആരും മറ്റുള്ളവരെ കുറിച്ച് മോശമായി സംസാരിക്കാൻ പാടില്ല.	One should not speak ill of others.
114	പുറത്ത് ഇരുട്ടാണ്.	It is dark outside.
119	ഞാൻ ഈ സിനിമ മുമ്പ് കണ്ടതായി ഓർക്കുന്നു.	I remember having seen this movie before.
122	അവൾ മരിച്ചിട്ട് പത്ത് വർഷങ്ങൾ ആയി.	She has been dead for ten years.
123	അവന്റെ അഭിപ്രായം ഒരു പരിധി വരെ ശരിയാണ്.	His opinion is right to some extent.
124	ഞാൻ പോയി കൈ കഴുകട്ടെ.	I'll go wash my hands.
127	അവൻ എന്തായാലും ചെയ്തു.	He did it anyway.
128	ആ മുറി അത്ര വലുതല്ല.	That room is not very large.
129	അപ്പോൾ നിങ്ങൾ മാഡ്രിഡിൽ ആയിരുന്നു എന്നത് ശരിയാണോ?	Is it true that you were in Madrid then?
130	ഞങ്ങള്‍ അവിടെ മൂന്ന് മാസം താമസിച്ചു.	We stayed there for three months.
132	നിങ്ങൾ എന്തിന് ഇതു ചെയ്യുന്നു?	Why are you doing this?
133	അവന്റെ കൈയ്യിൽ വളരെയധികം പഴയ നാണയങ്ങൾ ഉള്ളതായി പറയപ്പെടുന്നു.	It is said that he has a lot of old coins.
139	ഈ സ്ഥലത്താണ് ആ യുദ്ധം നടന്നത്.	This is the place where the battle took place.
140	ഈ വെള്ളം മണമില്ലാത്തത് ആണ്.	This water is odourless.
141	ഞാൻ ടോം'ഇനെ കഴിഞ്ഞ തിങ്കളാഴ്ച പാർകിൽ വെച്ച് മെരിയുടെ കു‌ടെ നടകുന്നത് കണ്ടു	I saw Tom last Monday walking in the park with Mary.
142	അവൻ കുതിരപ്പുറത്ത് നിന്ന് താഴെ വീണു.	He fell off the horse.
143	അവസാനം, അവൻ വന്നു.	At last, he came.
145	ഇതാണ് ജാക്ക് പണിത വീട്.	This is the house that Jack built.
146	ഞാൻ ഇപ്പോൾ തിരിച്ച് എത്തിയതേയുള്ളൂ.	I just got back.
152	ടോം നേരെ ഉറങ്ങാൻ പോയി.	Tom went straight to bed.
155	ഈ പുസ്തകത്തിൽ കുറെ ചിത്രങ്ങളുണ്ട്.	This book contains many pictures.
156	ഞാൻ ഞായറാഴ്ച രാവിലെ അവനെ സന്ദർശിച്ചു.	I visited him on Sunday morning.
157	അവന്‍ ആ ശബ്ദം കേട്ടു.	He heard the noise.
159	രണ്ടു തവണ അളക്കൂ, ഒരു തവണ മുറിക്കൂ.	Measure twice, cut once.
162	ടോം ഇതുവരെ അത് ചെയ്തിട്ടില്ല.	Tom has apparently not yet done that.
168	നീ ഇന്നലെ സ്കൂളിൽ പോയോ?	Did you go to school yesterday?
171	അവന്‍ ലെണ്ടനിലേക്ക്‌ ഒരു യാത്ര ആസൂത്രണം ചെയ്തു.	They are planning a trip to London.
173	ബോസ്റ്റണിലേക്കു അധികം ദൂരം ഇല്ല ഇവിടുന്ന്.	Boston isn't all that far away.
174	ഞാൻ ഈ കഥ കേട്ടിട്ടുണ്ട്.	I have heard the story.
177	അപ്പോൾ നിങ്ങൾ മാഡ്രിഡിൽ ആയിരുന്നു എന്നത് ശരിയാണോ?	Is it true that you were in Madrid then?
183	അവൾ ഒരു ധനികനായ വ്യാപാരിയെ വിവാഹം ചെയ്തു.	She married a rich merchant.
189	ഒരു വാക്ക് പോലും മിണ്ടാതെ അവൾ പോയി.	She left without saying even a single word.
192	ഇതാണ് എന്റെ തോക്ക്.	This is my gun.
193	ആരും അങ്ങനെയൊരു സാധനം കണ്ടിട്ടേയില്ല.	No one ever saw such a thing.
195	എനിക്ക് കാശ് വേണം.	I want money.
198	ഒരു ദിവസത്തില്‍ ഇരുപത്തി നാല് മണിക്കൂര്‍ ഉണ്ട്.	There are twenty-four hours in a day.
201	ഈ ചോദ്യത്തിന് ഉത്തരം പറയാൻ ബുദ്ധിമുട്ടാണ്.	It's difficult to answer this question.
