rank	sentence	english
2	Не вір йому.	Don't trust him.
4	Що ти робиш?	What are you doing?
5	Всі на борт!	All aboard!
6	Це інтригує.	That is intriguing.
7	Де ти живеш?	Where do you live?
8	Так, ходімо.	Okay, let's go.
13	Ми одружені.	We are husband and wife.
14	Тут все моє.	Everything here is mine.
15	Я хочу тебе.	I want you.
16	Він банкрут.	He is bankrupt.
17	Як ся маєте?	How are you?
18	Що за хуйня?	What the fuck?
19	Ви не лікар.	You are not a doctor.
20	Іди до біса!	Go to hell!
21	У мене ідея.	I have an idea.
22	Мені боляче.	That hurts.
23	Ні, ні і ні!	No, no, no!
24	Але ж емоції!	Such emotions!
25	Мона Ліза була написана Леонардо да Вінчі.	Mona Lisa was painted by Leonardo da Vinci.
26	Просто пливи.	Just swim.
27	Ваш пес тут.	Your dog is here.
28	Це для мене.	It's for me.
29	Я його знаю?	Do I know him?
32	То мої діти.	Those are my children.
33	Та ну, Тоні.	Come on, Tony.
34	Сам це знаю.	I know it myself.
35	Я не про це.	I'm not talking about that.
36	Ти нас чуєш?	Can you hear us?
37	У вас є час?	Do you have some time?
38	Вони пливли.	They were swimming.
39	Вона сильна.	She is strong.
40	Я вірю тобі.	I believe you.
43	Там хтось є?	Is somebody there?
44	Якщо бажаєш.	If you wish.
45	Їх ще немає.	They aren't here yet.
46	Та ну, Тоні.	Come on, Tony.
47	Пахне добре.	It smells delicious.
48	Я їм, щоб жити.	I eat to live.
50	Вам щастить.	You're lucky.
51	Піди по каву.	Go get coffee.
52	Нам байдуже.	We don't care.
53	Я хочу пити.	I'm thirsty.
54	Коли вечеря?	When's dinner?
56	Вже запізно.	It is already too late.
57	Це було моє.	That was mine.
58	Ти її бачив?	Did you see it?
59	Він був сам.	He was alone.
60	Бог може все!	God can do anything!
61	Чи йде сніг?	Is it snowy?
62	Ні, не дуже.	No, not too much.
63	Це від Тома.	This is from Tom.
64	А чому б ні?	Why not?
65	Буде хмарно.	It will be cloudy.
66	Хто не знає?	Who doesn't know?
67	Давай, Біле.	Come on, Bill.
68	Напиши Тому.	Write Tom.
69	Де ти живеш?	Where do you live?
70	Треба діяти!	Action is needed!
71	От халепа, я проспала!	Bollocks! I've overslept!
72	Думаю, що ні.	I don't think so.
74	Тобі того ж.	Same to you.
75	Ти їх знаєш?	Do you know them?
76	Щось не так.	Something's wrong.
77	Гаразд. Вибач.	Okay. Sorry.
78	Не пий цього.	Don't drink that.
79	Тут і зараз.	Here and now.
80	Нічого собі!	Wow!
81	Це моя мама.	This is my mother.
82	Тільки не це!	Anything but that!
83	Моє — он те.	Mine is that one.
84	Не може бути.	That can't be.
85	Приходь один.	Come alone.
86	Він уже там.	He is already there.
88	Так, я можу.	Yes, I can.
89	Тепер я знаю.	I know now.
90	Ти мій друг.	You are my friend.
91	Ось ваш пес.	Here is your dog.
92	Дякую, пане.	Thank you, sir.
93	Раз плюнути!	It's a piece of cake.
94	Ти їх знаєш?	Do you know them?
95	Це через вас.	This is because of you.
96	Всі бояться.	Everyone is scared.
97	Бо це існує.	Because it exists.
98	Твоя правда.	You're right.
99	Без проблем!	No problem!
100	Вірь у себе.	Believe in yourself.
101	Вам більше 18?	Are you over 18?
102	Тоді поквапся.	Hurry up then.
103	Час спливав.	Time flew.
104	Добрий день.	Hello!
105	Можна сісти?	May I sit down?
106	Я була сама.	I was alone.
107	Святий Боже!	Oh, my God!
108	Будь добрим.	Be nice.
109	Не вір йому.	Don't trust him.
110	Це лише сон.	It's just a dream.
111	Я граю з ним.	I play with him.
112	Всім привіт!	Hi, everybody!
113	В них є мрія.	They have a dream.
114	Навіть не думай!	Not even!
115	Ніколи більше!	Nevermore!
116	Я буду рибу.	I'll eat fish.
117	Я би здався.	I would've given up.
118	Хто зі мною?	Who will come with me?
119	Їх ще немає.	They aren't here yet.
120	Хочеш трохи?	Would you like a little?
121	У нього рак.	He has got cancer.
122	Цей миліший.	This one's cuter.
123	Чого бракує?	What is missing?
124	Життя важке.	Life is hard.
125	Я теж пішов.	I also went.
126	Хто ті люди?	Who are those people?
127	Твоя правда.	You're right.
128	Том помер пів року потому.	Tom died half a year later.
129	Я це сказав.	I said so.
130	Я вірю в людей.	I believe in people.
131	Пан або пропав.	All or nothing.
132	Роби свою справу.	Do your job.
133	Який безлад!	What a mess!
134	Йди-но сюди.	Come here.
135	Ти таке чув?	Have you heard that?
136	Том із Мері?	Is Tom with Mary?
137	Убий себе об стіну.	Go play in traffic.
