rank	sentence	english
1	Jebem na to.	I don't give a fuck.
2	Čo sa stalo?	What happened?
3	On je lekár.	He is a doctor.
4	Už si jedol?	Have you eaten yet?
5	Som tehotná.	I am pregnant.
7	Jebem na to.	I don't give a fuck.
8	Dúfam, že nie.	I hope not.
9	Čo sa stalo?	What happened?
10	Nie si sama.	You're not alone.
11	Ako vyzeráš?	What do you look like?
12	Mal by si ísť.	You should go.
14	Odpovedz mi.	Answer me.
16	Drgni do nej.	Push her.
17	Ja som žena.	I am a woman.
18	Sme dospelí.	We're adults.
19	Mumlali ste.	You mumbled.
20	Áno, prosím.	Yes, please.
22	Máme len čaj.	We only have tea.
23	Pobozkaj ma.	Kiss me.
24	Dobre. A vy?	Fine. And you?
25	Naľakala ho.	She startled him.
26	Čo keď má Tom pravdu?	What if Tom is right?
27	A ak sa mýliš?	What if you're wrong?
28	Ty si anjel!	You're an angel!
29	Nepomôžu ti.	They won't help you.
30	Milujeme ťa.	We love you.
31	Tom bol iný.	Tom was different.
32	To je pre Toma.	This is for Tom.
33	Sú zobudení.	They're awake.
34	Čo tam robí?	What's he doing over there?
35	A prečo nie?	And why not?
36	Vidím niečo.	I see something.
37	Kde teraz si?	Where are you now?
38	Aj ja dúfam.	I hope so, too.
39	Hej ty, poď sem!	Hey you, come here!
40	Mám rád čaj.	I like tea.
41	Byť či nebyť?	To be or not to be?
42	Neni to ich?	Isn't that theirs?
43	Tom bude tam.	Tom will be there.
44	Odstrčil ju.	He pushed her away.
45	Takže, čo myslíš?	So, what do you think?
46	Ten pes krváca.	The dog is bleeding.
47	Nič necítim.	I don't feel anything.
48	Milujem vás.	I love you.
49	Kde on býva?	Where does he live?
50	Kto prišiel?	Who came?
51	Po obede číta.	She reads after lunch.
52	Bolo chladno.	It was cold.
53	Bola polnoc.	It was midnight.
54	Ešte som tu.	I'm still here.
55	Pomôžem vám.	I will help you.
56	Mám toho dosť.	I've had enough.
57	Áno alebo nie?	Yes or no?
58	Závidíš jej?	Are you jealous of her?
59	Má tri deti.	He has three children.
60	Si môj otec.	You are my father.
61	Sme jeho deti.	We are his children.
62	Máš ceruzku?	Do you have a pencil?
63	Viem lietať.	I can fly.
64	Vieš plávať?	Can you swim?
65	Čakaj na mňa.	Wait for me!
66	Veľmi dobre!	Very good!
67	Tom mal syna.	Tom had a son.
68	Áno, prosím.	Yes, please.
69	Možno sa mýlim.	Perhaps I am wrong.
70	To je od nej.	This is from her.
71	Zobudil nás.	He woke us up.
72	Ani myslieť!	Out of the question!
73	Poď so mnou.	Come along with me.
74	Chcem knihu.	I want a book.
75	Zavolala mu.	She called him.
76	Nie, ďakujem.	No, thank you.
77	Nemôžem ísť.	I can't go.
78	Dobre. A vy?	Fine. And you?
79	Naozaj sneží.	It's really snowing.
80	Stále sú dnu.	They're still inside.
81	Čakám na teba.	I'm waiting for you.
82	Pretože som mal strach.	Because I was scared.
83	Povedz mi viac.	Tell me more.
84	Chceš prácu?	Do you want a job?
85	Ťažko povedať.	It's hard to say.
86	Klamali nám.	They lied to us.
87	Ahoj, Chicago!	Hello, Chicago!
88	On je lekár.	He is a doctor.
89	Máme statok.	We have a farm.
90	Boli hladní.	They were hungry.
91	Moja mama spí.	My mom is sleeping.
92	Si vo vzťahu?	Are you in a relationship?
93	Dnes neprídu.	They are not coming today.
94	Budem čakať.	I'll be waiting.
95	Ktorý chceš?	Which one do you want?
96	Je tu niekto?	Is anybody here?
97	Práve sa učí?	Is he studying now?
98	Tadiaľto, pane.	This way, sir.
99	Mali veľa detí.	They had a lot of kids.
100	Pán Smith si upratuje izbu.	Mr. Smith is cleaning his room.
101	Všetci váhali.	Everyone hesitated.
102	Byť či nebyť?	To be or not to be?
103	Budú mať bábätko.	They're going to have a baby.
104	Ešte je čas.	There's still time.
105	Asi si to už vedel.	You probably already knew that.
106	On veľa vie.	He knows lots.
107	Tom ide tiež.	Tom is coming, too.
108	Mala by si ísť.	You should go.
109	My sme vnútri.	We're inside.
110	Ženy sú ľudia.	Women are people.
111	Je Štedrý deň.	It's Christmas Eve.
112	Máte papier?	Do you have paper?
113	Máme iba čaj.	We only have tea.
114	Som tvoj brat.	I'm your brother.
