rank	sentence	english
1	זה לא המקרה.	That is not the case.
2	תקטין את זה.	Make it smaller.
3	אני פרופסור.	I am a professor.
4	תחשוב על זה.	Think about it.
5	מה אתה עושה?	What are you doing?
6	מה אתה עושה?	What are you doing?
7	הוא כבר יצא.	He has already gone out.
8	תחשוב על זה.	Think about it.
9	עשה לי טובה.	Will you do me a favor?
10	של מי האשמה?	Whose fault is it?
11	כן, אני באה!	Yes, I'm coming!
12	יש לך שאלות?	Do you have any questions?
13	כשר אבל מסריח.	It's kosher but it's smelly.
14	יש לכם טונה?	Do you have tuna fish?
15	טום חבר שלי.	Tom is my friend.
16	עם כל הכבוד.	With all due respect.
17	גם אני בסדר.	I'm fine too.
18	תפסיק עם זה!	Stop that!
19	גם היא טועה.	She has faults, too.
20	זה הספר שלך?	Is this your book?
21	אם אתה רוצה.	If you want.
22	זה מריח טוב!	It smells good!
23	זה היה דחוף.	It was urgent.
24	אנחנו גברים.	We are men.
25	מה אתה רוצה?	What do you want?
26	אז אל תהססי.	So don't hesitate.
27	אלוהים יודע.	Only God knows.
28	אני רק אומר!	I'm just saying!
29	הנה הם באים.	Here they come.
30	אני לא יכול.	I can't.
31	פיטרתי אותו.	I sacked him.
32	חיפשתי אותך.	I have been looking for you.
33	סע לאט יותר.	Drive slowly.
34	אתה חדש כאן?	Are you new here?
35	שיגעתם אותי.	You made me lose my mind.
36	מי האיש הזה?	Who is that man?
37	למה הוא הפך?	What has become of him?
38	סדר חייב להיות.	Order is a must.
39	צהרים עכשיו.	It is midday.
40	בשר או דגים?	Meat or fish?
41	כל אחד טועה.	Everyone makes mistakes.
42	זה משהו אחר.	This is different.
43	מה אתה צריך?	What do you need?
44	הוא כמו חיה.	He's an animal.
45	אל תקשיב לה.	Don't listen to her.
46	אחשוב על כך.	I'll think it over.
47	איך אתה מעז!	How dare you!
48	אין לי מושג.	I have no idea.
49	האם זה נכון?	Is that true?
50	מה עלי לעשות?	What do I have to do?
51	תודה לכולכם.	Thank you very much, everyone.
52	יש לו משרתת.	He has a maid.
53	תן לנו שלום!	Give us peace!
54	מי האיש הזה?	Who is that man?
55	אחי עשה זאת.	My brother did.
56	אהיה שם מחר.	I'll be there tomorrow.
57	אני לא חושב.	I don't think so.
58	תקליק כדי לערוך!	Click to edit!
59	כמה זה עולה?	How much is it?
60	פשוט תשתחרר.	Just relax.
61	אני לא יודעת.	I don't know.
62	הרגזתי אותה.	I made her angry.
63	אולי תצליחי.	Maybe you'll succeed.
64	לא, לא באמת.	No, not really.
65	מה לנו כי נלין?	We have nothing to complain about.
66	הייתי בהרים.	I was in the mountains.
67	גם היא טועה.	She has faults, too.
68	זו לא אשמתה.	She is not to blame.
69	מה אתה עושה?	What are you doing?
70	האם זה עטלף?	Is that a bat?
71	דבר בקול רם!	Speak up!
72	זה הבית שלו.	That's his house.
73	לא עוד הפעם!	Not again!
74	הוא כבר יצא.	He has already gone out.
75	זה נראה זול.	It looked cheap.
76	זה אבא שלנו.	That is our father.
77	נהניתי מאוד.	I had a lot of fun.
78	תבוא לפני שש.	Come home before six.
79	פיספסת הרבה.	You missed a lot.
80	חשבון בבקשה.	Check, please.
81	מי הולך לשם?	Who goes there?
82	נטיתי קדימה.	I leaned forward.
83	אני רק אומר!	I'm just saying!
84	יהיה חם מאד.	It will be very, very hot.
85	אני לא יכולה.	I can't.
86	עוד פעם אתה.	There you go again.
87	זמן הוא כסף.	Time is money.
88	אתם אנושיים.	You are human.
89	את עדיין שם?	Are you still there?
90	אגיע עד עשר.	I'll come by 10.
91	ממש קר מאוד.	It's truly quite cold.
92	אלוהים יודע.	Only God knows.
93	ובכן, זה כך.	It's like this.
94	איפה משקפיי?	Where are my glasses?
95	אל תקשיב לה.	Don't listen to her.
96	אני קצת רעב.	I'm slightly hungry.
97	יש שם מישהו?	Is somebody there?
98	השתקנו אותם.	We kept them quiet.
99	לעזאזל איתך!	Fuck you!
100	תן לי לראות.	Let me see.
101	הנה הם באים.	Here they come.
102	הייתה מוזיקה.	There was music.
103	מה מתרחש פה?	What is happening?
104	אבא לא בבית.	Dad isn't home.
105	נאלצתי ללכת.	I was forced to go.
106	מה את צריכה?	What do you need?
107	בדיוק הגעתי.	I just got here.
108	אנשים הביטו.	People were watching.
109	אף אחד לא בא.	Nobody came.
110	תפסיקי לדבר.	Stop talking.
111	אתה חייב לי.	You owe me.
112	אני שוב כאן.	I'm back.
113	חשבתי שתכעס.	I thought you'd be angry.
114	היית בפגישה?	Were you present at the meeting?
115	חם היום, מה?	It's warm today, isn't it?
116	אני מאד מצטער.	I'm very sorry.
117	זהו מר סמית.	This is Mr. Smith.
118	בוא מחרתיים.	Come the day after tomorrow.
119	היו יסודיים.	Be thorough.
120	כמה שאת יפה!	How beautiful you are!
121	כך אני חושבת.	I think so.
122	היי, מה קרה?	Hey, what happened?
123	את מספר אחת!	You are number one!
124	זהו העט שלה.	This is her pen.
125	אמא לא בבית.	My mother is out.
126	הוא אוהב תה.	He likes tea.
127	אתה שום דבר.	You're a nobody.
128	אולי אחר כך.	Maybe later.
129	אפילו אכפת לך?	Do you even care?
130	מה שמך, אדוני?	What is your name, sir?
131	אתה שר תמיד.	You always sing.
132	יום יפה, מה?	It's a nice day, isn't it?
133	טום חבר שלי.	Tom is my friend.
134	הזדקקתי להם.	I need them.
135	אני בטוח בכך	I'm sure of it.
136	בגלל זה תשלם.	You will pay for it.
137	תן לנו שלום!	Give us peace!
138	זו בטח טעות.	This must be a mistake.
139	תום עקב אחרי.	Tom followed me.
140	חשתי שהם טעו.	I felt that they were wrong.
141	זה ארוך מדי.	This is too long.
142	אני רואה ספר.	I see a book.
143	כולם עשו כך.	Everyone was doing it.
144	לעזאזל איתך!	Fuck you!
145	מה אמר הילד?	What did the boy say?
146	רד רגע למטה.	Come down for a minute.
147	אני בן יחיד.	I'm a single child.
148	איזה גן יפה.	What a beautiful garden!
149	אני אירה בו.	I'm gonna shoot him.
150	היא אדם שקט.	She's a quiet person.
151	ראיתי דברים.	I've been seeing things.
152	אתה לא מבין.	You don't understand.
153	עשה לי טובה.	Will you do me a favor?
154	אשוב בשביל תום.	I'll come back for Tom.
155	שלא תגע בזה.	Don't touch it.
156	זה קיצור דרך.	It's a shortcut.
157	שמחתי לעזור.	I was glad to help.
158	סידרו אותנו.	We're screwed.
159	מספיק להיום.	That's enough for today.
160	תהיה הגיוני.	Be reasonable.
161	אני הכי טוב.	I'm the best.
162	מה הדבר הזה?	What is that?
163	תן לי דוגמה.	Give me an example.
165	אי אפשר לדעת.	There's no way to tell.
166	אין פה כלום.	There is nothing here.
167	הזמנתי מקום.	I booked a seat.
168	יש כזה לתום?	Does Tom have one?
169	לקחת את הכל.	You've taken everything.
170	נמאס לי מזה.	I'm tired of it.
171	יש לכם טונה?	Do you have tuna fish?
172	ככה זה עובד?	Is that how it works?
173	זה מרגש ביותר!	That is very exciting!
174	אוכל שוקולד.	I will eat chocolate.
175	התחתני איתי.	Marry me.
176	אפשר להיכנס?	May I come in?
179	זה כאילו מדע.	That's pseudoscience.
180	זה נעשה קשה.	This is getting hard.
181	סע לכאן מהר!	Come quick!
182	הלכתי הביתה.	I went home.
183	החשבון עליי.	It's on me.
184	זה יקח שנים.	This is going to take years.
185	אני מת מרעב!	I'm starving!
186	הוא די צודק.	He is quite right.
187	אלך למצוא אחר.	I'll go find another one.
188	זה גדול מדי.	It's too big.
189	איך היא היתה?	What was she like?
190	תום היה שני.	Tom was second.
191	בלי עין הרע.	Knock on wood.
192	אנו מאושרים.	We are happy.
193	אלה אמיתיים?	Are these real?
194	יום יפה, מה?	It's a nice day, isn't it?
195	ראיתי את זה.	I've seen it.
196	כמובן, בשמחה.	Sure, gladly.
197	מותק, נפגעת?	Honey, are you hurt?
