rank	sentence	english
1	Missä on WC?	Where is the bathroom?
2	Ei voi olla!	It can't be!
3	Lue ja käännä.	Read and translate.
4	Se on outoa.	That's freaky.
5	Kuka hän on?	Who is she?
6	En tee sitä.	I don't do that.
7	Mitä kuuluu?	What's up?
8	Että kehtaatkin!	How dare you!
9	Et ole mies.	You're not a man.
10	Olen valmis.	I am ready.
11	Oli meteliä.	It was noisy.
12	Luulen niin.	I think so.
13	Mutta miksi?	But why?
14	Teit sen jo.	You did that already.
15	Kappas vain.	Well, well, well.
16	Minä laulan.	I'll sing.
17	Tule, jos voit.	Come if you can.
18	Korjaa tämä.	Fix this.
19	Nyt lopetat!	Now, stop!
20	Ei voi olla!	It can't be!
21	Sinä häviät.	You're going to lose.
22	Olet kaunis.	You are beautiful.
23	Anna kun autan.	Let me help you.
24	En tee sitä.	I don't do that.
25	Puhut kuin Eco.	You're speaking like Eco.
26	He huusivat.	They yelled.
27	Se on hänen.	That's hers.
28	Syön täällä.	I eat here.
29	Ei voi olla!	It can't be!
30	Et ole mies.	You're not a man.
31	Kaikki meni.	All gone.
32	Se on minun.	That is mine.
33	He ovat pari.	They're a couple.
34	Hyvä ajatus!	That is a good idea.
35	Halaa minua.	Give me a hug.
36	Mitä sitten?	So what?
37	Onko maitoa?	Got milk?
38	Miksi kysyt?	Why do you ask?
39	Autan sinua.	I will help you.
40	Miten menee?	What's up?
41	Tämä on sinun.	This is yours.
42	Älä murehdi.	Don't be sad.
43	Vitut siitä!	Fuck that!
44	Ammun hänet.	I'm gonna shoot him.
45	Eipä mitään.	No problem.
46	Kyllä vai ei?	Yes or no?
47	Kiitos taas.	Thanks again.
48	Hei, isoisä.	Hello, Grandfather.
49	Mikä mättää?	What's the matter?
50	Et olisi yksin.	You won't be on your own.
51	Ne löys tän.	They found this.
52	Mene Tomin kanssa.	Go with Tom.
53	Pitää mennä.	Gotta go.
54	Uin joka päivä.	I swim every day.
55	Ei ollut valoa.	There was no light.
56	Hän tai minä.	It's him or me.
57	Torun häntä.	I'll scold him.
58	Odota tässä.	Wait here.
59	En mä tiedä.	Search me.
60	Puhu minulle!	Talk to me!
61	Minulla on se.	I have it.
62	Sano jotain!	Say something!
63	Ehkä toiste.	Maybe some other time.
64	Missä on WC?	Where is the bathroom?
65	Tuo ei auta.	That's not helping.
66	Unohda minut.	Forget me.
67	Me odotimme.	We waited.
68	Oletko fani?	Are you a fan?
69	Kuka tietää?	Who knows?
70	Hyvin tehty.	Good for you.
71	Voi anteeksi!	Oh, I'm sorry.
72	Vielä vähän?	A little more?
73	Sallin tämän.	I'll allow this.
74	Tunnen sinut.	I know you.
75	Se on sinulle.	That's for you.
76	On jo myöhä.	It's already late.
77	Koska tahansa.	Any time.
78	Haluan elää.	I want to live.
79	Olemme pari.	We're a couple.
80	Minä tiedän.	I know.
81	Voit tehdä sen.	You can do it.
82	Rahat tänne!	Hand out your money!
83	Se on meidän.	That belongs to us.
84	Me emme jää.	We're not staying.
85	Hän saa tulla.	He may come.
86	Tule mukaan.	Come along.
87	Juon paljon.	I drink a lot.
88	Pysy siellä!	Stay in there.
89	Anna jo olla.	Give me a break.
90	Eivät ikinä!	Never!
91	Haista tätä.	Smell this.
92	Pois tieltä!	Get out of the way.
93	Työ ennen hupia.	Business before pleasure.
94	Mitä sinulla on?	What've you got?
95	Täytyy mennä.	Gotta go.
96	Melkein aina.	Almost always.
97	Talvi tulee.	Winter is coming.
98	Siinä se on.	There it is.
99	En juo enää.	I don't drink anymore.
100	Eikö olekin söpö?	It's pretty, isn't it?
101	Tule takaisin!	Come back.
102	Kyllä, herra.	Yes, master.
103	Mistä tulet?	Where do you come from?
104	Selvä. Sori.	Okay. Sorry.
105	Valitse yksi.	Choose one.
106	Juotteko te?	Do you drink?
107	Tulin juuri.	I just arrived.
108	Näin koiran.	I saw a dog.
109	Ei, en halua.	No, I don't want to.
110	Sinun pitäisi jäädä.	You should stay.
111	Kuinka syvä?	How deep?
112	Te vai minä?	You or I?
113	Sataa koko yön.	It is going to rain all night.
114	Joku soitti.	Someone called.
115	Meillä on ne.	We've got them.
116	Olin poissa.	I was away.
117	Kyllä, kaksi.	Yes, two.
118	Puhu hänelle.	Talk to her.
119	Pitää mennä.	Gotta go.
120	Emme koskaan!	Never!
121	Pidän tästä.	I like this one.
122	Kuka tietää?	Who knows?
123	Tom kai nukkuu.	Tom is probably sleeping.
124	Et ole mies.	You're not a man.
125	Joten mikä tässä on ongelma?	So, what's the problem?
126	Aivan totta.	You can say that again.
