rank	sentence	english
2	Non importa.	It's not important.
3	Che peccato!	What a pity!
4	Dopo di voi.	After you.
5	Ha la barba.	He has a beard.
6	Ho il video.	I have the video.
7	Ho un sogno.	I have a dream.
9	Buon per te.	I'm glad to hear that.
11	Credo in te.	I believe in you.
12	Ha una bici.	He has a bicycle.
13	Non mi dire!	You don't say!
14	Sono libero.	I'm free.
15	Ho un sogno.	I have a dream.
16	Dov'eri l'11 settembre?	Where were you on 9/11?
17	Si è lavata.	She washed herself.
18	Ha un piano?	Do you have a plan?
19	Ma che vuoi?	But what do you want?
20	Lo chiamerò.	I'll call him.
21	Che cosa fa?	What does she do?
22	Con piacere!	With pleasure!
23	Ci vai o no?	Are you going or not?
24	Amo le more.	I love blackberries.
25	Ti sta bene.	It looks good on you.
26	Se fallissi?	What if I fail?
27	Sei da solo?	Are you alone?
29	Come mangia!	How he eats!
30	Chi sono io?	Who am I?
31	Ci vai o no?	Are you going or not?
32	Hai ragione.	You're right.
33	Odio questo.	I hate this.
34	Ti sta bene.	It looks good on you.
35	Io vivo qui.	I live here.
36	Sei stupido.	You are stupid.
37	Ho del cibo.	I have food.
38	Tu sei cosa?	You're what?
39	Sei da solo?	Are you alone?
40	Oh, mio Dio!	Oh, my God!
41	È al lavoro?	Are you at work?
42	Me lo lasci.	Leave it to me.
43	Io so tutto.	I know everything.
45	Buon per te.	I'm glad to hear that.
46	Era furiosa.	She was livid.
47	È della pizza?	Is that pizza?
48	È colpa mia.	It's my fault.
49	L'hai fatto?	Did you do it?
50	Si può fare.	It can be done.
51	Essere è fare.	To be is to do.
52	Io so tutto.	I know everything.
53	Quando sarà?	When will that be?
54	Sì, fa male.	Yes, it hurts.
55	Ora ricordo.	Now I remember.
56	Lei cammina.	She walks.
57	Gli credete?	Do you believe him?
58	Me ne frego!	Like I care!
59	Oh, mio Dio!	Oh, my God!
60	Questa è mia!	This is mine!
61	È ben detto.	That is well said.
62	OK. Procedi.	OK. Go ahead.
63	Lui dove va?	Where is he going?
65	Odio quello.	I hate that.
66	Tornerà mai?	Will he ever come back?
67	Alla vostra!	Cheers!
69	Balla anche.	He also dances.
70	Dov'è stato?	Where have you been?
71	Abbiamo fame.	We are hungry.
72	Li ho tutti.	I've got them all.
73	Ha dei cani.	He has dogs.
74	Grazie a te.	Thanks to you.
75	Chi sono io?	Who am I?
76	Ti sta bene.	It looks good on you.
77	Rutto molto.	I burp a lot.
78	A più tardi!	See you later!
79	Voglio Mary.	I want Mary.
80	Perché è là.	Because it is there.
81	È tutto tuo.	It's all yours.
82	Beh, capita.	Well, it happens.
83	Sai chi sia?	Do you know who he is?
84	È nel pozzo.	He's in the well.
85	Lui ha riso.	He laughed.
86	Smamma, allora.	Get lost, then.
87	Posso farlo.	I can do it.
88	Ehi a bordo!	Ship ahoy!
89	Pensa prima!	Think first!
90	È tua madre?	Is she your mother?
91	È suo, vero?	It is hers, is it not?
92	Niente cani!	No dogs!
93	Sa qualcosa?	You know something?
94	Sai nuotare?	Can you swim?
95	Siamo arabi.	We are Arabs.
98	Oh! Davvero?	Oh! Really?
99	È ancora lì?	Are you still there?
100	Hanno torto.	They've missed the boat.
101	Stai dentro.	Stay inside.
102	Sì, fa male.	Yes, it hurts.
103	È sua amica.	She is his friend.
