rank	sentence	english
1	Jeg er enig.	I agree.
2	Gjør det nå!	Do it now.
3	Jeg er enig.	I agree.
4	Du har rett.	You're right.
5	Ikke se opp.	Don't look up.
6	Jeg lånte en.	I borrowed one.
7	Kom og smak!	Come taste!
9	Du har rett.	You're right.
10	Vi er enige.	We agree.
11	Du gjørs på!	You're doing it on purpose!
13	Han løy til meg.	He lied to me.
14	Hva med deg?	How about you?
15	Hva med deg?	How about you?
16	Hvorfor meg?	Why me?
17	Han svømmer.	He's swimming.
18	For et vær !	What weather!
19	Hva gjør du?	What are you doing?
20	Når som helst.	Any time.
21	Jeg vil at du går.	I want you to go.
22	Takk så mye.	Thank you so much.
23	Du kan se nå.	You can look now.
24	De kranglet.	They quarreled.
25	Den svarte min.	The black one is mine.
26	Jeg var dum.	I was stupid.
27	Tom vil bli.	Tom wants to stay.
28	Kom om bord.	Come on board.
29	De lo av meg.	They were laughing at me.
30	Men hvem er fienden?	But who is the enemy?
31	Det skal bli.	Coming right up.
32	For et vær !	What weather!
33	Ja eller nei?	Yes or no?
34	Alle er her.	All are present.
35	Hun svømmer.	She is swimming.
36	Jeg bare tulla.	I was just joking.
37	Hva er dette?	What is this?
38	Husker dere?	Remember?
39	Noe må gjøres!	Something must be done.
40	Noe skjedde.	Something happened.
41	Ja eller nei?	Yes or no?
42	Jeg vet alt.	I know everything.
43	Gjør det nå!	Do it now.
44	La ham prøve.	Let him try.
45	Faren min går.	My father walks.
46	Du ser dum ut.	You look stupid.
47	Kom tilbake!	Come back.
48	Huff da, så synd.	Oh dear. What a shame.
49	Din dritsekk!	Bastard!
50	La oss gå hjem.	Let us go home.
51	De vil ha mer.	They want more.
52	Hva gjør du?	What are you doing?
53	Hvor viktig?	How important?
54	Er du fra USA?	Are you from the United States?
55	Nok får være nok.	Enough is enough.
56	Noen ringte.	Someone called.
57	Hvem er der?	Who is there?
58	Reparer dem.	Mend them.
59	Hallo igjen.	Hello again.
60	Ikke se opp.	Don't look up.
61	Faen ta deg!	Fuck you!
62	Jeg ville huske.	I wanted to remember.
63	Kommer snart.	Coming soon.
64	Alle er her.	All are present.
65	Det går bra.	All right.
66	Alt er over.	Everything is over.
67	Vi tror det.	We think so.
68	Hvorfor det?	Why?
69	Hvordan går det?	How are you doing?
70	Ikke få panikk!	Don't panic!
71	Vi må gjøre noe.	We've got to do something.
72	Jeg blir hvis det regner.	I'll stay if it rains.
73	Hun gav opp.	She gave up.
74	De giftet seg.	They got married.
75	Ingen skrek.	Nobody screamed.
76	Jeg hadde flaks.	I was lucky.
77	Du sa jo det.	You did say that.
78	Det går bra.	All right.
79	Stopp henne!	Stop her!
80	Nok får være nok.	Enough is enough.
81	Når drar du?	What time will you leave?
82	Blir du hjemme?	Will you stay at home?
83	Takk så mye.	Thank you so much.
84	Gå først du.	Walk ahead of me.
85	Ja eller nei?	Yes or no?
86	Det bli lys!	Let there be light!
87	Si unnskyld.	Apologize.
88	Jeg ser deg.	I see you.
89	Hvem er det?	Who is it?
90	La ham prøve.	Let him try.
91	Hei, jenter.	Hello, girls.
92	Vil du ha litt?	Would you like a little?
93	Tom kom inn.	Tom came in.
94	Hun ga etter.	She relented.
95	Vi ble ranet.	We got robbed.
96	Passer denne?	Does this fit?
97	Kanskje ikke.	Perhaps not.
98	Kom tilbake!	Come back.
99	Man vet aldri.	You never know.
100	Vel, det skjer.	Well, it happens.
101	Du skulle vært der nå.	You're supposed to be there now.
102	Du sa jo det.	You did say that.
103	Vi trenger mer.	We need more.
104	Jeg vil ha to.	I want two.
105	Hva sier du?	What're you saying?
106	Tom kunne se alt.	Tom could see everything.
107	Hvor har du vært?	Where have you been?
108	De vil ha mer.	They want more.
109	Du kommer også.	You come, too.
110	Han hatet meg før.	He hated me before.
111	Alt er over.	Everything is over.
112	Man vet aldri.	You never know.
113	Jeg tar bil.	I'll go by car.
114	Takk så mye.	Thank you so much.
115	Redd deg selv.	Save yourself.
116	Ha en god dag!	Have a nice day!
117	Gi eksempler.	Give examples.
118	Nå er det nok!	I've had enough already!
119	Det er mitt.	That is mine.
120	Er du moren hans?	Are you his mother?
121	Ta deg sammen!	Pull yourself together!
122	Du gjorde din del.	You did your part.
123	Ha en god dag!	Have a nice day!
124	Jeg vet mer enn deg.	I know more than you do.
125	Kom med en gang!	Come at once!
126	Alle andre sover.	Everyone else is sleeping.
127	For et vær !	What weather!
128	Fikk du sove?	Did you manage to get any sleep?
129	Skru ned volumet.	Turn down the volume, please.
130	Tom har sett nok.	Tom has seen enough.
131	De er mine sko.	Those are my shoes.
132	Greit. Hvor?	Fine. Where?
133	Hvor lenge siden var det?	How long ago was that?
134	Gjør ditt beste.	Do your best.
135	Jeg er en helt.	I'm a hero.
136	Han skjøt mot meg.	He shot at me.
137	Hun er 31 år.	She is thirty-one.
138	Faen ta deg!	Fuck you!
139	Jeg gråt hele natten.	I cried all night long.
140	Jeg så faren deres.	I saw your father.
141	Jeg kan snakke.	I'm able to speak.
142	La ham komme inn.	Let him enter.
143	Godt nytt år!	Happy New Year!
144	De sitter ved bordet.	They are sitting at the table.
145	Det er fordi du er jente.	That's because you're a girl.
146	Har vi gjort noe galt?	Have we done something wrong?
147	Du kan dra nå.	You may go now.
148	Du har rett.	You're right.
149	Liker du øl?	Do you like beer?
150	Er det en mann?	Is that a man?
151	Folk er utro.	People are unfaithful.
152	Alltid åpent.	Always open.
153	Det mener du ikke.	You can't be serious.
154	Hvor mange epler?	How many apples are there?
155	Gjør leksene dine.	Do your homework.
156	Sånn er livet.	Accidents are inevitable.
157	Det er sant.	It's true.
158	Vi lager ting.	We make things.
159	Det tok tid.	It took time.
160	Vent her inne.	Wait in here.
161	Tom er vår sønn.	Tom is our son.
162	Tom skal hjem.	Tom is going home.
163	Tre is, takk.	Three ice-creams, please.
164	Du må finne ham.	You have to find him.
165	Si unnskyld.	Apologize.
166	Beklager det.	Sorry about that.
167	Veldig rart.	Very strange.
168	Hold øynene åpne.	Keep your eyes open.
169	Du burde sove.	You should sleep.
170	Det tok tid.	It took time.
171	Vi vet ingenting.	We know nothing.
172	Jeg trodde du sov.	I thought you were sleeping.
173	Ikke spis uten meg.	Don't eat without me.
174	Tom tok meg med hit.	Tom brought me here.
175	Din var bedre.	Yours was better.
176	De gikk rundt.	They walked around.
177	Du må hjelpe oss.	You have to help us.
178	Ses vi i morgen?	Will I see you tomorrow?
179	Sånn er livet.	Accidents are inevitable.
180	Du er akkurat tidsnok.	You're just in time.
181	Ingen får vite noe.	No one will know.
182	Ikke i kveld.	Not tonight.
183	De visste aldri det.	They never knew that.
184	Det skjedde virkelig.	It really happened.
185	Elsker du meg?	Do you love me?
186	Vel, det skjer.	Well, it happens.
187	Slik er det han er.	That's the way he is.
188	Hvor lenge ble du?	How long did you stay?
189	Dere snakker.	You speak.
190	Kjenner hun deg?	Does she know you?
191	Hvem sin er dette?	Whose is this?
192	Det samme som vanlig.	Same as usual.
193	Hvem står der?	Who is standing there?
194	All elsker sin far.	Everyone loves their father.
195	Tiden er ute.	Your time is up.
196	Hun dro første juledag.	She left on Christmas Day.
197	Vil du ha hjelp?	Could you use some help?
198	Jeg tar feil	I am wrong.
199	Han er snill.	He is kind.
200	Hunden er død.	The dog is dead.
201	Jeg forstår.	I understand.
202	Disse eplene er råtne.	These apples are rotten.
203	Pappa arbeider.	Dad's working.
204	Det gir mening.	It makes sense.
205	Siste sjanse!	Last call!
206	Hvor er hunden hennes?	Where is her dog?
207	Mamma arbeider.	Mom's working.
208	Hva i helvete?	What on earth?
209	Hva fant Tom?	What did Tom find?
210	Hun har bare én feil.	She has only one flaw.
211	Vi er de eneste som er her.	We're the only ones here.
212	Hør godt på hva jeg sier.	Please listen to me carefully.
213	Den er under stolen.	It is under the chair.
214	Jeg gråt i sted.	I cried earlier today.
215	Jeg er blitt skutt	I have been shot.
216	Tom elsker barn.	Tom loves children.
217	Vi er på vei hjem.	We're on our way home.
218	Du bør sove.	You should sleep.
219	Er dere klar?	Are you all ready?
220	Hva holder du på med?	What are you doing?
221	Hva heter du?	What is your name?
222	Noe skjedde.	Something happened.
223	Slutt å lese.	Stop reading.
224	Han var visst rik.	He seemed to have been rich.
225	Hun prøver frakken.	She's trying on a coat.
226	Penger er makt.	Money is power.
227	Du vil drepe meg.	You want to kill me.
228	For et fint hus!	What a nice house!
229	Hallo igjen.	Hello again.
230	Ikke tro på ham.	Don't believe him.
231	Husker dere?	Remember?
232	Når drar du?	What time will you leave?
233	Stephen døde.	Stephen died.
234	Magesmertene er borte.	The stomach pains are gone.
235	God natt, mor.	Goodnight, Mother.
236	Han er redd.	He is afraid.
237	Kommer snart.	Coming soon.
238	Se deg rundt.	Look around.
239	Gjør ditt beste.	Do your best.
240	Kan du holde tyst?	Would you pipe down?
241	Faren min går.	My father walks.
242	Er de alle like?	Are they all the same?
243	Jeg finner ikke ord.	I'm at a loss for words.
244	Redd våre sjeler!	Save our souls!
245	Kan noen høre meg?	Can anyone hear me?
246	Bilen er blå.	The car is blue.
247	De hadde flere barn.	They had several children.
248	Hallo, verden!	Hello, world!
249	Jeg har tatt av litt vekt.	I've lost a little weight.
250	Gi meg tre av hver.	I'll take three of each kind.
251	Hva vil gud?	What does God want?
252	Du er min venn.	You are my friend.
253	Han mumlet et eller annet.	He was mumbling something.
254	Er Tom hos deg?	Is Tom at your place?
255	Hører du noe?	Do you hear something?
256	Jeg måtte ha hjelp.	I had to get some help.
257	Hva er i veien?	What's the problem?
258	Jeg må fortelle ham noe.	I have to tell him something.
259	Tom har gått bort.	Tom has passed away.
260	Gå først du.	Walk ahead of me.
261	Vent her inne.	Wait in here.
262	Vi har fått nok.	We've had enough.
263	Ken virker glad.	Ken looks happy.
264	Hun ga etter.	She relented.
265	Se gjennom det.	Look it over.
266	Ingen forstår meg heller.	No one understands me either.
267	Så stor du er!	How big you are!
268	Hva betyr det?	What does it mean?
269	Mitt liv er i fare.	My life is in danger.
270	Tiden er ute.	Your time is up.
271	Jeg var lei meg.	I was sorry.
272	Er du sikker?	Are you sure?
273	Ken fyller 15 neste år.	Ken will be 15 next year.
274	Mannen er ung.	The man is young.
275	Tom er sikkert OK.	Tom should be OK.
276	Tom går ikke lenger.	Tom doesn't walk anymore.
277	Han lever fortsatt.	He is still alive.
278	Har du en annen idé?	Do you have any other ideas?
279	Jeg kommer gjerne!	I'm happy to come!
280	Hva hørte du?	What did you hear?
281	Hold deg unna meg.	Keep away from me.
282	Norge er mitt nye hjem.	Norway is my new homeland.
283	Det har jeg aldri sagt!	I've never said that!
284	Vi hadde fem barn.	We had five children.
285	Gå vekk, Tom.	Go away, Tom.
286	Han var alene.	He was alone.
287	Han har på seg hatt.	He has a hat on.
288	Jeg snakket med ham.	I spoke with him.
289	Det er et flott teater.	It's a great theater.
290	Derfor taper jeg alltid.	That's why I always lose.
291	Jeg har store hus.	I have big houses.
292	Jeg skjønner!	Got it!
293	Føler du deg syk?	Are you feeling sick?
294	Vi er rike menn.	We're rich men.
295	Nå alt er klart.	Everything makes sense now.
296	Er du ny her?	Are you new here?
297	Det er en liten hund.	It is a small dog.
298	Han jobber tregt.	He works slowly.
299	Ikke la meg dø her.	Don't let me die here.
300	Jeg håper det er nok.	I hope it's enough.
301	Du gjør meg så jævla kåt!	You make me so fucking horny!
302	Skipet gikk på grunn.	The ship ran aground.
303	Alle sover ennå.	Everyone's still asleep.
304	Du klarer det, sant?	You can do it, can't you?
305	Toms dager er talte.	Tom's days are numbered.
306	Jeg tenkte på det samme.	I was thinking the same thing.
307	Tilkall politiet!	Call the police!
308	Byen stå i full fyr.	The city was all aflame.
309	De forsøk tre ganger.	They've taken three shots at it.
310	Gi meg pengene!	Give me the money!
311	Fant du en jobb?	Did you find a job?
312	Du går for langt.	You're going too far.
313	Vi er venner.	We're friends.
314	Sitt stille!	Sit still!
315	Det ligner litt faktisk.	It actually looks a bit similar.
316	Du døde nesten.	You almost died.
317	Hvem drepte Tom?	Who killed Tom?
318	Det huset er mitt.	That house belongs to me.
319	Du fikk jobben.	You got the job.
320	Gratulerer med dagen, min kjære venn!	Happy birthday, dear friend!
321	Jeg er klar om ti minutter.	I'll be ready in ten minutes.
322	De er like gamle.	They are the same age.
323	Jeg er hjemme.	I'm home.
324	Jeg venter her.	I'll wait here.
325	Hva kan det ellers være?	What else could it be?
326	Tom døde den dagen.	Tom died that day.
327	Huset vårt er tom.	Our house is empty.
328	Dere har hverandre.	You've got each other.
329	Fire øyne ser mer enn to.	Four eyes see more than two.
330	Begge to er i live.	Both are alive.
331	Hva er din fars navn?	What is your father's name?
332	Er du moren hans?	Are you his mother?
333	Det er en gutt.	That's a boy.
334	Be pappa om å komme.	Tell Dad to come.
335	Hagen er bak huset.	The garden is behind the house.
336	Jeg har hørt alt.	I've heard everything.
337	God natt, mor.	Goodnight, Mother.
338	Ikke så fort!	Not so fast!
339	Jeg spiste nettopp.	I just ate.
340	Han savner familien sin.	He misses his family.
341	Er han ferdig?	Is he finished?
342	Er det langt herfra?	Is it far from here?
343	Tom har drept igjen.	Tom has killed again.
344	Hypnose virker.	Hypnotism works.
345	Tenk på broren din.	Think about your brother!
346	Nyt det mens du kan!	Enjoy it while you can.
347	Stedet var helt tomt.	The place was completely empty.
348	Jeg må møte Tom.	I have to meet Tom.
349	Sitt stille!	Sit still!
350	Det ble ei vane.	That became a habit.
351	Tom ga meg 300 dollar.	Tom gave me $300.
352	Den lille jenta snublet opp trappa.	The little girl stumbled up the stairs.
353	Jeg så deg ikke engang.	I didn't even see you.
354	Gi meg ett sekund.	Hang on one second.
