rank	sentence	english
1	Tom je vpil.	Tom was shouting.
2	Nič ne reci.	Don't say anything.
3	Vem, da si bogat.	I know you're rich.
4	Se Tomu blede?	Is Tom delirious?
6	Sem utrujen!	I am tired!
7	To je lutka.	It's a doll.
8	Vzemi in pojdi!	Take it and go!
9	Ali si Ujgur?	Are you an Uighur?
10	Kaj je rekla?	What did she say?
11	Sem na poti.	I'm on my way.
12	Hvala za vse.	Thanks for everything.
13	A ti je všeč?	Do you like it?
14	Zunaj je mraz, ti si pa topel.	It's cold out and you're warm.
15	Kruh ni svež.	The bread is not fresh.
16	Slabo mi je.	I feel nauseous.
18	Jutri bo sončno.	It will be sunny tomorrow.
19	Mi lahko pomagaš?	Could you help me?
20	Pili so kavo.	They drank coffee.
21	Najdi Boga, če zmoreš.	Find God, if you can.
22	Ne bom umrl.	I won't die.
23	Vse me boli.	My whole body hurts.
24	Ali še nisi končal?	Have you finished yet?
25	To diši kot sir.	This smells like cheese.
26	Vedno rečem ja!	I always say yes!
28	Tako je življenje.	That's life.
29	Jaz sem Tom.	I'm Tom.
30	Kako lep dan!	What a nice day!
31	Psi imajo čute, ki jih mi nimamo.	Dogs have senses we don't have.
32	Vse me boli.	My whole body hurts.
33	Boš še tu ko se vrnem?	Will you still be here when I get back?
34	Ali si Ujgur?	Are you an Uighur?
36	Je že avgust.	It is already August.
37	Zemlja je manjša od Sonca.	The earth is smaller than the sun.
38	Zakaj vprašaš?	Why do you ask?
39	Ali ste Ujgur?	Are you an Uighur?
40	Boš navijal zame?	Will you cheer for me?
41	Nisem žejen.	I am not thirsty.
42	Dobro jutro.	Good morning.
43	Poskusimo nekaj.	Let's try something.
44	Tudi z očali ne vidi dobro.	Even with his glasses, he doesn't see very well.
45	Kdo ima prav?	Who's right?
46	Iz Nemčije smo.	We are from Germany.
47	Živim tukaj.	I live here.
48	Grem po časopis.	I am going out to buy the newspaper.
49	Tri, štiri, zdaj!	On your marks, get set, go!
50	Hvala za vse.	Thanks for everything.
51	Oprostite, ampak iščem pošto.	Excuse me, but I'm looking for the post office.
52	Sem iz Švice.	I'm from Switzerland.
53	Ker je Chiro maček, ne mara ličijev.	Since Chiro is a cat, he doesn't like lychee.
54	Kdo je kriv?	Who's to blame?
55	Potrebujem več kave.	I need more coffee.
56	Ta pes grize.	This dog bites.
57	Rada te imam.	I love you.
58	Kaj delajo tu?	What are they doing here?
59	Kje je juha?	Where is the soup?
60	Vedno rečem ja!	I always say yes!
61	Štej do trideset.	Count to thirty.
62	Zmagali bomo.	We'll win.
63	On ni moj mož.	He's not my husband.
64	Nič ne reci.	Don't say anything.
65	Nisem vas videl.	I didn't see you.
66	Iz Nemčije sva.	We are from Germany.
67	Je zelo velik.	He is very tall.
69	Najprej delo, potem zabava.	Business before pleasure.
70	Vodo, prosim.	Water, please.
71	Umrl je pri sedemdesetih.	He died at the age of seventy.
