rank	sentence	english
1	To je lutka.	That's a doll.
2	Hoću da odeš.	I want you to go.
3	Ne sudim te.	I'm not judging you.
4	Bojiš li se?	Are you afraid?
7	To je lutka.	That's a doll.
8	Ja sam mlad.	I'm young.
9	Što učiniti!	What to do!
10	Moram ići na wc.	I have to go to the toilet.
11	Dobro. A ti?	Fine. And you?
12	Što ima za objed?	What's for lunch?
13	Tko mi kaže.	Look who's talking.
14	Otpušten si.	You are fired.
15	Je li tvoje?	Is it yours?
16	Ja sam mlad.	I'm young.
17	Oni su sjeli.	They sat down.
18	Danas je sunčano, ali hladno.	Today it's sunny but cold.
19	To nije otok.	That is not an island.
21	Samo se opusti.	Just relax.
22	On zna da ga voliš.	He knows that you love him.
23	Začuđuje me.	It astounds me.
24	Pero je jače od mača.	The pen always beats the sword.
26	Mogao bi imati pravo.	You may be right.
27	Čije je ovo?	Whose is this?
28	Kako lijepo!	How nice!
29	Ubiti ću te!	I will kill you!
30	Tko će biti prvi?	Who is going to be the first?
32	Dobro. A vi?	Fine. And you?
33	Tom može otići ako želi.	Tom can leave if he wants to.
34	Mi smo u ratu.	We're at war.
35	Bio si sa mnom.	You were with me.
36	Bog zna sve.	God knows everything.
37	Želim mač kao ovaj!	I want a sword like this!
38	Ubiti ću te!	I will kill you!
39	Tko će biti prvi?	Who is going to be the first?
40	Ti si tako pometan.	You're so smart.
41	Znam skijati.	I'm able to ski.
42	Zašto ste sami?	Why are you alone?
43	Nisam pjevač.	I'm not a singer.
44	Još sam ovdje.	I am still here.
45	Bio je bogat.	He was rich.
46	Mogu to i sama!	I can do it myself.
47	Bilo, pa prošlo.	That's water under the bridge.
48	Zašto sam sam?	Why am I alone?
49	On je bogat.	He's rich.
50	Još sam ovdje.	I am still here.
51	Onda je sve u redu.	Everything's okay then.
52	Bilo, pa prošlo.	That's water under the bridge.
53	Nešto se dogodilo.	Something happened.
54	Kad možeš doći?	What time can you come?
55	Koji ti je vrag?	What the hell is it with you?
56	Mislio sam na vas.	I've been thinking about you.
57	Mislim, dakle jesam.	I think, therefore I am.
58	Mnogo hvala!	Thank you very much!
59	Ja sam iz Grčke.	I'm from Greece.
60	Kava ili čaj?	Coffee or tea?
61	Tom je možda to vidio.	Tom may have seen it.
62	Znaš li ih oboje?	Do you know them both?
63	Gdje kopaju?	Where are they digging?
64	To ima smisla.	That makes sense.
65	Sviđa li vam se nogomet?	Do you like soccer?
66	Moraš više raditi.	You must work more.
67	Znaš li turski?	Do you know Turkish?
68	Tko ti je to rekao?	Who told you that?
69	Sada mi lažeš.	You're lying to me now.
70	Jao! Moj zub!	Ouch! My tooth!
71	Onda je sve u redu.	Everything's okay then.
72	Želio bih kupiti psa.	I would like to buy a dog.
73	Tko mi kaže.	Look who's talking.
74	Ne zavidim mu.	I don't envy him.
75	To ćemo uvijek pamtiti.	We'll always remember that.
76	Broj do trideset.	Count to thirty.
77	Nema problema!	No problem!
78	Bila je noć.	It was night.
79	Nemam ništa.	I have nothing.
80	Njezin je, zar ne?	It is hers, is it not?
81	Prepao si nas.	You startled us.
82	Ona je bogata.	She's rich.
83	Želim dečka.	I want a boyfriend.
84	Probaj malo.	Try some.
85	Ne viči na mene.	Don't shout at me.
86	Može li on voziti?	Can he drive?
87	Dobro. A vi?	Fine. And you?
88	Kavu, molim.	Coffee, please.
89	Kada odlaziš?	When will you leave?
90	Što možemo reći?	What can we say?
91	Šta je taj zvuk?	What is that sound?
92	Pao je ispit jer nije učio.	He failed in the examination because he had not studied.
93	Šalio sam se prije.	I was kidding before.
94	Ljutim se na tebe.	I'm angry with you.
96	Imam biljke.	I have plants.
97	Možeš li doći?	Can you come?
98	Sad možeš doći.	You can come in now.
99	Sjednimo tu na travu.	Let's sit here on the grass.
100	Gdje ćeš to staviti?	Where are you going to put that?
101	Kasnio je zbog nesreće.	He was late as a result of the accident.
102	Tom nema braće ni sestara.	Tom has no siblings.
103	Neki lijekovi nam škode.	Some medicine does us harm.
104	Možeš ići tamo.	You may go there.
105	Jesi li sretan?	Are you happy?
106	Ljudi žele mir.	People want peace.
107	To svi kažu.	That's what they all say.
108	Moram ići na wc.	I have to go to the toilet.
109	Uvijek se žališ.	You are always complaining.
110	Imam sve što mi treba.	I have everything I need.
111	Stvarno je pametan.	He is clever indeed.
112	Hajde da probamo!	Let's try it!
113	Po prirodi je nježan.	He is gentle by nature.
114	Jedan nedostaje.	There's no one missing.
115	Koliko puta?	How many times?
116	Već sam pokušao.	I've already tried.
117	Idemo nešto pojesti.	Let's get something to eat.
118	O čemu misliš?	What are you thinking about?
119	Zato sam ga otpustio.	This is why I fired him.
120	Nisam baš bio spreman.	I was hardly prepared.
121	Bolje ikad nego nikad.	Better late than never.
122	To se neće dogoditi.	That won't happen.
123	Bez riječi sam.	Words fail me.
124	Vrijeme leti.	Time flies.
125	Što možemo reći?	What can we say?
126	Tom je zaspao dok je čitao.	Tom fell asleep while reading.
127	Koje vino imaš?	What kind of wine do you have?
128	To je ono što je ubilo.	That's what got her killed.
129	Ne zavidim joj.	I don't envy her.
130	Oni su sjeli.	They sat down.
131	Želiš li kavu?	Would you like a coffee?
132	Znamo da smo bolji od toga.	We know we're better than that.
133	Pij ovaj sok.	Drink this juice.
134	Žao mi je...	Sorry...
135	Imaš li nož?	Do you have a knife?
136	Šta je taj zvuk?	What is that sound?
137	Naravno, to nije točno.	Of course it's not true.
138	Mogao bi imati pravo.	You may be right.
139	Kakav posao tražite?	What kind of job are you looking for?
140	Koja je cijena?	What's the price?
141	Tome, imamo problem.	Tom, we have a problem.
142	Ova karta vrijedi mjesec dana.	This ticket holds good for a month.
143	Nikad nije kasno.	It's never too late.
144	Vidim tvoj stol.	I see your table.
145	Dan je lingvist.	Dan is a linguist.
146	Vi ste bili uplašeni.	You were scared.
147	Rekla si mi to prije.	You told me that before.
148	Kad si zadnji put razljutio svoju majku.	When was the last time you angered your mother?
149	O čemu se radi?	What is it about?
150	Imam 19 godina.	I am 19 years old.
151	To je bolje.	That's better.
152	Dojim svoje dijete.	I'm breast-feeding my baby.
153	Nemoj se bojati grešaka.	Don't be afraid of making mistakes.
154	Tom pije puno pive.	Tom drinks a lot of beer.
155	Neću plivati.	I won't swim.
156	Netko je došao.	Someone came.
157	Meni se sviđa pješačiti.	I like to walk.
158	Možete li doći?	Can you come?
159	Sutra ću ostati kod kuće.	I'll stay at home tomorrow.
160	Reci mi gdje ona živi.	Tell me where she lives.
161	Moramo ih vidjeti.	We have to see them.
162	Jeste li primili paket koji sam vam poslao?	Did you get the package I sent you?
163	Mama je plakala.	Mama cried.
164	Imam dobar vid.	I have good eyesight.
165	Tom ima dva računala.	Tom has two computers.
166	Tom mora biti ovdje.	Tom has to be here.
167	Puno očekujemo od njega.	We expect much of him.
168	Imao sam ideju.	I had an idea.
169	Pokušaj raditi jednu po jednu stvar.	Try to do one thing at a time.
170	Nisu me znali.	They didn't know me.
171	Voda je život.	Water is life.
172	Dao sam im vašu adresu.	I gave them your address.
173	Tata se rano vratio kući.	Dad came home early.
174	Daj mu vremena.	Give him time.
175	Radiš previše.	You work too hard.
176	Vidio sam ubojicu.	I saw the killer.
177	Volim plažu.	I like the beach.
178	Jako sam visok.	I am very tall.
179	Hoćeš li mi pomoći?	Are you going to help me?
180	Možeš ići tamo.	You may go there.
181	Ne vidim te.	I don't see you.
182	Dolazim kući.	I'm coming home.
183	Nikada nećeš biti sam.	You'll never be alone.
184	Danas je utorak.	Today is Tuesday.
185	Bog zna sve.	God knows everything.
186	Trebao si to znati.	I should have known that.
187	Neka igre počnu!	Let the games begin.
188	Pokušaj opet.	Try again.
189	Vrlo si hrabar.	You are very brave.
190	Upravo smo ju vidjeli.	We just saw her.
191	Ne mogu naći svoj kofer.	I can't find my suitcase.
192	Što učiniti!	What to do!
193	Stvari su se promijenile nakon toga.	Things changed after that.
194	Odmah počni.	You are to start at once.
195	Znam tvoje ime.	I know your name.
196	Ovo je sigurno pripadalo njoj.	This must've belonged to her.
197	Voliš li svoju majku?	Do you love your mother?
198	Imam tri psa.	I have three dogs.
199	Ne idem u Boston.	I'm not going to Boston.
200	Tom želi meso.	Tom wants meat.
201	Evo tvoje torbe.	Here is your bag.
202	Nitko nije umro.	Nobody died.
203	Jesam li trudna?	Am I pregnant?
204	Mačka nije čovjek!	A cat is not a person!
205	Mnogo hvala!	Thank you very much!
206	O čemu misliš?	What are you thinking about?
207	Nešto ne valja s tim televizorom.	Something is the matter with this TV set.
208	To je slika koju je naslikao.	It is the painting he painted.
209	Ova zgrada bit će sagrađena u gradu.	This building will be built in the city.
210	Jedenje brokule je zdravo.	Eating broccoli is healthy.
211	Oko za oko, zub za zub.	An eye for an eye, a tooth for a tooth.
212	Nemamo izbora, no ubiti.	I have no choice but to kill.
213	Sve je u redu s tobom.	Nothing is wrong with you.
214	Tom želi znati kad ćete biti gotovi.	Tom wants to know when you'll be finished.
215	Neki lijekovi nam škode.	Some medicine does us harm.
217	Tko mi kaže.	Look who's talking.
218	Nije znao što reći.	He did not know what to say.
219	Nismo dobro igrali.	We didn't play well.
220	Tom nije toliko star kao Mary.	Tom isn't as old as Mary is.
221	Tko ide sa mnom?	Who will come with me?
222	Ja sam žena.	I am a woman.
223	Bok, ja sam Nancy.	Hello, I am Nancy.
224	Bio si sa mnom.	You were with me.
