word	rank_a	rank_b	english
i	5	224	and
ti	10	29	you
ja	16	17	I
sto	130	876	hundred
tvoj	133	114	your, yours
dva	172	205	two
život	185	132	life
tri	194	206	three
svoj	199	207	one's own
žena	220	209	woman
jedna	245	223	one
strane	423	381	side
osoba	466	552	person
ženu	480	361	woman
brat	487	321	brother
dve	505	228	two
oči	507	332	eye
vode	540	985	water
sestra	575	366	sister
krv	595	392	blood
doktor	648	231	doctor, physician
brata	676	490	brother
um	711	450	mind
vodu	738	545	water
okolo	824	258	around
pivo	858	580	beer
voda	875	602	water
telo	942	335	body
program	1094	733	program
hotel	1101	955	hotel
zlato	1112	284	gold
nos	1120	797	nose
ulice	1170	922	street
škola	1200	759	school
zvuk	1205	755	sound
čaj	1209	701	tea
večer	1216	184	evening
oba	1218	1805	both
osobe	1261	1716	person
osobu	1264	989	person
strana	1286	1056	side
dar	1407	719	gift
bomba	1486	870	bomb
novom	1520	1155	new
most	1565	1203	bridge
slobodu	1569	1004	freedom
princ	1580	968	prince
nebo	1590	1238	sky
ulica	1605	1568	street
duše	1610	890	soul
prst	1622	1209	finger
madam	1632	385	madam
šou	1700	754	show
duša	1727	1036	soul
svetlo	1768	524	light
mačka	1948	1139	cat
adresa	1975	1240	address
