word	rank_a	rank_b	english
que	1	2	that
e	7	435	and
está	12	21	to be
mas	19	411	but
vamos	39	47	to go
porque	50	76	because
estás	58	54	to be
esta	77	45	this
este	88	60	this
nunca	93	98	never
ir	104	128	to go
estamos	124	139	to be
estar	137	131	to be
menos	217	189	less
amigo	218	191	friend
contigo	219	229	with you
lado	226	284	side
lugar	239	176	place
dentro	245	318	inside
fui	251	429	to go
hora	257	244	hour
atrás	265	474	behind
amor	269	249	love
ok	271	455	OK
desde	274	162	since
horas	277	360	hour
tarde	281	242	late
tal	283	157	such
amigos	290	269	friend
encontrar	291	371	to meet
minutos	334	341	minute
juntos	367	329	together
última	369	418	final; last
semana	383	325	week
cinco	389	373	five
dólares	409	524	dollar
agente	421	648	agent
marido	424	558	husband
estado	429	169	to be
segundo	432	478	second
meses	439	458	month
número	445	457	number
perder	466	646	to lose
idiota	479	560	idiotic
tomar	506	386	to take
sala	514	858	room
seis	518	525	six
culpa	519	460	fault
paz	536	559	peace
cama	538	537	bed
seguir	562	510	to follow
semanas	563	609	week
local	569	1816	premises, rooms
especial	583	610	special
hospital	595	591	hospital
minuto	600	574	minute
irá	601	1282	to go
luz	612	548	light
música	614	572	music
beber	624	1032	to drink
toma	625	415	to take
tratar	628	1184	to treat
existe	641	1083	to exist
último	644	539	final; last
comprar	656	808	to buy
sistema	659	744	system
amiga	665	680	friend
futuro	692	704	future
ambos	698	719	both
grupo	704	681	group
salvar	706	1072	to save
mesa	750	816	table
fantástico	792	1340	fantastic
hotel	825	754	hotel
carta	834	819	letter
barco	836	834	boat
voz	842	703	voice
estúpido	848	801	stupid
banco	868	1082	bank
papel	884	916	paper
base	905	1086	basis
comandante	909	1220	commander
segundos	922	1053	second
apartamento	940	1237	flat, apartment
tribunal	957	1971	court
explicar	980	1909	to explain
prometo	988	894	to promise
coronel	996	1097	colonel
alma	997	937	soul
diferentes	998	1217	different
últimos	1001	1123	final; last
planeta	1002	1139	planet
destino	1015	1085	destiny, fate
vender	1038	1477	to sell
bomba	1050	1260	bomb
humano	1066	1133	human
trata	1076	499	to treat
estará	1077	542	to be
inteligente	1080	999	intelligent
drogas	1081	1008	drug
público	1086	1069	public
pobre	1109	746	poor
entrada	1119	1283	entrance
código	1128	1498	code
totalmente	1132	820	totally
sargento	1153	1078	sergeant
humanos	1156	1273	human
oficial	1179	778	official
repente	1189	1278	attack, upsurge
negro	1203	730	black
perdido	1221	586	to lose
agentes	1222	1936	agent
junto	1254	940	together
ido	1257	463	to go
trato	1282	658	to treat
departamento	1286	1014	department
azul	1300	1216	blue
restaurante	1306	1444	restaurant
duro	1318	613	hard
cartas	1322	1259	letter
parque	1349	1595	park
paciente	1350	1188	patient
arte	1356	1191	art
visita	1357	1353	to visit
cantar	1359	1570	to sing
encontrado	1381	670	to meet
enviar	1401	1872	to send
recuperar	1416	1944	to recover
valor	1420	1275	value
soldado	1427	1439	soldier
líder	1442	1708	leader
inocente	1447	1360	innocent
disparar	1472	1953	to shoot, to fire
flores	1487	1313	flower
nariz	1493	1640	nose
encontramos	1504	933	to meet
unidos	1518	1136	united
gato	1523	1486	cat
lugares	1527	1591	place
estilo	1537	1255	style
números	1559	1923	number
verde	1561	1561	green
tv	1570	1905	TV
ridículo	1599	1411	ridiculous
humana	1623	1739	human
princesa	1642	1647	princess
calor	1643	1333	heat
colega	1646	1559	colleague
espada	1660	1796	sword, which is designed to cut, stab, slash and/or hack
iremos	1661	1135	to go
estúpida	1670	1602	stupid
política	1675	1553	politics
oferta	1679	1685	offer
tome	1681	1291	to take
absolutamente	1701	1342	absolutely; completely; entirely; totally; utterly; wholly
militar	1706	1851	military
príncipe	1713	1560	prince
encontraste	1722	1855	to meet
oeste	1777	1696	west
corte	1781	1005	to cut
universo	1809	1637	universe
internet	1822	1928	internet
bebe	1824	1543	to drink
imagino	1864	1786	to imagine
sexual	1906	1777	sexual
escrito	1956	1446	to write
completo	1969	1204	full, complete
