rank	sentence	english
1	Të dashuroj.	I love you.
3	Jam në kishë.	I'm at church.
4	Babai im na do	My dad loves us.
5	Nuk di asgjë.	You don't know anything.
6	Ku është Boston?	Where is Boston?
8	Mos më bërtit.	Don't yell at me.
9	Ata po zihen.	They are fighting.
10	Dua që të më duash.	I want you to love me.
11	Ke një vëlla?	Do you have a brother?
12	Ulu dhe fol me mua.	Sit down and talk to me.
13	Është për turistë.	It's for tourists.
14	Dëgjo me kujdes.	Listen carefully.
15	Mirë se vini.	Welcome.
16	Unë jam Tom.	I am Tom.
17	Ti din diçka.	You know something.
18	Ti nuk je spiun, apo jo?	You aren't a spy, are you?
19	Ka shume para.	He has a lot of money.
20	Ditën e mirë!	Have a nice day.
21	Une dua te te puthe.	I want to kiss you.
22	Nuk mund t'a bëj.	I can't do it.
23	Shiko çfarë do Tomi.	See what Tom wants.
24	Jam nga Rusia.	I am from Russia.
25	Si ju quajnë?	What's your name?
26	Si të quajnë?	What's your name?
27	Duhet të jesh e fortë.	You need to be strong.
28	Ne duam fjali të plota.	We want complete sentences.
29	Kjo është e lehtë.	This is easy.
30	Kam dy mace.	I have two cats.
31	Dua të shoh këtë film.	I want to watch this film.
32	Ai lexon shumë.	He reads a lot.
33	Nuk kam para, por kam ëndërra.	I have no money, but I have dreams.
34	Ai lexon shumë.	He reads a lot.
35	Unë jam Tom.	I am Tom.
36	Nuk di asgjë.	You don't know anything.
37	Unë jam këtu.	I am here.
38	Kush mendon se je?	Who do you think you are?
39	Ke një vëlla?	Do you have a brother?
40	Harroje atë.	Forget him.
42	Mos më bërtit.	Don't yell at me.
43	Ajo u zhduk.	She disappeared.
44	Jam shumë e uritur tani.	I'm very hungry now.
45	Ishte e imja.	It was mine.
47	Unë punoj vetëm.	I work alone.
48	Tomi më pyeti nëse isha i zënë apo jo.	Tom asked me whether I was busy or not.
49	Ku është Boston?	Where is Boston?
50	Kur do të ha Kivi?	When will I eat Kiwi?
51	Janë mësues.	They're teachers.
52	Dua të vdes.	I want to die.
53	Po qeshin me mua?	Are they laughing at me?
54	Tom ka edhe një makinë të kuqe.	Tom has a red car, too.
55	Ata po zihen.	They are fighting.
57	Nuk kemi përgjigje.	We don't have answers.
58	Sa e turpshme!	How embarrassing!
59	Të gjithë qeshën.	Everybody laughed.
60	Na u bashko.	Join us.
61	Mua më pëlqen të rri me ty.	I like to stay with you.
62	Pse nuk erdhe me mua?	Why didn't you come with me?
63	Çfarë jeni duke bërë?	What are you doing?
64	Ti nuk je spiun, apo jo?	You aren't a spy, are you?
65	Shpik ndonjë gjë.	Make something up.
66	Eshte errsire jashte.	It's all dark outside.
67	Unë lexova librin e tij.	I read his book.
68	Më pëlqen ky qytet.	I like this city.
69	Ti din diçka.	You know something.
70	Jemi kënaqur vërtet.	We are truly pleased.
71	Nuk kam qenë këtu më parë.	I have not been here before.
72	Do të më duhet pak më shumë kohë.	I'm going to need a little more time.
73	Nuk bëj asgjë.	I don't do anything.
74	Babai im na do	My dad loves us.
75	Nuk jam një njeri i keq.	I'm not a bad person.
76	Kush ju mëson?	Who teaches you?
77	Faleminderit!	Thank you!
