rank	sentence	english
1	Να! Έρχεται.	There! She comes!
2	Του το είπα.	I told him.
3	Δεν καπνίζω.	I don't smoke.
4	Είναι άσπρο;	Is it white?
5	Θα δοκιμάσω.	I will give it a try.
6	Πιες και φάε.	Drink and eat.
7	Μου λείπεις.	I miss you.
8	Με απήγαγαν.	They kidnapped me.
9	Πάω για ύπνο.	I go to bed.
10	Την αγαπάει.	He loves her.
13	Τον ξέρουμε.	We know him.
14	Τα είδε όλα.	He saw everything.
15	Από που είσαι;	Where are you from?
16	Με γεια σου!	Good for you!
17	Σε συγχαίρω!	Congratulations!
18	Αυτό θέλετε;	Do you want this?
19	Του το είπα.	I told him.
20	Τι αγόρασες;	What did you buy?
21	Λέει ότι νίκησε.	He says he's won.
22	Από πού είσαι;	Where are you from?
23	Ζω στο Περού.	I live in Peru.
24	Θα της πεις;	Will you tell her?
25	Θα πας ή όχι;	Are you going or not?
26	Ναι, έρχομαι!	Yes, I'm coming!
27	Ένα θέλουμε.	We want one.
28	Μισώ τη βία.	I hate violence.
29	Έλα αν μπορείς.	Come if you can.
30	Έχω τόξο αλλά όχι βέλη.	I have a bow but no arrows.
31	Μείνετε εδώ.	Stay there.
32	Έχω μια ιδέα.	I have an idea.
33	Σας πιστεύω.	I believe you.
34	Τους είπατε;	Did you tell them?
35	Ήταν τυχερά.	They were lucky.
36	Βοήθησέ μας.	Help us.
37	Πρέπει να πιω.	I have to drink.
38	Είσαι σπίτι;	Are you home?
39	Είμαι άθεος.	I'm an atheist.
40	Πρώτα οι κυρίες.	Ladies first.
41	Στην πισίνα!	To the swimming pool!
42	Έχω πολύ γη.	I have a lot of land.
43	Όχι κι άσχημα!	Not bad!
44	Γιατί ρωτάς;	Why do you ask?
45	Ελπίζω πως όχι.	I hope not.
46	Τώρα θυμάμαι.	Now I remember.
47	Εγώ πλύθηκα.	I washed myself.
48	Όλα εντάξει;	Is everything OK?
49	Έτρωγα κάτι.	I was eating something.
50	Έχει παιδιά.	She has children.
51	Δεν την ξέρω.	I don't know her.
52	Τις θυμάμαι.	I remember them.
53	Έχω δουλειά.	I'm busy.
54	Δε φοβήθηκα.	I wasn't afraid.
55	Μην αγγίζετε.	Don't touch.
56	Μην μιλάς έτσι.	Don't talk like that.
57	Μίλησες εσύ;	Did you speak?
58	Καλά. Εσείς;	Fine. And you?
59	Αυτή πέθανε.	She died.
60	Θέλω να πάω.	I want to go.
61	Πίνω νερό όταν διψάω.	I drink water when I'm thirsty.
62	Αρέσω στον Τομ;	Does Tom like me?
63	Ζω στη Χιλή.	I live in Chile.
64	Μπορώ να φάω.	I can eat.
65	Πού το ξέρεις;	How do you know?
66	Έχεις χαθεί;	Are you lost?
67	Τι θα κάνεις;	What will you do?
68	Μ' άφησαν μόνο.	They left me alone.
69	Φάγαμε μαζί.	We ate together.
70	Άσ' το εκεί.	Leave it there.
71	Κοιμάται σαν μωρό.	He's sleeping like a baby.
72	Όλα εντάξει;	Is everything OK?
73	Όλα ή τίποτα.	All or nothing.
