rank	sentence	english
1	আমি জানি না।	I don't know.
2	আমি জানি না।	I don't know.
3	তুমি কোথায়?	Where are you?
4	আমার নাম টম।	My name is Tom.
5	তোমরা কি কর?	What do you do?
6	এটা কাজ করে।	This works.
7	আর সময় নেই।	There's no more time.
8	তোমার নাম কি?	What is your name?
9	টম একলা আছে।	Tom's alone.
10	সে কি শিক্ষক?	Is he a teacher?
11	এই যে ফাইলটা।	Here's the file.
12	আমরা দেখেছি।	We saw it.
13	এটা কাজ করে।	This works.
14	সেটা হবে না।	That won't happen.
15	আমার জন্য রান্না করুন।	Cook for me.
16	আমাদের ডেকো।	Call us.
17	কে শুরু করতে চায়?	Who wants to begin?
18	আমাকে ডাকিস।	Call me.
19	আমি ঠিক আছি।	I'm fine.
20	আপনি কোথায়?	Where are you?
21	কিছু তো খান।	Eat something.
22	এই যে ফাইলটা।	Here's the file.
23	তার বয়স কত?	What is his age?
24	ঘুম থেকে ওঠ।	Wake up.
25	কিছু তো খান।	Eat something.
26	আমার সাথে আসুন	Come with me.
27	আবার আসবে কিন্তু।	Do come again.
28	এখানে থামেন।	Stop here.
29	টম তোমাকে দেখলো।	Tom saw you.
30	এখন শুরু কর।	Start now.
31	কোন মতেই না!	No way!
32	কথা বলিস না।	Don't talk.
33	তুই কী খাবি?	What would you like to eat?
34	আমি যদি না কাঁদতাম।	I wish I hadn't cried.
35	টম এবং আমি বিবাহিত।	Tom and I are married.
36	আপনার নাম কি?	What is your name?
37	টম নীরব ছিল।	Tom remained silent.
38	তাকে ছাড়ুন।	Forget him.
39	তারা সমকামী।	They're homosexual.
40	আর সময় নেই।	There's no more time.
41	অনেক ধন্যবাদ।	Many thanks.
42	কেন কী খাচ্ছে?	What is Ken eating?
43	গল্প করা যাক।	Let's chat.
44	ওহ হ্যাঁ, চোদো!	Oh yes, fuck me!
45	এখন শুরু করো।	Start now.
46	ও, তাই নাকি?	Oh, really?
47	সব ছেলেই সৎ।	All the boys are honest.
48	আমার এক ভাই আছে।	I have a brother.
49	আমি এর পক্ষে।	I'm for it.
50	তুমি আগে যাও।	You go first.
51	এটা কাজ করে।	This works.
53	কে খেয়েছিল?	Who ate?
54	কার কাছে আছে?	Who has it?
55	ওটা শুধু রক্ত।	It's only blood.
56	শুভ অপরাহ্ন, স্যার!	Good evening, sir!
57	ওকে যেতে দাও!	Let her go!
58	টম তাদের দেখলো।	Tom saw them.
59	ভালো প্রশ্ন!	Good question!
60	যা এখান থেকে!	Get lost!
61	ও একজন পতিতা।	She's a hooker.
62	খুব ভাল বুদ্ধি!	That's a good idea!
63	কে যেতে চায়?	Who wants to go?
64	টম খুব কাশে।	Tom coughs a lot.
65	টম চিৎকার করবে।	Tom will scream.
66	আমার বরফ চাই।	I need ice.
67	ও আসতে পারে।	He can come.
68	যুদ্ধ এখন শেষ।	The war is over.
69	আমার কিছু করার নেই।	There's nothing I can do.
70	না, ধন্যবাদ।	No, thank you.
71	যখন টম খুশি, তখন আমিও খুশি।	When Tom's happy, I'm happy.
72	আমাকে বলতে দাও।	Let me speak.
73	কেউ এসেছিলো।	Someone came.
74	চলো সেক্স করি।	Let's have sex.
75	তুই কী খাবি?	What would you like to eat?
76	টম আমার বাবা।	Tom is my dad.
77	টম ওকে দেখলো।	Tom saw her.
78	এই বিষয় আপনার কি মত?	What are your thoughts on that?
79	সেটা হবে না।	That won't happen.
80	তুই কি হতে চাস?	What do you want to be?
81	আর একটু নেবে?	Would you like some more?
82	আমি যেতে পারি।	I can go.
83	সবাই হাসলেন।	Everybody laughed.
84	আপনি আগে যান।	You go first.
85	ওখানে দেখা হবে।	See you there.
86	তিনি দৌড়ান।	He runs.
87	আমার রক্ত বের হচ্ছে।	I'm bleeding.
88	টম মিথ্যে বলে।	Tom lies.
90	তোমরা কি কর?	What do you do?
91	টম আবার কাশলো।	Tom coughed again.
92	আপনাকে অগ্রিম দিতে হবে।	You must pay in advance.
93	আমার নাম টম।	My name is Tom.
94	এটা ওর বাড়ি।	This is her house.
95	এটা কিভাবে ঘটলো?	How did this happen?
96	তাদের মধ্যে একজন গুপ্তচর।	One of them is a spy.
97	তোমরা কি কর?	What do you do?
98	টম ফিরে আসছে।	Tom is coming back.
99	আচ্ছা, আবার পরে দেখা হবে।	Well, see you later.
