rank	sentence	english
1	நான் நடப்பேன்.	I'll walk.
2	நீங்கள் எங்கே போகிறீர்கள்?	Where are you going?
3	நான் ஒரு மனிதன்.	I am a man.
4	நான் ஒரு வழி காட்டி இல்லை	I am not a guide.
5	உங்க பேரு என்ன?	What's your name?
6	போய் யார் என்று பார்	Go and see who it is.
7	நான் ஆடை அணிய வேண்டும்	I have to dress up.
8	இந்த தொப்பியின் விலை என்ன?	What is the price of this cap?
9	நாம் எங்கே இருக்கிறோம்?	Where are we?
11	என் கூட யாரும் பேசுவதில்லை	Nobody speaks to me.
12	அது எங்களுடைய வீடு	That's our house.
13	நீ ஏன் போனாய்?	Why did you leave?
14	அவர் உங்களுடைய நண்பரா?	Is he a friend of yours?
15	உங்கள் வயது என்ன?	How old are you?
16	இது உவர்க்கிறது .	This is salty.
17	எனக்கு முன்னால் நட	Walk ahead of me.
18	அவன் அவளிடம் ஏதோ சொன்னான் மற்றும் அவள் சிரித்தாள்.	He told her something and she smiled.
19	நமக்கு ஒவ்வொரு விரலிலும் நகம் உள்ளது .	On each finger, we have a nail.
20	அதை எடுத்து வீசு.	Pick it up and throw it.
21	என்னை வந்து பார்	Come and see me.
22	வகுப்புல டாம் மட்டும் தான் பையன்.	Tom is the only boy in our class.
23	அவர்கள் அவளை பார்க்கவில்லை.	They didn't see her.
25	அந்த பக்கம்தான் வழி	That's the way.
26	ஆகவே நான் என்ன செய்ய வேண்டும்?	So what should I do?
27	இங்கே வராதே! ஓடு!	Don't come here! Run!
29	நாங்கள் நடக்க ஆரம்பித்தோம்	We started to walk.
30	நான் அவளிடம் இதை பற்றி சொல்லலாமா?	Can I tell her about this?
31	யாருக்குத் தெரியும்?	Who knows?
32	உன்னால் ஏன் முடியாது?	Why can't you?
34	தங்களுடைய தந்தையார் எப்படி இருக்கிறார்கள்?	How is your dad?
36	நீ ஏன் போனாய்?	Why did you leave?
38	நல்ல முயற்சி.	Nice attempt.
40	அனைவரும் வெளியே ஓடினர்.	Everyone ran outside.
41	அவள் அன்பானவள்	She is kind.
42	உண்மையிலேயே நான் அதை மிகவும் விரும்புகிறேன்.	I really do like it a lot.
43	அவள் அவனுக்கு திருமணம் செய்து வைக்கப் பட்டாள்	She got married to him.
44	அவர்கள் பல நாடுகளில் இருந்து வருகிறார்கள்.	They come from many countries.
47	இன்னும் சத்தமாக.	Louder.
48	உங்களுக்கு எத்தனை குழந்தைகள்?	How many children do you have?
49	எப்படி உங்களுக்கு நன்றி சொல்வது என்று தெரியவில்லை.	I don't know how to thank you.
50	நாம எல்லார்கிட்டயும் சொல்ல வேண்டாம்.	Let's not tell anyone.
51	அவனுக்குக் கடல் என்றால் பயம்	He's afraid of the sea.
52	நான் வேலை பளுவினால் சோர்வாகயிருக்கிறேன்	I am tired of my work.
53	போய் யார் என்று பார்	Go and see who it is.
54	உனக்கு பாடல்கள் பிடிக்குமா?	Do you like songs?
55	எப்போ நேரம் வரும்?	When will the time come?
56	டாம் செய்வான், அல்லது வேறு யாராவது செய்வார்கள்.	Either Tom does it, or someone else.
58	அவள் அறையை விட்டு வெளியே சென்றாள்	She went out of the room.
60	நீ எங்கே இருக்கிறாய்?	Where are you?
61	டாம் நள்ளிரவு வரை எங்களுடன் குடித்தார்.	Tom drank with us until after midnight.
62	நான் தினமும் நன்றாக தூங்குகிறேன்.	I sleep well every day.
63	நான் உன்னை காதலிக்கிறேன்.	I love you.
65	நான் என்ன செய்கிறேன் என்று டோமுக்குத் தெரியாது.	Tom doesn't know what I do.
66	கடலில் தீவுகளில் உள்ளன.	There are islands in the sea.
67	நான் ஒரு மனிதன்.	I am a man.
68	சியோனிஸ்ட் திட்டம் 19ஆம் நூற்றாண்டின் பிற்பகுதியிலேயே ஆரம்பித்துவிட்டது.	The Zionist project goes back to the late 19th century.
69	எனக்கு ஒரு தங்கை இல்லை, எனக்கு இரண்டு தங்கைகள் இருக்கிறார்கள்.	I don't have one sister, I've got two.
70	அவனுக்கு நீச்சல் மீது பற்று உண்டு	He is fond of swimming.
71	டோம் நாள் முழுதும் இங்கு இருக்கப்போகிறான்.	Tom is going to be here all day.
72	நிறைய மக்கள் நான் பைத்தியம் என்று எண்ணுகிறார்கள்	Most people think I'm crazy.
74	இதை உன் பையில் வை.	Put this into your bag.
75	என் கூட யாரும் பேசுவதில்லை	Nobody speaks to me.
76	வீட்டிற்கு வா.	Come home.
79	இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்	Please sit here and wait.
80	அவன் வருவான் என எதிர் பார்க்கிறேன்	I expect him to come.
81	உங்கள் பிறந்த நாள் எப்போது ?	When is your birthday?
83	அவனைக் கொஞ்சம் பணம் கேட்டாள்	She asked him for some money.
84	இது செர்பியாவின் மூன்றாவது பெரிய நகரம்.	It's the third biggest city in Serbia.
85	நீ ஒரு வழி காட்டி	You are a guide.
86	நான் கழிவறைக்குச் செல்ல வேண்டும்.	I have to go to the toilet.
88	என்னை வந்து பார்	Come and see me.
89	அவன் போய்விட்டான்.	He left.
91	மணி ஒலித்தப் பிறகு அவன் வந்தான்	He arrived after the bell rang.
99	அந்த பையன் அழ ஆரம்பித்தான்	The boy began to cry.
100	நான் உன்னை விட உயரமாக இருக்கிறேன்	I'm taller than you.
101	நான் நிறைய சாப்பிட்டேன்	I ate too much.
102	உங்களை வரவேற்கிறோம்.	Welcome.
106	இதை உன் பையில் வை.	Put this into your bag.
108	இன்று இரவு மழை பெய்யும் என்று நினைக்கிறேன்.	I think it'll rain tonight.
109	இது உங்களுக்கு சம்பந்தமில்லாத விஷயம்	None of your business.
111	நல்ல முயற்சி.	Nice attempt.
112	கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை	Rain, by its absence, ruins men, but by its existence restores them to fortune.
115	கண்ணாடி வீட்டில் வசிப்பவகள் கல்லை எறியக் கூடாது	People who live in glass houses shouldn't throw stones.
117	ஒரு விசித்திரமான ஒன்று இன்று காலை எனக்கு நடந்தது.	Something extraordinary happened to me this morning.
