rank	sentence	english
1	De necrezut!	Unbelievable!
2	Tom nu știe.	Tom doesn't know.
3	Pot să merg?	May I go?
5	În mod cert!	Definitely!
6	Ce mai faci?	What's up?
8	Cred că pot.	I think I can.
9	La revedere!	Goodbye!
11	Dă cu zarul!	Throw the dice.
12	Stai pe loc!	Freeze!
13	Am doi ochi.	I have two eyes.
14	Este un cal.	This is a horse.
15	Ce mai faci?	What's up?
16	Nu bea asta.	Don't drink that.
17	Pentru puțin.	Don't mention it.
18	Este un cal.	This is a horse.
19	Sunt bolnav.	I am sick.
20	Câți ani ai?	What is your age?
21	Ce te roade?	What's biting you?
22	Bine. Și tu?	Fine. And you?
23	A spus "da".	He said yes.
24	E ca și făcut.	It's as good as done.
25	Este un dar?	Is this a gift?
26	Nu se poate!	It can't be!
27	Sunt din Rio.	I'm from Rio.
28	A fost ieri?	Was it yesterday?
29	Care e corect?	Which is correct?
30	Nu fi lacom!	Don't be greedy.
31	Mă îndoiesc.	I doubt it.
32	Eu voi veni.	I will come.
33	E bine aici.	It's nice here.
34	Hai sa incercam.	Let's try it.
35	Sună-mă dacă plouă.	Telephone me if it rains.
36	Trebuie să beau.	I have to drink.
37	Tom va veni.	Tom will be coming.
38	Fă cum vrei.	Do as you like.
39	Yanni si Skura n-au nevoie de biciclete.	Yanni and Skura didn't need bicycles.
40	Bine. Și tu?	Fine. And you?
41	Pleacă acum.	Now go away.
42	El știe tot.	He knows everything.
43	Ar îndrăzni?	Would they dare?
44	Dă-i lui tot.	Give him all of it.
45	Ai omis ceva.	You've omitted something.
46	Când ajungem?	When do we arrive?
47	Ziceam doar!	I'm just saying!
48	Ei nu ajută.	They don't help.
49	Să ne mișcăm.	Let's get moving.
50	Vino cu mine.	Come with me.
51	A râs de tine?	Did he laugh at you?
52	Nu se poate!	It can't be!
53	Pot să merg?	May I go?
54	Eu voi veni.	I will come.
55	O poți face.	You can do it.
56	Cred că pot.	I think I can.
57	Îmi pare rău!	I'm sorry.
58	Ei au căzut.	They fell.
59	Era idea mea.	It was my idea.
60	A spus "da".	He said yes.
61	Unde mergem?	Where are we going?
62	Vă mulțumim.	Thank you.
63	Ești al meu.	You're mine.
64	Ea a zâmbit.	She smiled.
65	A stat mult?	Did he stay long?
66	Vreau zăpadă.	I want snow.
67	Tom s-a ars.	Tom burned himself.
68	Era despre bani.	It was about money.
69	Fă cum vrei.	Do as you like.
70	Merită sau nu?	Is it worth it or not?
71	El știe tot.	He knows everything.
72	Foarte bine!	Very good!
73	Îmi pare rău!	I'm sorry.
74	Stați acolo!	Stay there!
75	E chiar bine.	It's really good.
76	Ele sunt in centru.	They are in town.
77	Noi îi știm.	We know them.
78	Noapte bună.	Good night!
79	Mama ta știe?	Does your mother know?
80	El era bine.	He was OK.
81	Nimic special.	Nothing special.
82	Ce mai faci?	What's up?
83	El are sens.	He makes sense.
84	Ce-ai făcut?	What have you done?
85	Cine să fie?	Who could it be?
86	Nici un cuvânt!	Not another word!
87	Ați putea repeta?	Could you repeat that?
88	Fac un ceai.	I'm making some tea.
89	Cine să fie?	Who could it be?
90	De ce ai nevoie?	What do you need?
91	Ar trebui să știu.	I should know.
92	Totul e rău.	Everything's bad.
93	Atunci e o problemă…	Then there is a problem...
94	Acordă-i timp.	Give it time.
95	Eu sunt fiul tău.	I am your son.
96	Toți o spun.	Everyone's saying it.
97	Bine. Și tu?	Fine. And you?
98	Te rog, vino.	Please come.
99	Acest gaz pute.	This gas stinks.
100	Să nu-i spui.	Don't tell her.
101	Ce ai spune?	What would you say?
102	Nu avem asta.	We don't have that.
103	Ești al meu.	You're mine.
104	Nu le iubesc.	I don't love them.
105	Chiar după colț!	Right around the corner!
106	Îi vom opri.	We'll stop them.
107	Cuget, deci exist.	I think, therefore I am.
108	Ea îl adoră.	She worships him.
109	Prea târziu.	Too late.
110	O să-l împușc.	I'm gonna shoot him.
111	Cineva venea.	Someone was coming.
112	Oh, da, îmi amintesc acum.	Oh yeah, I remember now.
113	Sunt toate la fel?	Are they all the same?
114	Câți ani ai?	What is your age?
115	Sunt cel mai bun.	I'm the best.
116	Suntem chit.	We are even.
117	Te vei răni.	You will hurt yourself.
118	El este bun.	He is kind.
119	Nu sunt sigur.	I'm not sure.
120	Nu vor trece!	They shall not pass!
121	Mai vrea Tom?	Does Tom want more?
122	E o firmă mare.	It's a big company.
123	Noi îi știm.	We know them.
124	Era liniște iar.	It was quiet again.
125	Până și mama știe.	Even my mom knows.
126	Cât ai stat?	How long did you stay?
127	Haide. Omoară-mă.	Come on. Kill me.
128	Fă ce crezi.	Do as you like.
129	Și încă cum!	And how!
130	Hei? Mai ești aici?	Hello? Are you still here?
131	Stai pe loc!	Freeze!
132	Sunt atât de bolnav.	I am so sick.
133	Totul e rău.	Everything's bad.
134	Va avea o fiică.	She’s going to have a daughter.
135	A venit vara.	Summer has come.
136	Mie-mi spui!	Tell me about it!
137	Ăsta e fals.	That's a fake.
138	El este avut.	He is well off.
139	M-am amuzat.	I amused myself.
140	Evită acel lucru.	Stay away from that.
141	Am văzut ceva.	I saw something.
142	Nu este la fel.	It's not the same.
143	Merg să-i spun.	I'll go tell her.
144	Putem vorbi.	We can talk.
145	Asta e ceea ce vrea ea?	Is that what she wants?
146	N-am pisică.	I don't have a cat.
147	Ce poți să-mi dai?	What can you give me?
148	Fără sos, te rog.	No dressing, please.
149	Trebuie sa ma culc.	I have to go to sleep.
150	Mama ta știe?	Does your mother know?
151	Le place asta.	They love that.
152	Nu este decât o ușă.	There's only one door.
153	Imediat, domnule.	Coming right up, sir.
154	Acum sau niciodată.	Now or never.
155	Totul e în regulă.	All systems are go.
156	Mi-a arătat-o.	She showed it to me.
157	El știe prin ce trec.	He knows what I'm going through.
158	Venim s-o luăm.	We're coming to pick her up.
159	Fața înainte.	Face forward.
160	Eu văd casa.	I see the house.
161	Unde mergem?	Where are we going?
162	Ai ratat unul.	You missed one.
163	Uite, ninge!	Look, it's snowing!
164	Hai să o facem.	Let's do it.
165	Stai pe loc!	Freeze!
166	Nimeni nu râde.	No one is laughing.
167	Toată lumea râde.	Everyone's laughing.
168	Tom crede în viața de apoi.	Tom believes in life after death.
169	Vezi diferența?	Do you see the difference?
170	I-am dat afară.	I sent them away.
171	Știi ce sa întâmplat.	You know what happened.
172	Am trei fii.	I have three sons.
173	L-am trimis.	I sent him away.
174	Ce naiba este?	What on earth is it?
175	A râs din nou.	They laughed again.
176	Câți oameni?	How many people?
177	Ia o decizie.	Make a decision.
178	Știm ce facem.	We know what we're doing.
179	Ce zi e azi?	What day is it today?
180	Mă duc acasă.	I'm going home.
181	Ai multe cărți.	You have many books.
182	Mergi pe jos?	Are you going on foot?
183	Lumea se uită.	The world is watching.
184	Am două cărți.	I have two books.
185	Nu vreau să mă duc daca nu vii cu mine.	I don't want to go if you don't go with me.
186	Era și timpul.	It was about time.
187	Citește această carte!	Read this book!
188	Poţi alege orice.	You may choose what you like.
189	El evită oamenii.	He avoids people.
190	Te-am auzit.	I heard you.
191	Am doi ochi.	I have two eyes.
192	Ai luat cina?	Have you had dinner?
193	Fiecare greșește.	Everyone makes mistakes.
194	Plouă peste tot.	It's raining everywhere.
195	Am vrut s-o omor.	I wanted to kill her.
196	Uită-te înapoi!	Look backward!
197	Poate într-o zi.	Maybe someday.
198	Pot să iau astea?	Can I have these?
199	Arată-mi aia.	Show me that.
200	Așa tată, așa fiu.	Like father, like son.
201	Ești unul dintre noi.	You are one of us.
202	Eu voi merge.	I will go.
203	Asta e a lor.	This is theirs.
204	Am trei fii.	I have three sons.
205	Eu știu numele său.	I know his name.
206	Ce om ciudat!	What a crank he is!
207	Voi deveni cea mai bună.	I'm going to become the best.
208	Cum m-ai găsit?	How did you find me?
209	Cei doi au râs.	The two laughed.
210	Doamne păzește!	Heaven forbid!
211	Unde sunt pozele mele?	Where are my pictures?
212	Te-ai certat?	Did you have an argument?
214	Aceasta e o gâscă?	Is this a goose?
215	Du-te să sari în lac.	Go jump in the lake.
216	E deja vară.	It's summer already.
217	Azi nu e ziua ta.	Today is not your day.
218	Mă duc acasă.	I'm going home.
219	O dată ajunge.	One time is enough.
220	De ce parte ești?	Whose side are you?
221	I-am ajutat.	We helped them.
222	Vino cu noi.	Come with us.
223	O dată e destul.	One time is enough.
224	Am câteva cărți.	I have few books.
225	Ești serios?	Are you serious?
226	Suntem gata!	We're done!
227	Nu cere bani.	Don't ask for money.
228	Vorbesc rusa.	I speak Russian.
229	Ce este tatăl lui?	Who is his father?
230	Sunt pe aproape.	I'm nearby.
231	Ne vedem joi!	See you Thursday!
232	Ninge afară.	It snows outside.
233	Te dau afară.	I'm laying you off.
234	Am numai trei cărți.	I only have three books.
235	Tom era eroul nostru.	Tom was our hero.
236	Este adevărat?	Is that true?
237	Firma noastră e falită.	Our company is broke.
238	Vino înapoi într-un an!	Come back in a year's time!
239	Am șters una.	I deleted one.
240	Vin imediat.	I'm coming right away.
241	El m-a sunat.	He gave me a call.
242	Eram slăbit.	I was weak.
243	Stai pe locul meu.	You're in my seat.
244	Ne cerem scuze.	We apologize.
245	Acesta e fiul meu.	That's my boy.
246	Mareea vine.	The tide is coming in.
247	Fă-o repede.	Make it quick.
248	Ce a zis Tom?	What has Tom said?
249	De fapt, glumeam.	Actually, I was joking.
250	Ori totul, ori nimic.	Either all or none.
251	Te-am auzit.	I heard you.
252	Tom n-o să fie acolo.	Tom won't be there.
253	Cum ai putut?	How could you?
254	Ai grijă de tine.	Take care.
255	Am textele tale.	I got your texts.
256	Tu auzi lucruri.	You are hearing things.
257	Ești singur.	You are alone.
258	Astăzi e prima zi.	Today is the first day.
259	Eu văd casa.	I see the house.
260	Probabil nu.	Probably not.
261	Au ajuns deja?	Have they arrived yet?
262	Sunt cam amețit.	I'm pretty zonked.
263	Nu știm exact.	We don't know exactly.
264	Mi l-a arătat.	She showed it to me.
265	Aveai dreptate.	You were right.
266	Simt răcoare.	I'm feeling chilly.
267	Tocmai a plecat.	He left just now.
268	Noapte bună.	Good night!
269	Cele două sate sunt adiacente.	The two villages adjoin each other.
270	Prea târziu.	Too late.
271	Ai trecut pe roșu.	You ran a red light.
272	Câte zile are un an?	How many days are in a year?
273	De ce să facă asta?	Why would they do this?
274	Mereu plouă.	It's always raining.
276	De partea cui ești?	Whose side are you on?
277	A venit seara.	Evening came.
278	Ia-ți lucrurile!	Get your things.
279	Pot să iau asta?	Can I have this one?
280	Ziri face schița unui măr.	Ziri is sketching an apple.
281	Eram împreună.	We were together.
282	El a plecat.	He walked away.
283	Te-am crezut.	We believed you.
284	Fă-te confortabil, omule.	Make yourself comfortable, man.
285	El a văzut fata.	He saw the girl.
286	Vin imediat.	I'm coming right away.
287	Ne-am întors.	We're back.
288	Mă duc spre casă.	I'm on the way home.
289	Ce zi e azi?	What day is it today?
290	El e departe.	He's far away.
291	Urăsc aceste cuvinte.	I hate these words.
292	Nu s-a terminat.	It's not over.
293	A început atacul!	The attack has begun!
294	Trebuia să plec.	I had to go.
295	Nu o iubesc.	I don't love her.
296	M-ai salvat.	You saved me.
297	Nici măcar nu asculți.	You're not even listening.
298	L-ai pierdut?	Did you lose it?
299	Eram sub atac.	We were under attack.
300	Aveți copii?	Do you have any children?
301	Sunt frumos.	Am I handsome?
302	Ascunde banii!	Hide the money!
303	Revino mâine.	Come back tomorrow.
304	N-ai spart nimic.	You broke nothing.
305	Mi-am adus aminte.	I remembered it.
306	Noapte bună, mamă.	Good night, Mom.
307	Mi l-a arătat.	She showed it to me.
308	Fii mei au crescut.	My sons have grown up.
309	Ai terminat treaba?	Are you through with the work?
310	L-ai pierdut?	Did you lose it?
311	Tată, unde ești?	Father, where are you?
312	Trebuie să plec.	I should head out.
313	Sus mâinile.	Up with your hands.
314	Păi, Cupid e un lunetist groaznic.	Well, Cupid is a terrible sniper.
315	S-ar putea să ajute.	It might help.
316	Despre ce era vorba?	What was it about?
317	Nu scăpa paharul ăla.	Don't drop that glass.
318	Ninge din greu.	It snows hard.
319	Poți vedea ceva?	Can you see anything?
320	Mi-ai văzut pana?	Have you seen my feather?
321	Pentru Dumnezeu!	For God's sake!
322	Tipul e bun.	This guy's good.
323	Desigur că da!	Of course yes!
324	I-am dat drumul.	I sent her away.
325	Încă câteva minute.	Just a few more minutes.
326	Ziri a speriat-o al dracu de rău pe Rima.	Ziri scared the living crap out of Rima.
327	A trebuit să-l ajut.	I had to help him.
328	Ce poți să-mi dai?	What can you give me?
329	Tom a murit.	Tom passed away.
330	Te voi ajuta.	I will help you.
331	Lasă-mi-o mie.	Leave this to me.
332	Ești o femeie nebună.	You're a crazy woman.
333	Ce idee bună!	What a good idea!
334	Am un copil.	I have one child.
335	M-am gândit la asta.	I've been thinking about it.
336	A lăsat ultima pagină goală.	He left the last page blank.
337	Ale cui sunt cărțile?	Whose are the books?
338	A tăcut un moment.	He was silent for a moment.
339	Ce tip prost!	What a stupid guy!
340	El i-a spus.	He told him.
341	Am făcut primul pas.	I made the first move.
342	Aceea este a lor.	That's theirs.
343	I-a pus întrebări.	He asked her questions.
344	Sper să mori.	I hope you die.
