rank	sentence	english
1	그건 내가 할 소리야.	I said I would do that!
9	내일 학교에 갈 거야?	Are you going to school tomorrow?
11	그래, 너는 날 사랑해.	Yes, you love me.
12	나는 포르투갈에 있어.	I'm in Portugal.
15	1, 3 그리고 5는 홀수이다.	One, three, and five are odd numbers.
16	우리 한동안 못 봤지!	We haven't seen you in a while.
18	무슨 일인지 얘기해봐.	Tell me what's going on.
20	나는 많은 운동은 잘 하지만 수영은 못한다.	I'm good at many sports, but I can't swim.
22	사업 어떻게 되어 가?	How's the business going?
24	나는 그냥 쉬고 싶어.	I just want to rest.
25	이건 정말 못 믿겠다.	This is difficult to believe.
26	내 오리털 잠바 입어. 그럼 좀 더 나을 거야.	Put on my eiderdown coat. That'll be better.
30	톰이 언제 여기 왔지?	When did Tom get here?
35	이제 충분히 했습니다.	Now I've had enough.
36	너 나랑 지금 춤출래?	Will you dance with me right now?
37	그게 우리 문제인가요?	Is that our problem?
40	너 말을 탈 줄 아니?	Can you ride a horse?
41	난 네가 부럽지 않아.	I don't envy you.
44	우린 포기할 수 없어.	We can't give up.
47	케이트는 몸매가 좋아.	Kate has a good figure.
48	또 다른 좋은 날 같다.	Looks like another nice day.
50	왜 그런 짓을 하는 거야?	Why are you acting this way?
51	그거 너무 낭만적이다!	How romantic!
52	그래서 기분이 좋아 보이는구나.	So he looks good feeling.
53	그렇게 욕심부리지 마.	Don't be so greedy.
54	그걸 다시 보고 싶다.	I want to see it again.
55	이런 질문은 답하기 쉽다.	These questions are easy to answer.
56	난 모든 것을 말했다.	I've said everything.
57	이 양말 당신 거에요?	Are these your socks?
62	무엇을 하고 있습니까?	What are you doing?
63	난 똑똑한 사람이 아냐.	I'm not a smart person.
64	나는 손가락을 베었다.	I've cut my finger.
65	대만은 태국이 아니야.	Taiwan is not Thailand.
66	제 우산 같이 쓰세요.	Please share my umbrella.
68	이게 가짜같진 않은데.	I don't think this is a fake.
69	오늘 무슨 요일이에요?	What day is it today?
73	또 누가 톰이랑 일해?	Who else does Tom work with?
74	어떤 사람이 되고 싶어?	What kind of person do you want to be?
75	톰은 아주 수다쟁이야.	Tom is a very talkative person.
77	나는 아직 학교에 다녀.	I'm still in school.
78	이건 진짜 개인적이야.	It's really personal.
79	모두 그녀를 사랑한다.	Everybody loves her.
81	우리는 같은 배를 탔다.	We're in the same boat.
82	어서 집으로 돌아가세요.	Hurry home.
83	톰은 그것을 위해 달렸다.	Tom ran for it.
84	저도 한국에 갈까 해요	I'm also thinking of going to Korea.
85	우리는 할 일이 많다.	We have lots to do.
86	진짜로 걱정 안 하지?	You're not really worried, are you?
87	엄마, 고양이 어딨어?	Mom, where's the cat?
88	내 말이 바로 그 말이다.	You took the words right out of my mouth.
90	근데 걔네가 안 오면 어떡해?	And what if they don't come?
91	이렇게 재미있을 수가!	What fun!
92	왜 그렇게 빨리 걸어?	Why are you walking so fast?
93	이거 있는 줄 몰랐지.	I didn't notice this thing.
95	"지난 주에 티비 보셨나요?" "아뇨."	"Did you watch television last week?" "No."
96	계속 움직이고 있어봐.	Keep moving.
97	오늘은 얼마나 잃었어?	How much money did you lose today?
98	물 좀 주세요, 제발.	Some water, please.
99	그 은행은 어디 있어?	Where is the bank?
100	안녕! 난 심이라고 해.	Hello! I'll call him Sim.
101	가을보다 봄이 좋아요.	I prefer spring to autumn.
104	뭐 때문에 네 마음이 바뀌었어?	What convinced you to change your mind?
107	사람 많은 게 싫어요.	I hate it when there are a lot of people.
108	무료로 받을 수도 있어.	You may get it free of charge.
109	새해 복 많이 받으세요.	Happy New Year!
110	톰은 거기에 가 있을 거지?	Tom is going to be there, isn't he?
111	저는 학생이 아닙니다.	I am not a student.
113	사실은 그렇지 않았다.	That wasn't the case.
114	나는 톰과 함께 자랐다.	I grew up with Tom.
115	만약 내가 너라면, 톰을 도울거야.	If I were you, I'd help Tom.
116	부탁이 하나 있습니다.	I have a favor to ask of you.
117	저기 단체로 무슨 일이야?	What happened to all those people?
118	새미는 항상 그래왔다.	Sami has always been like that.
120	톰이 가장 운이 좋았다.	Tom was the luckiest.
121	그걸 다시 보고 싶다.	I want to see it again.
123	그거 너무 낭만적이다!	How romantic!
124	아무도 소외되지 않았어.	No one was excluded.
125	안녕하세요. 난시입니다.	Hello, I am Nancy.
126	정말 수영할 줄 몰라?	Can you really not swim?
128	사람 많은 게 싫어요.	I hate it when there are a lot of people.
129	나는 그녀를 닷새 전, 그러니까 지난 금요일에 역에서 봤다.	I saw her at the station five days ago, that is, last Friday.
131	도와줘서 고마워, 톰.	Thanks for your help, Tom.
132	너는 그만 마셔야 해.	You have to stop drinking.
134	톰은 그것을 이미 했어.	Tom did that already.
137	봄을 좋아해요, 아니면 가을을 좋아해요?	Do you like spring or autumn?
138	그런데, 그때 잃어버린 우산은 찾았어?	By the way, did you find the umbrella that you lost that time?
139	그는 의사가 아니라, 박사다.	He's a PhD-doctor, not a doctor-doctor.
140	세상에 공짜가 어딨어?	Nothing is free.
142	난 절대 농담하는게 아냐.	I'm dead serious.
143	톰은 당장 할일이 있어.	Tom has something to do right now.
145	런던에 대한 첫인상이 어땠어?	What was your first impression of London?
146	모두들 거기 있을 거야.	Everyone's going to be there.
147	이 돈은 전부 네 거야?	Is all this money yours?
150	그는 자기 일을 잃었다.	He has lost his job.
151	내가 언제 그걸 하면 될까?	When should I do that?
152	컴퓨터를 가지고 있어.	I have a computer.
154	왜 너는 아무 대답을 안해?	Why don't you answer me at all?
155	빠른 답변 감사합니다.	Thank you for your prompt reply.
156	다들 그 꽃을 좋아합니다.	Everybody likes that flower.
159	한때 일주일에 한번 수영하러 가곤 했었는데, 이젠 더 이상 안 가.	I used to go swimming once a week, but I don't anymore.
160	난 아마 너무 늙었어.	I may be too old.
161	뭔가 하고 싶은 얘기 없어?	Is there anything you want to tell me?
164	사회가 변화하고 있다.	Society is changing.
165	너랑 있을 시간 없어.	I don't have time for you.
166	누가 먼저 대답할 지 보겠다.	We'll see who answers first.
167	방금 설명한 증상을 겪은 적이 있나요?	Did you ever have the symptoms which have just been described?
168	나 완전 건강하다니까.	I assure you I'm in perfect health.
169	몇년 동안 호주에 살았어?	How many years did you live in Australia?
171	내 독일인 친구 이름은 한스예요.	My German friend is called Hans.
174	난 사실 피아노를 꽤 잘 쳐.	I actually play the piano pretty well.
175	내일 절에 한번 가보자.	Let's visit some temples tomorrow.
176	대체 누가 쿠키를 다 먹었어?	Who's eaten all the cookies?
178	혼자 내버려 두십시오!	Please leave me alone!
180	선생님, 안녕하십니까.	Hello teacher!
181	다음 월드컵이 언제지?	When is the next World Cup?
182	그는 나에게 먹을 것은 물론 돈도 주었다.	He gave me food and money as well.
183	거의 어두워지고 있어.	It's nearly dark.
184	그러면 네가 위험해져.	That will put you in danger.
