rank	sentence	english
1	Бог да чува!	For fuck's sake!
2	Не дај Боже!	God forbid!
3	Ми се дигна.	I've got a boner.
5	На Том ли е?	Is it Tom's?
6	Го знам тоа.	I know that.
8	Што те мачи?	What's biting you?
9	Ќе задоцнам.	I'm going to be late.
10	Во џеб ми е.	I've got it in my pocket.
11	За што беше?	What was it for?
12	Тоа е птица.	It is a bird.
13	Ти си убиец.	You're a murderer.
14	Мислам дека.	I think so.
15	Од нив беше.	It was from them.
16	Јади со нас.	Eat with us.
17	Ми се дигна.	I've got a boner.
18	Добар ли си?	Are you OK?
19	Ја блокираа.	They blocked her.
20	Како погоди?	How did you guess?
21	Кој сум јас?	Who am I?
22	Ги наместив.	I framed them.
23	Ова се луѓе.	These are people.
24	Кој сум јас?	Who am I?
25	Ова е добро.	This is OK.
26	Тој ме смее.	He makes me laugh.
27	Што те мачи?	What's biting you?
28	Само тропам.	I'm just rambling.
29	Добар ли си?	Are you OK?
30	Нема замена.	There's no substitute.
31	Но се движи!	But it does move!
32	Сок, ако може.	Some juice, please.
34	Тој е пијан.	He is drunk.
35	За што беше?	What was it for?
36	Ќе ти треба.	You're going to need one.
37	Кога отвора?	When does it open?
38	Каде е сега?	Where is it now?
39	Многу кивам.	I sneeze a lot.
40	Кој сум јас?	Who am I?
41	Одговори му.	Answer him.
42	Има ли лифт?	Is there an elevator?
43	Нешто доаѓа.	Something's coming.
44	Може ли сам?	Can I do it myself?
45	Дури ни мене!	Not even me!
46	Би прифатил.	I'd accept.
47	Каде е сега?	Where is it now?
48	Сакам базен.	I want a pool.
49	Убаво за тебе!	Good for you!
50	Хаос е тука.	It's a mess in here.
51	Дали плачеш?	Are you crying?
52	Ги чу, така?	You heard them, didn't you?
53	Зошто морам?	Why do I have to do it?
54	Сите станаа.	They all rose.
55	Ајде, седни.	Go on, sit down.
56	Во ред беше.	It was OK.
57	Дури ни јас!	Not even me!
58	Е па, прашај!	Well, ask!
59	Во ред е овде.	It's all right here.
60	Таа е курва.	She is a whore.
61	Кој ќе биде?	Which one will it be?
62	По ѓаволите!	Damn it!
63	Колку сакаш?	How many do you want?
64	Седи до мене.	Sit by me.
65	Еден примив.	I received one.
66	Еве Ви кусур.	Here's your change.
67	Уште брчеше.	The noise continued.
68	Ова или она?	This one or that one?
69	Некој доаѓа.	Somebody's coming.
70	Ама сум сит.	I'm so full.
71	Сакам време.	I want time.
72	Ништо немаш.	You've got nothing.
73	Тие вреснаа.	They screamed.
74	Таму и одам.	That's where I'm going.
75	Ние сме тим!	We're a team!
76	Мора да е тој.	It must be him.
77	Стигна пред нив.	You arrived there before them.
78	Можеби е тој.	It might be him.
79	Имам сметка.	I have a receipt.
80	Ве ограбиле.	You've been robbed.
81	Чекај малку.	Wait a sec.
