rank	sentence	english
1	Nie znam go.	I don't know him.
2	To za drogo!	It's too expensive!
3	Zgadzam się.	I agree.
5	Idę na górę.	I'm going upstairs.
7	Wiem, że umrę.	I know I'm going to die.
9	Co gotujesz?	What are you cooking?
10	Kim on jest?	Who is he?
11	Idę do domu.	I go home.
12	Tak, musisz.	Yes, you must.
14	Jak egzamin?	How did the exam go?
15	Ale żałosne!	How pathetic!
17	Zostaw mnie.	Leave me.
18	Wybaczże mi!	Pray forgive me!
19	To za drogo!	It's too expensive!
20	Dlaczego ja?	Why me?
21	Pomyśl o tym.	Think about it.
22	Chcemy tego.	We want it.
23	Nie znam go.	I don't know him.
24	Mówię ci to.	I tell you this.
25	Po zawodach.	The jig is up.
26	To tylko sen.	It's just a dream.
27	Tak czy nie?	Yes or no?
28	Jest tu kto?	Is anybody here?
29	Może później.	Maybe later.
30	Jestem psem.	I'm a dog.
31	Tom ma wąsy.	Tom has a moustache.
32	Co ty na to?	How does that sound to you?
33	Dogonię cię.	I'll catch up with you.
34	Mam pytanie.	I have a question.
35	Skąd jesteś?	Where do you come from?
36	Chodźmy już.	Let's go now.
37	Co jeśli zawalę?	What if I fail?
38	To dla niej.	It's for her.
39	Za dużo wiem.	I know too much.
40	Zje pan coś?	Would you like anything to eat?
41	Dobrze. Ile?	All right. How many?
42	Więc zróbmy to!	So let's do this.
43	Pada od rana.	It's been raining since morning.
44	Siadaj teraz.	Sit down now.
45	Wysiada pan?	Are you getting off?
46	To wszystko.	That's all.
47	Wolę być sam.	I prefer my own company.
48	Będzie burza.	There's going to be a storm.
49	Masz dzieci?	Do you have any children?
50	Nic nie mów.	Don't say anything.
51	Popatrz tam.	Look there.
52	Mogę pływać.	I can swim.
53	Tak, proszę.	Yes, please.
54	To jest jej.	That's hers.
55	Są znudzeni.	They are bored.
56	Gdzie byłeś?	Where have you been?
57	Kiedy żniwa?	When will you harvest your wheat?
58	Pij ten sok.	Drink this juice.
59	On ją kocha.	He loves her.
60	Chcę ciebie.	I want you.
61	Chcę by umarł.	I want him to die.
62	Radzę sobie.	I manage.
63	Jedź ze mną.	Ride with me.
64	Był wypadek.	There's been an accident.
65	Ty coś wiesz.	You know something.
66	Bardzo dziwne.	Very strange.
67	Było blisko.	That was a close call.
68	On mówi przez sen.	He speaks in his sleep.
69	To jego dom.	That is his house.
70	On ją kocha.	He loves her.
71	Chcę zeszyt.	I want a notebook.
72	Dlaczego ja?	Why me?
73	Jak pani sądzi?	What do you think, Miss West?
74	Jeszcze raz.	Once again.
75	To mój szef.	He is my boss.
76	Okłamał nas.	He lied to us.
77	Błagał, żeby wróciła.	He implored her to come back.
78	A, no i jest.	Ah, there it is.
79	Bo to jest za duże.	It's because it's too big.
80	Chcesz kawy?	Do you want a coffee?
81	Zabiłem ich.	I have killed them.
82	Chcę to też!	I also want it!
83	Chodź tutaj.	Come over here.
84	Oh! Naprawdę?	Oh! Really?
85	Nigdy więcej!	Nevermore!
86	Mamy banany.	We have bananas.
87	Jest tu kto?	Is anybody here?
88	Możesz spać?	Can you sleep?
89	Dobra robota!	Well done!
90	Przepraszam.	I'm sorry.
91	Nie ufaj mu.	Don't trust him.
92	Szkoda, gdy ktoś umiera.	It's a pity when somebody dies.
93	Muszę wyjść.	I have to leave.
94	Jesteś w porządku.	You're fine.
95	Dziękuję ci.	I thank you.
96	Nawet go nie lubię.	I don't even like him.
97	Chyba śnisz!	In your dreams!
98	Idę do domu.	I go home.
99	Co ona robi?	What's she doing?
100	Gówno prawda.	Bullshit.
101	Co mam zrobić?	What should I do?
102	Była zajęta.	She was busy.
103	Właśnie wyszła.	She's just left.
104	Będę obecny.	I'll attend.
105	Prawie zawsze.	Almost always.
106	Hej, poczekaj!	Hey, wait up!
107	Jestem z nim.	I'm with him.
108	Pomogli nam.	They helped us.
109	Wysusz te buty!	Air those shoes!
110	Jesteś moja.	You're mine.
111	Tak, musisz.	Yes, you must.
112	Kot je mysz.	The cat is eating the mouse.
113	Dzięki Bogu.	Thank God.
114	Bez przesady.	Don't exaggerate.
115	Nie tej nocy.	Not tonight.
116	Trochę zaboli.	It will hurt a little, but not much.
117	Ktoś to wie.	Somebody knows that.
118	Panie przodem.	Ladies first.
119	Jesteśmy tu.	We are here.
120	Nie są moje.	They're not mine.
121	Łatwo powiedzieć.	Talk is cheap.
122	Który chcesz?	Which one do you want?
123	Czas płynął.	Time flew.
124	Chcę więcej.	I want more.
125	Jestem twój.	I'm yours.
126	Musimy uciec.	We have to escape.
127	Ile masz lat?	How old are you?
128	Ta to Merkury.	That one over there is Mercury.
129	Tom to chce.	Tom wants that.
130	Możemy przyjść?	Can we come?
131	Wszyscy tu są.	Everybody's here.
132	A co z tobą?	How about you?
133	Wyjdź albo wejdź.	Get out or come in.
134	Po prostu płyń.	Just swim.
135	O co ci chodzi?	What do you mean?
136	Byliśmy razem.	We were together.
137	Co się stało?	What happened?
138	Cześć dziadku.	Hello, Grandfather.
139	Jedź ze mną.	Ride with me.
140	Czego chcesz?	What do you want?
141	Zrób to sam!	Do it by yourself.
142	Ciągle myślę.	I'm still thinking.
143	Chwalcie Pana!	Praise the Lord!
144	Przed jedzeniem?	Before eating?
145	Boże, gol królową!	God shave the Queen!
146	Jeszcze raz.	Once again.
147	Czemu pytasz?	Why do you ask?
148	Będziesz matką.	You're going to be a mother.
149	Wolę psy niż koty.	I like dogs better than cats.
150	Ludzie kłamią.	People lie.
151	Ćwicz dalej.	Keep practicing.
152	O czym mówisz?	What are you talking about?
153	Nie winię was.	I don't blame you.
154	Dzień dobry!	Good day!
155	Przy telefonie.	Speaking.
156	Nienawidzę ludzi.	I hate people.
157	Dzień dobry!	Good day!
158	Kocham życie.	I love life.
159	Lepiej wyjdź.	You'd better leave.
160	On miał psa.	He had a dog.
161	Weź swoje rzeczy.	Get your things together.
162	Twoja kolej.	It's now your turn.
163	Nie mam czasu.	I have no time.
164	Ok, słuchaj.	OK, listen up.
165	To było lata temu.	That was years ago.
166	Źle to robisz.	The way you're doing it is wrong.
167	Jak myślisz?	What do you think?
168	Kim on jest?	Who is he?
169	Niech pomyślę.	Let me think.
170	Które piętro?	What floor?
171	Tak, oczywiście.	Yes, of course.
172	Ratuj siebie.	Save yourself.
173	Czekam na niego.	I'm waiting for him.
174	Cóż za ulga!	What a relief!
175	Co on powiedział?	What did he say?
177	Daj mu czas.	Give him time.
178	Są w moim domu.	They are at my home.
179	Chodź tutaj.	Come over here.
180	Tak musi być.	That must be so.
181	My gotujemy.	We're cooking.
182	Nikt nie wie.	No one knows.
183	Czy to twoje?	Are these yours?
184	Ucz tych zdań.	Teach these sentences.
185	Szli pod ramię.	The couple was walking arm in arm.
186	Dlatego jest zły.	That's why he got angry.
187	Pewnie. Co to?	Sure. What is it?
188	Powiedz ser.	Say cheese.
189	Nie chcę, aby był sam.	I don't want him to be alone.
190	Był tam wtedy.	He was here at that time.
191	Młodo wygląda.	He looks young.
192	Chcesz jeden?	Want one?
193	Masz coś mojego.	You have something of mine.
194	Udało im się.	They succeeded.
195	Dobrze mówi.	He speaks well.
196	Dość na dziś.	That's enough for today.
197	Czy masz taki?	Do you have one?
198	Chcę to mieć.	I want to have it.
199	Jako patriota, nie.	As a patriot, no.
200	Mam dwa uda.	I have two thighs.
201	Potem was dogonię.	I'll catch up with you.
202	Ktoś to wie.	Somebody knows that.
203	Takie są zasady.	These are the rules.
204	On nią gardzi.	He looks down on her.
205	Chcę je wszystkie.	I want them all.
206	Co to znaczy?	What does this stand for?
207	Nie rozumiem.	I do not understand.
208	Co się dzieje?	What is going on?
209	Jesteś moją muzą.	You are my muse.
210	Będziemy głodne.	We'll be hungry.
211	To zbyt wiele.	It's too much.
212	Jesteś stąd?	Are you from here?
213	Oni są sami.	They are alone.
214	Chcesz mojej rady?	Do you want some advice?
215	To moje miejsce.	That's my seat.
216	Boję się iść.	I am afraid to go.
217	Mam kilka piór.	I have a few pens.
218	Mam ci pomóc?	Do you wish me to help?
219	Wie za dużo.	He knows too much.
220	Dobrze. Ile?	All right. How many?
221	Wszystko jasne.	Everything is clear.
222	Byłem chory.	I was sick.
223	Zrobiłem swoje.	I've done my job.
224	Kto tak myśli?	Who thinks so?
225	Lało cały dzień.	It rained continuously all day.
226	Skąd jesteś?	Where do you come from?
227	Muszę wiedzieć.	I must know.
228	Masz dzieci?	Do you have any children?
229	To dla nich.	It's for them.
230	Która godzina?	What time is it?
231	Nie pomogą wam.	They aren't going to help you.
232	Przykro nam.	We're sorry.
233	Można mu zaufać.	He can be trusted.
