rank	sentence	english
1	Ez da ondoa.	It's no good.
2	Etorri ona eta lagundu.	Come here and help me.
3	Katu bat naiz.	I'm a cat.
4	Zer nahi zuen?	What did he want?
5	Ondo egin zenuen.	You nailed it.
6	Tomek ikaslea da ere bai.	Tom is a student, too.
7	Zer nahi zuen?	What did he want?
8	Ikusi behar dut.	I've got to see it.
9	Egin, baina orain!	Do it right now!
10	Zer da soinu hori?	What is that sound?
11	Ez da nire errua!	It's not my fault!
12	Egun ona izan!	Have a nice day!
13	Zure pisuan nago.	I'm at your place.
14	Mesedez, ingelesez esan.	Please say it in English.
15	Hau betiko da.	This is for keeps.
16	Es du pentzatu ere.	Don't even think.
17	Euria ari du.	It is raining.
18	Hemen al da?	Is it here?
19	Ezin du aukeratu.	He can't choose.
20	Ondo egin zenuen.	You nailed it.
21	Oso heze dago.	It's very wet.
22	Bere lagunekin dago.	He is with his friends.
23	Zu beher zaitut, Tom.	I need you, Tom.
24	Nik ordainduko dut hori.	I'll have to pay for it.
25	Deitu orain.	Call now.
26	Hemen al da?	Is it here?
27	Badakik zergatik.	You know why.
28	Ez zaitez joan bakarrik.	Don't go there alone.
29	Ongi etorri!	Welcome.
30	Ni Andoni naiz.	I am Antonio.
31	Eskerrik asko.	Thank you very much!
32	Beste hitzetan, alferra da.	In other words, he is lazy.
33	Atzo ikusi dut.	I saw him yesterday.
34	Uzbeek hitz egiten dut.	I speak Uzbek.
35	Pozten gara.	It's our pleasure.
36	Nola duzu izena?	What's your name?
37	Geldi hor edo tiro egingo dut!	Stop, or I'll shoot.
38	Denbora gure alde.	Time's on my side.
39	Zuk ez duzu ezagutzen.	You don't know him.
40	Ez dut ezer behar.	I don't need anything.
41	Layla Samiri ezezkoa eman zion.	Layla rejected Sami.
42	Nork utzi du sartzen?	Who allowed her in?
43	Nik baino askoz diru gehiago du.	He has much more money than I have.
44	Zerbait idazten du	Write something.
45	Kaixo mundua!	Hello, world!
46	Tom ez da egon eskolan	Tom wasn't in school today.
47	Dutxak non dira?	Where are the showers?
48	Emakume bezala jantzi zen.	He dressed up as a woman.
49	Ongi etorri!	Welcome.
50	Bera hil nuen.	I killed him.
51	Zuzendu, mesedez.	Please correct it.
52	Gauza hauek ez dira nireak!	These things aren't mine!
53	Bakarrik etorri zara?	Did you come here alone?
54	Etxe handi batean bizi dira.	They live in a great house.
55	Bi katu ditut.	I have two cats.
56	Parte hartu!	Participate!
57	Gero esango dizut.	I'll tell you later.
58	Goazen piknikera.	Let's go to the picnic.
59	Ba al du dirurik?	Does he have money?
60	Egun ona izan!	Have a nice day!
61	Barkatu, Zer ordu da?	Excuse me, what time is it?
62	Bere aita fisikaria da.	His father is a physicist.
63	Entzun txoriak.	Listen to the birds.
64	Tom, hor kanpoan zaude?	Tom, are you out here?
65	Ikasi gabe jakin nahi du.	He wants to learn without studying.
66	Ezin dut horrela jarraitu.	It cannot continue like this.
67	Tom ez zen inoiz itzuli.	Tom never returned.
68	Nor da Jainkoa?	Who is God?
69	Mutila buruz behera zegoen telebistari begira.	The boy was lying on his stomach watching TV.
70	Egun ona izan!	Have a nice day!
71	Eskerrik asko.	Thank you very much!
72	Beti maiteko zaitut.	I will love you always.
73	Bera hil nuen.	I killed him.
74	Ama jota zegoen.	The mother was exhausted.
75	Gaur asteartea da.	Today is Tuesday.
76	Gizon krudela zen.	He was a cruel man.
77	Ezin dut bihar arte itxaron.	It can't wait until tomorrow.
