rank	sentence	english
1	Ik ben slim.	I am smart.
2	Je kunt het!	You can do it.
3	Het sneeuwt.	Snow is falling.
4	Pluk de dag.	Seize the day.
5	Ook dat nog!	As if it weren't enough already!
6	Het is koud.	It's cold.
7	Wat een lul!	What an asshole!
8	Waarom niet?	Why not?
9	Bid en werk.	Pray and work.
10	Van onderen!	Timber!
11	Wat kook je?	What are you cooking?
12	Zijn we weg?	Shall we go?
13	Ik greep in.	I intervened.
14	Ze is sterk.	She is strong.
15	Hij is slim.	He is smart.
16	Te veel geld?	Too much money?
17	Zijn ze weg?	Are they gone?
18	Stond je op?	Did you stand up?
19	Rustig maar.	Take it easy!
20	Is er brood?	Is there any bread?
21	Weg met jou!	Get out!
22	Voor altijd!	Forever!
23	Volg die auto.	Follow that car.
24	Heb je geld?	Do you have money?
25	Kijk me aan.	Look at me.
26	Als ge wilt.	If you want.
27	Ik was fout.	I was wrong.
28	Waar ben je?	Where are you?
29	Om het even.	Whatever.
30	Gebruik dit.	Use this.
31	Mijn broers!	My brothers!
32	Kijk me aan.	Look at me.
34	Zij zien Dan.	They see Dan.
36	Ga naar bed.	Go to bed.
37	Weet je nog?	Do you remember?
38	Hij is hier!	He is here!
39	Zo prachtig!	So beautiful!
40	Jij idioot!!	You idiot!
41	Kan ik eten?	Can I eat?
42	Geen paniek.	Don't panic.
43	Weet je nog?	Do you remember?
44	Sami zei ja.	Sami said yes.
45	Vergeet hem.	Forget it.
46	Wat heeft u?	What do you have?
47	Dank je wel!	Thank you!
48	Moet je weg?	Do you need to go?
49	Ik wil deze.	I want this one.
50	We hebben ze.	We've got them.
51	Goed gedaan!	Great!
52	Ik ken haar.	I know her.
53	Nee, dank u.	No, thank you.
54	Hoe heet je?	What is your name?
55	Nu of nooit!	It's now or never.
56	Waar ben je?	Where are you?
57	Geef u over!	Capitulate!
58	Ook dat nog!	As if it weren't enough already!
59	Wat doen we?	What are we doing?
60	Gaan ze uit?	Are they going out?
61	Waarom zou ik?	Why would I?
62	Ik ga terug.	I'm going back.
63	Nu of nooit!	It's now or never.
64	Ik wil gaan.	I want to go.
65	Je bent gek.	You are crazy.
66	Lees na mij.	Read after me.
67	Ik draag bij.	I'm contributing.
68	Ik dacht al.	I guessed.
69	Vergeet ons.	Forget about us.
70	Ik had pech.	I was unlucky.
71	Ziet u iets?	Do you see anything?
72	Daar is hij.	There he is.
73	Jullie weer?	You again?
74	Hoe gaat ie?	How is it going?
75	Ik zal gaan.	I'm going.
77	Je hebt lef.	You've got a lot of guts.
78	Kom opnieuw.	Come again.
79	Waarom niet?	Why not?
80	Meer koffie?	More coffee?
81	Ik wil deze.	I want this one.
82	We moeten gaan.	We should leave.
84	Het is laat.	It's late.
85	Kunnen we mee?	Can we come along?
86	Doe dus mee!	Then join in!
87	Ik hoor jou.	I hear you.
88	Wat denk je?	What's your opinion?
89	Wie was hij?	Who was he?
90	Alles werkt.	Everything is working.
91	Echt? Hoezo?	Really? Why?
92	Doe je best.	Do your best.
93	Je ging door.	You continued.
94	Ik at alleen.	I ate alone.
95	Rot toch op!	Jog on!
96	Kan je zien?	Can you see?
97	Zijn ze weg?	Are they gone?
98	Denk eens na.	Think.
99	Wat een man.	Some man.
100	Hm, misschien!	Hm, maybe!
101	Laten we gaan!	Let's go!
102	Nu of nooit!	It's now or never.
103	Krijg nou wat?	What the fuck?
104	Sami zei ja.	Sami said yes.
105	Ik ga terug.	I'm going back.
106	Oké, boomer.	OK, boomer.
107	Neem me mee.	Take me with you.
108	Niets werkt.	Nothing's working.
109	Iemand komt.	Someone is coming.
110	Iemand komt.	Someone is coming.
111	Ik keek toen tv.	I was watching TV then.
112	Veel succes!	Good luck to you!
113	Om het even.	Whatever.
114	Zij is onze juf.	She's our teacher.
115	Zwem gewoon.	Just swim.
116	Zeker weten!	Definitely!
117	Kan je komen?	Can you come?
118	Dat is nodig.	It is necessary.
119	Mensen liegen.	People lie.
120	Tot maandag.	I'll see you Monday.
121	We worden oud.	We're getting old.
122	Niets zeggen!	Don't say anything!
123	Heb je tijd?	Do you have some time?
124	Jullie weer?	You again?
125	Bomen leven.	Trees are alive.
126	Bel twee keer.	Press the bell twice.
127	Net geverfd.	Fresh paint.
128	Hou ze tegen.	Stop them.
129	Ze maken ruzie.	They are arguing.
130	Bel uw broer.	Call your brother.
131	Zeg vaarwel.	Say goodbye.
132	Omdat u het verkoopt.	Because you sell it.
133	Hoe zit het?	How about it?
134	Hij wordt oud.	He is getting old.
136	Hou je mond!	Shut your mouth.
137	Kijk me aan.	Look at me.
138	Heel vreemd.	Very strange.
139	Bestaan wij?	Do we exist?
140	Voor altijd!	Forever!
141	Mag dat wel?	Can you do that?
142	Mooi gedaan!	Well done!
143	Zij is dood.	She is dead.
144	Zeker weten!	Definitely!
145	Ik wacht af.	I am waiting.
146	Ik ben 18 jaar.	I'm 18 years old.
147	Geef hun dit.	Give this to them.
148	Wat wilde je?	What was it that you wanted?
149	Pluk de dag.	Seize the day.
150	Hoi allemaal.	Hi, everybody.
151	Jouw beloning.	Here is your reward.
152	Ga naar huis.	Go home.
153	Ik dacht al.	I guessed.
154	Wie doet dat?	Who does that?
155	Bel je vader.	Call your father.
156	Je kunt het!	You can do it.
157	Ik wacht af.	I am waiting.
158	Ik zie Dana.	I see Dana.
159	Bel je vrouw.	Call your wife.
160	Eerste keer?	First time?
161	Toon mij andere.	Show me some others.
162	Zoals u wilt!	As you wish.
163	Zij is dood.	She is dead.
164	Dank je wel!	Thank you!
165	Waar anders?	Where else?
166	Geef ze hem.	Give them to him.
167	Ze waren moe.	They were tired.
168	Ze willen dit.	They want this.
169	Hij wast zich.	He washes himself.
170	Ja. Bedankt.	Yes. Thanks.
171	Kies er één.	Choose one.
172	Erg grappig!	Funny!
173	Als ge wilt.	If you want.
174	Niet praten!	Don't talk!
175	Wat spijt u?	What are you sorry about?
176	Heb je geld?	Do you have money?
177	Ik kon bellen.	I could make a phone call.
178	Het is werk.	It's work.
179	Oh mijn God!	Omigod!
180	Iedereen at.	Everyone ate.
181	Dat is beter.	That's better.
182	Ik werd gek.	I went crazy.
183	Dag, moeder.	Bye, mother.
184	Niemand wedt.	No one's gambling.
185	Wat vinden zij?	What do they think?
186	Wat staat er?	What does it say?
187	Goed gezien.	Good catch.
188	Ik erf niks.	I don't inherit anything.
189	Blijf binnen.	Stay inside.
190	Blijf zitten.	Sit tight.
191	We zullen zien.	We shall see.
192	Lees na mij.	Read after me.
193	Niet helpen!	Don't help.
194	Ik wist het!	I knew it!
195	Vind de kat.	Find the cat.
196	Drink genoeg!	Stay hydrated!
197	Sorry daarvoor.	Sorry about that.
198	Ik zat vast.	I was stuck.
199	We mogen elkaar.	We like each other.
200	Ik ging ook.	I also went.
201	Het is 7 uur.	It's seven o'clock.
202	Bijna klaar.	Nearly finished.
203	Ik sliep de hele dag.	I slept all day.
204	Neem je dat?	Will you take that?
205	Het is leuk.	It's nice.
206	Natuurlijk wel!	Of course yes!
207	Sluit alle ramen.	Close all the windows.
208	God bestaat.	God exists.
209	Maak het af.	Finish it.
210	Ik ben lang.	I am tall.
211	Iemand kwam.	Someone came.
212	Water graag.	Water, please.
213	Hé, jongens.	Hey, guys.
214	Ik geef toe.	I confess.
215	Geef me drie.	Gimme three.
216	Wie zegt dat?	Who says that?
217	Hoe bedoel je?	What do you mean?
218	Deed ik dat?	Did I do that?
219	Dingen gebeuren.	Shit happens.
220	Wat maakt u?	What are you making, sir?
221	Alsjeblieft.	Please.
222	Eerste keer?	First time?
223	We krijgen het.	We'll get it.
224	Zonder twijfel.	Definitely!
225	Ik eet nog steeds.	I am still eating.
226	Hallo ouder!	Hello parent!
227	Rechts houden.	Keep to the right.
228	Wat vertellen we haar?	What do we tell her?
229	Ziet u iets?	Do you see anything?
230	Wat een idee!	What an idea!
231	Wij geven les.	We teach.
232	Kijk achter je!	Look back!
233	Ik ben er geweest.	I went there.
234	Wij blijven.	We're staying.
235	Helemaal niet!	Not at all!
236	Mooi gedaan!	Well done!
237	Onder welke naam?	Under what name?
238	Niet kijken!	Don't look!
239	Wie zag jou?	Who saw you?
240	Goede timing!	Nice timing.
241	Wat is je naam?	What is your name?
242	Ik moest gaan.	I had to go.
243	Blijf sterk!	Stay strong.
244	Kun je helpen?	Can you help?
245	Stop de auto!	Stop the car.
246	Luister even.	Listen up.
247	Het is de grote.	It's the big one.
248	Tom lijkt dik.	Tom looks fat.
249	Tom is snel.	Tom's fast.
250	Wel heb ik ooit!	Well, I never!
251	Geen vragen?	No questions?
252	Wat een paar!	What a pair!
253	Tot wanneer?	Til when?
254	Want je verkoopt het.	Because you sell it.
255	Hallo meneer!	Hello sir!
256	Ik koop een nieuwe.	I'll buy a new one.
257	Niets gebeurd.	Nothing happened.
258	Ik maak me zorgen.	I'm worried.
259	Heil, vriend.	Hail, friend.
260	Vlug een beetje!	Sharp's the word!
261	Heb je kinderen?	Do you have children?
262	Je bent gek.	You are crazy.
263	Open je hand.	Open your palm.
264	Goeie vraag.	Good question!
265	Laatste ronde!	Last call!
266	Wat geweldig!	How wonderful!
267	Hadden ze het?	Did they have it?
268	Zelfs ik niet!	Not even me!
269	Ben ik de enige?	Am I the only one?
270	Ik ben bang.	I am afraid.
271	We nemen het.	We'll take it.
272	Blijf samen.	Stay together.
273	Kan ik eten?	Can I eat?
275	Beslis zelf!	Make your own decision.
276	Hoor je mij?	Can you hear me?
277	Heeft Tom geleden?	Did Tom suffer?
278	Blijf staan!	Hold it!
279	Ik heb u gevonden.	I found you.
280	Goede jongen.	That a boy!
281	Hard denken.	Think hard.
282	Kom vandaag.	Come today.
283	Wat denkt u?	What's your opinion?
284	Beste wensen!	Best wishes!
285	Eerlijk gezegd...	Honestly...
286	Ze is thuis.	She's at home.
287	Hallo wereld!	Hello, world!
288	Hé, jongens.	Hey, guys.
289	Gaat u heen?	You're going?
290	Ik ken haar.	I know her.
291	Vergeef hen.	Forgive them.
292	Dames eerst.	Ladies first.
293	Eigen schuld.	You only have yourself to blame.
294	Zijn zoon zit.	His son is serving his sentence.
295	U had gelijk.	You were right.
296	Heet buiten?	Hot outside?
297	Vertel erover!	Talk about it!
298	Ik ga morgen.	I'm going tomorrow.
299	Het meisje leest.	The girl is reading.
300	Geen probleem!	No problem at all!
301	Ziri doet alsof.	Ziri is faking it.
302	Ik geloof je.	I believe you.
303	Ga Tom halen.	Go and fetch Tom.
304	We zijn familie.	We are family.
305	Elke dag telt.	Every day counts.
306	Zouden ze durven?	Would they dare?
307	Dat hoop ik.	I hope so.
308	Bel de politie!	Call the police!
309	Huilen mannen?	Do men cry?
310	Bijna klaar.	Nearly finished.
311	Is Tom vermoord?	Was Tom murdered?
312	Nee, eigenlijk niet.	No, not really.
313	Blijf werken.	Keep working.
314	Verdomme ja!	Fuck yeah!
315	Kun je me horen?	Can you hear me?
316	Dat is de manier.	That's the way.
317	Ik zat vast.	I was stuck.
318	Lieve vrienden!	Dear friends!
319	Het paste precies.	It was a perfect fit.
320	Wees geen kind.	Don't be a baby.
321	Geweldig, hè?	Astounding, isn't it?
322	Jij kleine dief!	You little thief!
323	Begrijp je me?	Do you understand me?
324	Tom wou dat.	Tom wanted this.
325	Geeft u les?	Do you teach?
326	Alles in orde?	Is everything okay?
327	Tom houdt van u.	Tom loves you.
328	Lees verder.	Keep reading.
329	Sta vroeg op.	Get up early.
330	Stop de auto!	Stop the car.
331	Zij wachten.	They're waiting.
332	Rustig maar.	Take it easy!
333	Jeukt je hoofd?	Does your head itch?
334	Krijg nou wat?	What the fuck?
335	Stopte je daarom?	Is that why you stopped?
336	Het gebeurt.	It happens.
337	Soms helpt het.	It sometimes helps.
338	Volgens mij niet.	Not in my opinion.
339	Wacht vijf dagen.	Wait five days.
340	Ik vond jou.	I found you.
341	U krijgt er een.	You'll get one.
342	Ik heb thee gemaakt.	I made tea.
343	Aan de kant.	Move over.
344	Niets werkt.	Nothing's working.
345	Hij is open.	It's unlocked.
346	Ik heb het gehad.	I'm through.
347	Wat voel je?	What do you feel?
348	Zaak opgelost!	Voilà! Case resolved!
349	Ben je blij?	Are you happy?
350	De volgende!	Next person!
351	Zoek de kat.	Find the cat.
352	Weinig kans.	Fat chance.
353	Tot vanavond!	See you tonight!
354	De bel ging.	The whistle blew.
355	Probeer dit.	Try this.
356	Blijf zoeken.	Keep searching.
357	De oude man zit.	The old man is sitting.
358	Open dat ding!	Open that thing!
359	Moment, wat?	Wait, what?
360	Doe je best.	Do your best.
361	Ik zat tussen hen.	I sat between them.
362	Neem plaats.	Have a seat.
363	Ik begin pas.	I'm just beginning.
364	Heb je me gehoord?	Did you hear me?
365	Ze is vijf jaar.	She is five years old.
366	Wat heb je Tom verteld?	What have you told Tom?
367	Zet het uit.	Turn it off.
368	Het is prima.	It's fine.
369	Ik had hulp.	I had help.
370	De stad slaapt.	The city sleeps.
371	Wat vindt hij?	What does he think?
372	Ik kan het brengen.	I can bring it.
373	Het doet pijn.	It hurts.
374	Niet slecht.	Not bad.
375	Ze geloven je.	They believe you.
376	Laat me eruit!	Let me out!
377	Sami had zes minuten.	Sami had six minutes.
378	Ga naar school.	Go to school.
379	Trek je plan.	Figure it out yourself.
380	Bel je broer.	Call your brother.
381	Pak de bodem.	Grab the bottom.
382	Wees jezelf.	Be yourself!
383	Hoeveel doden?	How many died?
384	Kamer te huur.	Room for rent.
385	Wat betekent UN?	What does UN stand for?
386	Ik wil spreken	I want to speak.
387	Is dat juist?	Is that correct?
388	Hoe heet je?	What is your name?
389	Wat soort wierook is dat?	What kind of incense is this?
390	Haal het af.	Take it off.
391	Weet u ergens van?	Do you know anything?
392	Vier je iets?	Are you celebrating something?
393	Ga je dit gebruiken?	Are you going to use this?
394	Wat ligt daar?	What is that there?
395	Wie blijft er?	Who's staying?
396	Welke tafel?	Which table?
397	We proberen.	We try.
398	Ze is dokter.	She is a doctor.
399	Agent gewond!	Officer down!
400	Ik help hem.	I help him.
401	Kom je later?	Will you come later?
402	Voordat u gaat eten?	Before eating?
403	Ik heb ogen.	I have eyes.
404	Ik ben vrij.	I'm free.
405	Dat klopt, ja.	That's right, yes.
406	Ze gaf geld.	She gave money.
407	Stuur een foto.	Send a photo.
408	Word wakker!	Wake up!
409	Hij stierf, zodat wij konden leven.	He died so that we may live.
410	Bel uw dochter.	Call your daughter.
411	U hebt problemen.	You have problems.
412	Chique plek!	Some place.
413	Water graag.	Water, please.
414	Kent ze mij?	Does she know me?
415	Hoe was je week?	How was your week?
416	Ik ga beginnen.	I'm going to start.
417	Praat met me!	Talk to me!
418	Ik zag u eerder.	I saw you earlier.
419	Het ging mis.	Things went awry.
420	Handen thuis.	Hands off.
421	Open de deur.	Open the door.
422	De baby huilt.	The baby is crying.
423	Ik kon bellen.	I could make a phone call.
424	Tom is boven.	Tom is upstairs.
425	Tom is groot.	Tom is big.
426	Dat is de echte.	This is the real McCoy.
427	Dat hoeft niet.	That's unnecessary.
428	Hoe gaat ie?	How is it going?
429	Hoeveel doden?	How many died?
430	Niet stoppen.	Don't stop.
431	Dit is moeilijk.	This is difficult.
432	Ze hielden veel van dr. Schweitzer.	They had a high opinion of Dr. Schweitzer.
433	Sinds wanneer?	Since when?
434	Wat een land!	What a country!
435	Wil je spelen?	Do you want to play?
436	Ik eet niet zoveel.	I don't eat that much.
437	Ik ben hetzelfde.	I'm the same.
438	Dag mevrouw.	Hello, ma'am.
439	Snap je het?	Got it?
440	Breng me weg.	Take me away.
441	Laten we koffie pakken.	Let's get coffee.
442	Was het druk?	Were there a lot of people?
443	Einde verhaal.	End of story.
444	Slaap lekker!	Sweet dreams!
445	Wij zijn vrouwen.	We are women.
446	Tuurlijk schat.	Sure honey.
447	Niet vergeten.	Don't forget.
