rank	sentence	english
2	Он не дурак.	He is no fool.
3	Что делаешь?	What are you doing?
6	Ты кончаешь?	Are you getting off?
7	Это не ново.	It isn't new.
8	Он на диете.	He's dieting.
10	Он не дурак.	He is no fool.
11	Мы его дети.	We are his children.
12	Как глубоко?	How deep?
13	Вы выходите?	Are you getting off?
14	Да, конечно.	Yes, of course.
15	Мне ее жаль.	I feel sorry for her.
17	Нет проблем.	There are no problems.
18	У меня идея.	I have an idea.
19	Так вот как!	So that's how it is!
20	Но ты не там.	But you're not there.
22	Это его дом.	That is his house.
23	Все умирают.	Everyone dies.
24	Она не врач.	She's not a doctor.
25	Я выше тебя.	I'm taller than you.
27	Если хочешь.	If you want.
28	За здоровье!	Cheers!
29	Том бы ушёл.	Tom would leave.
30	Я тебе верю.	I believe you.
31	Они — борцы.	They are wrestlers.
32	Да не то чтобы.	No, not really.
33	Ну давай же!	Come on, already!
34	Хотите есть?	Do you want to eat?
35	Просто уйди.	Just leave.
36	Я из Египта.	I am from Egypt.
38	Это для вас.	It's for you.
39	Ну давай же!	Come on, already!
40	Когда зачёт?	When is the test?
41	Хорошо дома.	It's good to be home.
42	Здесь болит.	It hurts here.
43	Это по пути.	It's on the way.
44	Я был занят.	I have been busy.
45	Я знаю тебя.	I know you.
46	То же самое!	Just the same!
47	Только тихо!	Just be quiet.
48	Мы пьем всё.	We drink everything.
49	Было весело.	It was fun.
50	Сколько вас?	How many of you are there?
51	Может, и нет.	Perhaps not.
52	Нас атакуют!	We're under attack!
53	Так вот как!	So that's how it is!
54	Это от Тома.	This is from Tom.
55	Быть по сему!	May it be so!
56	Кто виноват?	Who is in fault?
57	Будет жарко.	It will be hot.
58	Почему трое?	Why are there three?
59	Вам холодно?	Are you cold?
60	Он умнее их.	He's smarter than them.
61	Я очень рад.	I am very pleased.
62	Я могу есть?	Can I eat?
63	Я уже готов.	I am already prepared.
64	Да. Спасибо.	Yes. Thanks.
65	Кофе или чай?	Coffee or tea?
66	Нам холодно.	We're cold.
67	Еще не решил.	I haven't decided yet.
68	Что это там?	What's that there?
69	Ей это нужно.	She needs it.
70	Сейчас я ем.	I'm eating now.
71	Где тарелки?	Where are the plates?
72	Чем играете?	What are you playing with?
73	Я хочу веер.	I want the fan.
74	Ничего себе!	Holy cow!
75	Я ждал этого!	I was expecting it!
76	Где ты была?	Where have you been?
77	О, Боже мой!	Oh my God!
78	Мне ее жаль.	I feel sorry for her.
79	Ладно, бери.	Well, take it.
80	Ты знаешь её?	Do you know her?
82	До свидания!	Good-bye!
83	На этом всё.	That's all.
84	Потому что он есть.	Because it is there.
85	Теперь ясно?	Is it clear now?
86	Я так думаю.	I suppose so.
87	Этот больше.	This one is bigger.
88	Её повысили.	She was promoted.
89	Пой со мной.	Sing with me.
90	Раз плюнуть.	It's a piece of cake.
91	Не верь ему.	Don't trust him.
92	Надо помочь!	We have to help!
93	Время летит.	Time flies.
94	Этот пустой.	This one's empty.
95	Есть ли Бог?	Does God exist?
96	Ещё немного?	A little more?
97	Пока хватит.	That's enough for now.
98	Это даже хуже!	This is even worse!
99	Привет, Том.	Hello, Tom.
100	Я сказал да.	I said yes.
101	Береги себя.	Take good care of yourself.
102	Я должен идти?	Ought I to go?
103	Я тоже грек.	I'm Greek too.
104	Хочешь пить?	Are you thirsty?
105	Ну давай же!	Come on, already!
106	Что-то было.	There was something.
107	Ты бы никогда.	You would never.
108	Эй, подожди!	Hey, wait up!
109	Я чуть того.	I'm a little crazy.
110	Бегом тогда.	Hurry up then.
111	У него форд.	His car is a Ford.
112	Том ни при чём.	Tom has nothing to do with it.
113	Тут всё моё.	Everything here is mine.
114	Где вы были?	Where have you been?
115	Да, конечно.	Yes, of course.
116	И то правда.	That's true, too.
117	Я не об этом.	I'm not talking about that.
118	Моя очередь?	Is it my turn?
119	Пожалуйста...	Please...
120	Что с тобой?	Are you all right?
121	Сказать ему?	Should I tell him?
122	Сегодня снег.	It's snowing today.
123	Я буду один.	I'll be alone.
124	Какой лучше?	Which is better?
125	Можешь идти.	You may go.
126	Смотри сюда.	Look here.
127	Пой со мной.	Sing with me.
128	Значит, война!	This means war!
129	Как сделать ящик?	How do you make a box?
130	Как и всегда.	Same as usual.
131	Это их дело.	That's their business.
132	Можно войти?	Let me step inside.
133	Ей пять лет.	She is five years old.
134	Вы мне должны.	You owe me.
135	Я в порядке.	I'm fine.
136	Без проблем!	No problem at all!
137	Добрый день.	Good afternoon.
138	Привет, Том.	Hello, Tom.
139	Я буду есть.	I will eat.
140	Что им делать?	What should they do?
141	Я хотел всё.	I wanted everything.
142	Из чего это?	What's it made from?
143	Эти тяжёлые.	These are heavy.
144	Я много пью.	I drink a lot.
145	После поговорим.	We'll talk later.
146	Я этим живу.	It's what I do for a living.
147	Я хочу всего.	I want everything.
148	Он во дворе.	It's in the yard.
149	Я твой отец.	I am your father.
150	Я был с ним.	I was with him.
151	Ей пять лет.	She is five years old.
152	О, Боже мой!	Oh my God!
153	Эти для них.	These are for them.
154	Спасибо, сэр.	Thank you, sir.
155	Это ведь он?	It's he, isn't it?
156	Это мистер Джонс.	He's Mr. Jones.
157	Жизнь - дар.	Life is a gift.
158	Потом скажу.	I'll tell you later.
159	Я иду с ней.	I'm walking with her.
160	Он не такой.	He's not like that.
161	Который час?	What time is it?
162	Любите всех.	Love everyone.
163	Дыши через нос.	Breathe through your nose.
164	Не мешай им.	Don't bother them.
165	Это возможно?	Is it possible?
166	Ещё немного?	A little more?
167	Что я такое?	What am I?
168	Это слишком!	That's too much.
169	Ничего себе!	Holy cow!
170	Зачем я вам?	Why do you need me?
171	Я должна идти.	I must be going.
172	Ты была моей.	You were mine.
173	Люди гибнут.	People are dying.
174	Знаете меня?	Do you know me?
175	В этой пусто.	This one's empty.
176	О чём думаешь?	What are you thinking about?
177	Ешь свою еду.	Eat your food.
178	Это не точно.	That isn't accurate.
179	Это человек.	This is a person.
180	Собака твоя.	The dog is yours.
181	Я под кайфом.	I'm high.
182	Я сказала да.	I said yes.
183	Малый назад!	Slow astern!
184	Это из-за вас.	You caused this.
185	Проверь эту.	Check this one out.
186	Мы не можем.	We can't.
187	Что случилось?	What happened?
188	Я мама Тома.	I'm Tom's mom.
189	Ты мог уйти.	You could've gone.
190	Пойдём вместе?	Shall we go together?
191	Он мой отец.	He is my father.
192	Я сделал ту.	I made that one.
193	Они все мои.	They're all mine.
194	Вам кажется.	You're imagining it.
195	Он мой друг.	He is my friend.
196	Куда он шёл?	Where was he going?
197	Вы мне никто.	You're nobody to me.
198	Это не поэтому.	That's not why.
199	Эта хорошая.	This one's OK.
200	Которые Тома?	Which ones are Tom's?
201	Чёрта с два!	Like hell it is!
202	Дай мне тот.	Give me that one.
203	Сколько вас?	How many of you are there?
204	Понимаю вас.	I get your point.
205	Это снова я.	Here I am again.
206	Больше жизни!	Get a move on!
207	Им нравится.	They like it.
208	Я знаю людей.	I know people.
209	Тебе помочь?	Can I help you?
210	Я видел его.	I saw him.
211	Я его люблю.	I love him.
212	Он не хочет.	He doesn't want to.
213	Какое место?	What place?
214	Я хочу знать.	I want to know.
215	Кто-то идёт.	Someone is coming.
216	Прости меня!	Forgive me!
217	Это отлично.	That's cool.
218	Похоже на то.	That seems like it.
219	Что за парень.	What a man!
220	Пошли домой!	Let's go home!
221	Всем привет!	Hi, everybody!
222	Деньги есть?	Do you have money?
223	Иди к чёрту!	Go screw yourself!
224	Времени нет.	There's no time.
225	Хозяин дома?	Is the master of the house at home?
226	Ты где именно?	Where exactly are you?
227	Вы — доктор?	Are you a doctor?
228	Так я и думал.	That's what I thought.
229	Том говорил.	Tom talked.
230	Что делаешь?	What are you doing?
231	Будем здесь.	We'll be here.
232	Идите прямо.	Keep going straight.
233	Стоит туман.	It is foggy.
234	Пора поговорить.	It's time to talk.
235	Как её найти?	How do we find it?
236	Разве не круто?	Don't you think it's cool?
237	Слушай отца!	Listen to your father.
238	Я в своей машине.	I'm in my car.
